Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,1440,1442,1422.2,1426.35,268255,
2020-01-02,1428,1509.2,1428,1494.65,2000143,
2020-01-03,1494.65,1505,1481.55,1486.1,629443,
2020-01-06,1480,1480,1458.15,1462.5,378702,
2020-01-07,1475,1498.95,1472.55,1478.7,365266,
2020-01-08,1464,1479.6,1458,1473.65,190163,
2020-01-09,1490,1498.7,1473,1479.6,254798,
2020-01-10,1484,1502,1476,1485.9,364434,
2020-01-13,1493.3,1504,1479.45,1483.45,374704,
2020-01-14,1485.1,1502,1483.9,1493.3,308514,
2020-01-15,1488.3,1529,1488,1511.95,932167,
2020-01-16,1519.7,1607,1518.05,1591.55,2305288,
2020-01-17,1595.55,1624,1580,1618.6,893254,
2020-01-20,1620,1659,1616.5,1629.55,1047368,
2020-01-21,1629.85,1642.5,1621,1626.2,317357,
2020-01-22,1643.65,1664,1626.5,1634.45,736367,
2020-01-23,1638.8,1699.9,1631.25,1686.9,764590,
2020-01-24,1690,1697.55,1649.1,1668.7,1023849,
2020-01-27,1668,1713,1662,1696.05,791549,
2020-01-28,1695.9,1704.8,1673.8,1677.75,681671,
2020-01-29,1687,1694.95,1671.05,1688,230705,
2020-01-30,1685,1709.75,1680.25,1690.8,634505,
2020-01-31,1699.2,1699.25,1656.45,1660.2,377299,
2020-02-01,1658.1,1703.45,1630,1654.45,547355,
2020-02-03,1616,1717.6,1616,1695.85,584886,
2020-02-04,1695.85,1704.9,1661,1671.05,384789,
2020-02-05,1681,1681,1650,1657.45,438855,
2020-02-06,1665.7,1665.7,1622.2,1645.05,552992,
2020-02-07,1649.8,1678.5,1628,1663.15,554048,
2020-02-10,1663,1701.6,1634.5,1665.7,778081,
2020-02-11,1670.5,1702.9,1669,1697.95,606839,
2020-02-12,1705,1716.95,1670.55,1683.6,728165,
2020-02-13,1675,1707,1655,1695.5,902548,
2020-02-14,1721,1747.7,1674.45,1704.4,3179224,
2020-02-17,1727,1737,1700.1,1715.05,808709,
2020-02-18,1716,1784.4,1704.8,1774.9,1860803,
2020-02-19,1774.9,1792.6,1750.7,1780.5,1029649,
2020-02-20,1790,1813.45,1778.25,1800.7,799535,
2020-02-24,1796,1813.55,1764.25,1797.45,708469,
2020-02-25,1798,1810,1778,1790.45,459592,
2020-02-26,1785.95,1796.95,1763,1767.2,494854,
2020-02-27,1765,1803,1755.1,1795.4,919960,
2020-02-28,1780.5,1799.75,1726.1,1735.8,1234826,
2020-03-02,1750,1777.9,1711.2,1728.55,980080,
2020-03-03,1738.9,1753.2,1695,1725.7,672514,
2020-03-04,1727,1772,1711.65,1755.25,1164850,
2020-03-05,1764.95,1768.85,1718.6,1727.2,661463,
2020-03-06,1700,1710,1673,1688.9,498503,
2020-03-09,1650,1671.75,1606.1,1640.9,486073,
2020-03-11,1629,1642.8,1611,1629.25,617559,
2020-03-12,1580,1590.05,1480.3,1508,1279868,
2020-03-13,1380.1,1598.5,1379,1513.65,828569,
2020-03-16,1431,1540.9,1363.35,1472.8,1197701,
2020-03-17,1492.8,1518.95,1415.45,1426.75,610719,
2020-03-18,1454,1454,1233.55,1282.7,1731138,1608.299235209235
2020-03-19,1195.1,1248.25,1052.35,1180.1,2412020,1553.962860750362
2020-03-20,1190.25,1400.4,1150,1362.95,2002361,1521.6134752284747
2020-03-23,1226.7,1299.35,1149,1158.65,816579,1468.8911363636357
2020-03-24,1250,1265,1124.15,1156,1641799,1418.5256782106778
2020-03-25,1180,1222.2,1072.05,1183.75,2323541,1373.7259427609417
2020-03-26,1190,1336.3,1132,1215.85,2809837,1334.8816390091406
2020-03-27,1259,1259,1130.3,1167,2480908,1293.220924723425
2020-03-30,1139,1167,1080.15,1098.25,1207572,1246.890887445887
2020-03-31,1122,1155.1,1047.05,1139.05,1882578,1208.260716690717
2020-04-01,1136,1139,1080.05,1088.85,1017298,1167.4222534872533
2020-04-03,1094.2,1239.45,1088.05,1189.55,2397409,1140.876848244349
2020-04-07,1236,1278.65,1212.5,1225.95,1473098,1121.2384944684939
2020-04-08,1225.9,1338.4,1211,1263.95,2070270,1108.4209391534396
2020-04-09,1266,1300,1256.65,1279.85,1156778,1099.7393614718617
2020-04-13,1300,1300,1229.8,1279.4,1027810,1093.5102693602691
2020-04-15,1295,1414.95,1291.6,1360.55,2274130,1098.16544011544
2020-04-16,1370.75,1440,1334.05,1423.45,1281809,1111.329129389129
2020-04-17,1450,1472,1360,1374.1,1718048,1120.6334535834535
2020-04-20,1385,1465,1373,1450.95,1860261,1139.9970743145743
2020-04-21,1416,1433.05,1330.1,1351.15,1669512,1149.9703222703229
2020-04-22,1351.25,1368.35,1311.4,1348.3,1272573,1161.2131721981718
2020-04-23,1372,1416.9,1361.8,1384.05,1301177,1177.6139430014427
2020-04-24,1360,1377.5,1341.1,1359.5,756054,1192.482522847523
2020-04-27,1370.1,1423.35,1370.1,1418.9,1179829,1214.3058429533432
2020-04-28,1429.8,1458.2,1417.05,1426.45,1214114,1237.2864598364595
2020-04-29,1420,1428.8,1375,1417.95,1010961,1259.4266654641651
2020-04-30,1441.9,1441.9,1387.25,1394.35,731401,1278.92050986051
2020-05-04,1394.65,1427.15,1355.5,1371.75,1532116,1295.231340788841
2020-05-05,1399,1401.8,1334.45,1347.6,652261,1307.7631830206833
2020-05-06,1350,1359,1261.75,1305.75,1621448,1315.6874110149106
2020-05-07,1293.95,1335,1265.5,1271.15,935845,1318.8924555074555
2020-05-08,1280.3,1327.5,1276.2,1314.8,1250587,1325.8878835978833
2020-05-11,1320,1341.75,1282.4,1304.2,718005,1330.814730639731
2020-05-12,1296.1,1320,1280.95,1301.1,663107,1334.6878835978832
2020-05-13,1334,1334,1258,1284.55,1508002,1335.8164153439159
2020-05-14,1289.3,1310,1265.8,1294.4,907116,1336.7350444925446
2020-05-15,1299,1377.1,1290.15,1355.3,1984100,1343.044702982203
2020-05-18,1355,1364.9,1256,1266.05,860702,1338.1059692159686
2020-05-19,1290,1302,1267,1274.25,960164,1333.2938696488698
2020-05-20,1274.9,1298.95,1270.1,1288.45,532117,1329.407902837903
2020-05-21,1292,1310,1272.2,1280.3,608962,1324.1931180856186
2020-05-22,1270,1296,1252.65,1280,775353,1318.6276406926402
2020-05-26,1290,1338.8,1286.1,1321.75,1145344,1317.1975276575274
2020-05-27,1322.2,1359.5,1318,1337.6,1386457,1317.402056277056
2020-05-28,1340,1354,1317,1337.05,523207,1317.7480254930256
2020-05-29,1323,1367.6,1314.95,1356.95,870048,1320.1697991822996
2020-06-01,1372,1398,1357.55,1373.3,868868,1324.5820767195771
2020-06-02,1379,1394.85,1350.5,1360.65,608623,1327.291996151996
2020-06-03,1370,1407,1340.05,1349.8,738651,1328.5609223184217
2020-06-04,1355,1367.75,1336,1364.25,762916,1331.3702537277543
2020-06-05,1369.6,1380.8,1351.7,1359.05,548934,1333.4252320827322
