Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,1790.2,1802.55,1783.2,1793.2,397285,
2020-01-02,1791,1799.9,1783.4,1790.65,411266,
2020-01-03,1779.8,1779.8,1747.05,1751.4,1318628,
2020-01-06,1737.95,1738,1694,1707.15,1871804,
2020-01-07,1711,1740.5,1711,1724.4,1033650,
2020-01-08,1696,1736,1695,1728.8,1006057,
2020-01-09,1763,1775,1741,1772.55,1781733,
2020-01-10,1772,1797.3,1760,1792.55,1256612,
2020-01-13,1799,1807.95,1794.35,1804.9,823821,
2020-01-14,1805,1821.65,1804.8,1819.15,775629,
2020-01-15,1817.5,1845,1810.1,1842.25,1252925,
2020-01-16,1835.95,1848,1828.75,1835.15,1031569,
2020-01-17,1835.6,1838.9,1815,1830.05,862204,
2020-01-20,1838,1862.25,1833.6,1848.75,1091453,
2020-01-21,1839.95,1842.55,1793.85,1810.75,2101561,
2020-01-22,1815,1818.7,1766.85,1779.25,3415306,
2020-01-23,1779,1789,1757.1,1776.1,1885275,
2020-01-24,1783.65,1799.9,1780.25,1786.8,1195596,
2020-01-27,1787,1805.75,1780,1788.35,969054,
2020-01-28,1794,1794,1773,1779.1,873291,
2020-01-29,1787,1803.85,1781,1796.95,873805,
2020-01-30,1800,1808.9,1786,1805,1005975,
2020-01-31,1810,1824,1788.7,1795.65,1169614,
2020-02-01,1802,1817.8,1747,1755.35,750220,
2020-02-03,1768.8,1872.9,1765,1867.65,2854532,
2020-02-04,1870,1896.75,1855.05,1891.3,1830049,
2020-02-05,1889,1890,1866.15,1873.5,1344016,
2020-02-06,1878,1882.4,1845,1856.8,995386,
2020-02-07,1856.8,1876.5,1850.6,1858.7,632858,
2020-02-10,1867,1872.75,1837.2,1869.5,747711,
2020-02-11,1880,1894.5,1872.75,1878.1,1093021,
2020-02-12,1880,1916.7,1878.2,1893.7,1616826,
2020-02-13,1889,1901.95,1868.05,1874.05,638878,
2020-02-14,1876.5,1899.65,1870,1877.05,771464,
2020-02-17,1879.9,1893.5,1870.6,1881.4,676579,
2020-02-18,1879.9,1879.9,1861,1863.65,683421,
2020-02-19,1870.1,1892.75,1851.35,1884.9,723351,
2020-02-20,1883,1886,1839.05,1842.25,1401879,
2020-02-24,1845.25,1853,1814,1818.95,1310832,
2020-02-25,1838.4,1843.55,1820.2,1826.1,897257,
2020-02-26,1826,1845,1820,1826.65,1909619,
2020-02-27,1829.85,1852,1810.45,1843.8,1643273,
2020-02-28,1820,1842.1,1783.15,1797.95,2964119,
2020-03-02,1815.1,1837.45,1769.25,1786.8,1219296,
2020-03-03,1780.05,1818,1767,1800.55,1392463,
2020-03-04,1804.05,1857.45,1804.05,1847.95,3050469,
2020-03-05,1854,1882,1852.1,1874.45,2062439,
2020-03-06,1840,1884.4,1835,1877.45,1393659,
2020-03-09,1888,1915.9,1848,1867.15,3420762,
2020-03-11,1874.95,1905,1851.5,1882.85,3194206,
2020-03-12,1864.95,1874.8,1815,1843.35,6254349,
2020-03-13,1785,1843.75,1669.85,1797.7,3878660,
2020-03-16,1777,1777,1678.15,1683.4,2867373,
2020-03-17,1699,1779.8,1670,1731.6,2643191,
2020-03-18,1732,1758.55,1608,1618.2,3677445,1797.3973184223178
2020-03-19,1540,1653.95,1431.2,1601.2,4906647,1772.1625396825389
2020-03-20,1610,1757.4,1570.55,1742.95,3128644,1763.3530194805205
2020-03-23,1578.6,1650,1490.75,1498.45,2155326,1728.9856734006742
2020-03-24,1556.55,1598,1453.25,1524.85,3911847,1699.2913756613752
2020-03-25,1446.55,1605.35,1446,1593.15,2196424,1678.7481457431454
2020-03-26,1605,1650,1574,1616.95,2622119,1662.1559319384323
2020-03-27,1664.8,1665.25,1550.2,1604.15,2102479,1645.49585016835
2020-03-30,1591.15,1619.5,1559.05,1594.95,1844011,1629.207634680135
2020-03-31,1625,1690,1601.8,1666.5,2789179,1621.8788720538714
2020-04-01,1650.05,1655,1584.25,1603.2,1559456,1608.8336519961513
2020-04-03,1615.1,1616,1517.25,1520.9,2925847,1588.0951623376632
2020-04-07,1540,1635,1538,1623.8,2733614,1579.7499879749882
2020-04-08,1623.8,1687.8,1600,1608.95,2382216,1570.746872294372
2020-04-09,1640,1678.9,1618.95,1651.35,1489546,1567.2948941798938
2020-04-13,1646,1703.65,1602.85,1680.85,2586216,1567.893702501203
2020-04-15,1703.65,1736.75,1683.8,1718.2,2508280,1573.0295226070227
2020-04-16,1691,1752.3,1684.75,1743.1,1821296,1581.1565199615197
2020-04-17,1763,1783.7,1727.1,1756.25,1398782,1590.974985569985
2020-04-20,1758.25,1758.65,1705.65,1730.45,1431055,1598.4945129870125
2020-04-21,1710,1753.95,1700,1726,1594930,1606.261562049063
2020-04-22,1717.1,1822,1712.25,1813,3727806,1624.116881914382
2020-04-23,1807,1845.4,1801.05,1821.65,2573566,1643.1959175084173
2020-04-24,1815.05,1842.8,1814,1827.55,2744934,1663.2417171717175
2020-04-27,1840,1859.8,1818.1,1851.35,1770892,1685.9418290043282
2020-04-28,1847.2,1864,1806.3,1824.4,1934920,1705.5329160654167
2020-04-29,1846.9,1847,1755.9,1767.5,2931170,1718.253458393458
2020-04-30,1795,1797,1741,1758.7,2926355,1729.7608068783074
2020-05-04,1718,1751,1671.5,1676.8,2942445,1731.675223665224
2020-05-05,1681,1692.9,1578.25,1619.15,5867979,1726.8959716209704
2020-05-06,1615,1638.7,1577,1610.65,3937921,1721.7054797979783
2020-05-07,1609.95,1628.7,1545.2,1594.3,5256263,1714.001467051468
2020-05-08,1611.8,1638,1570,1578.4,5644457,1704.0421368446364
2020-05-11,1583,1599,1555,1569.6,3767769,1693.0132515632522
2020-05-12,1539,1543.75,1512,1523.35,4504103,1677.0818434343432
