Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,754.9,759.95,747.2,748.7,4917748,
2020-01-02,750,759,747.6,756.95,5156046,
2020-01-03,753.15,756.25,740.5,742.95,8489729,
2020-01-06,739.45,739.6,721.7,723.25,6356198,
2020-01-07,728,738,721.05,725.75,9103360,
2020-01-08,715.25,725.75,709.1,724.5,8973215,
2020-01-09,733.55,745,731,742.85,7559853,
2020-01-10,743,751.8,734.8,740.05,8550490,
2020-01-13,740,746.75,735.35,737.4,6423758,
2020-01-14,740,751.4,734.2,747.9,7237665,
2020-01-15,747.05,749,738,746.3,7911661,
2020-01-16,746.5,750.4,735.1,737.3,6487613,
2020-01-17,734.85,742.45,730.85,739.9,7678864,
2020-01-20,742.95,746.2,725,727.2,10677371,
2020-01-21,726.35,729.6,716.05,717.6,8242803,
2020-01-22,717,722.75,706.6,712.6,13321307,
2020-01-23,725.05,737.55,719.4,723,20643257,
2020-01-24,723.4,741.7,720.4,737.4,9541490,
2020-01-27,732.45,748.45,731,740.25,9170435,
2020-01-28,738.4,746.5,735,737.15,7836737,
2020-01-29,740,745.5,733.55,735.25,7985274,
2020-01-30,735.75,736.4,727.3,730.9,6041343,
2020-01-31,734.7,737.25,725.2,729.3,8345819,
2020-02-01,728.55,734.35,702,705.45,7341770,
2020-02-03,704.7,712.8,695.55,708.95,11594991,
2020-02-04,712.45,720.6,710,715,9653925,
2020-02-05,719.45,725.65,715.2,724.05,7975101,
2020-02-06,727.45,745,723,736.95,9627252,
2020-02-07,736.7,749.2,734,748.15,8438354,
2020-02-10,746.3,746.8,739,741.1,4713339,
2020-02-11,743,757.1,742,749.95,7845657,
2020-02-12,752,760.7,751,755.25,6190440,
2020-02-13,751.1,753.45,742.3,747.8,5031706,
2020-02-14,748.1,752.55,732.1,736.5,6155000,
2020-02-17,737.4,743.1,730.2,738.4,4275465,
2020-02-18,737.75,737.75,724.7,733.65,5215502,
2020-02-19,740.65,745.1,735.35,741.05,4372673,
2020-02-20,742.75,754,737.6,744.3,7529403,
2020-02-24,737.95,738.4,723,725.45,6589087,
2020-02-25,729.4,732,722.05,728.75,5419596,
2020-02-26,725.3,735.75,722,729.4,7136975,
2020-02-27,728.7,739.45,716.55,735.85,8867328,
2020-02-28,718.9,724.7,691,697.3,16428944,
2020-03-02,709.3,713.25,675.3,684.2,13854352,
2020-03-03,689.9,695.8,675,687.15,11198145,
2020-03-04,690,696,668.3,682.2,14802724,
2020-03-05,686.5,694,675.25,677.9,10508008,
2020-03-06,650,660.8,641.05,657.65,12969235,
2020-03-09,639,641.85,615.1,623.55,14336439,
2020-03-11,613.65,634.4,612.1,619.35,11021533,
2020-03-12,592,594,528.15,543.25,29369628,
2020-03-13,516.95,585.65,451.1,568.8,25599380,
2020-03-16,542.35,545,502.35,508.6,21543626,
2020-03-17,515.15,531.3,477.45,488.35,20594426,
2020-03-18,490,506.05,392.1,473.45,36268578,588.8262830687834
2020-03-19,441.05,464.95,423.75,428.25,33244422,563.2278258778259
2020-03-20,431.4,449.7,414.2,428.15,30764380,539.1031625781624
2020-03-23,385.35,392,302,308.65,37622791,503.6172414622416
2020-03-24,331.95,337.5,291,303.15,50683611,469.5949422799422
2020-03-25,293.5,363.75,286,326.8,51994332,440.2258429533431
2020-03-26,335.95,399,332,341.4,62971676,414.38948412698403
2020-03-27,370,409.45,354.05,359.75,71043359,392.36090668590634
2020-03-30,345,382,340.35,368.15,61772934,372.9870021645022
2020-03-31,384.4,389.8,372.65,379,34637418,356.4679665704666
2020-04-01,376.25,379.8,354,358.65,27745001,339.45145502645505
2020-04-03,360.2,362.3,324,325.45,41317685,320.66551707551696
2020-04-07,347.4,405.75,342.35,388.85,48093870,310.51555916305927
2020-04-08,383.75,427.7,373.5,391.35,64930772,302.20560485810506
2020-04-09,405,423,398.65,420.15,44090829,298.54365800865787
2020-04-13,417.95,427.9,402,418.95,33432493,296.224126984127
2020-04-15,434,451.65,412.45,417.3,48315084,295.00663299663324
2020-04-16,408.6,427,400.7,422.55,42344581,295.5720550745551
2020-04-17,450,485.9,432.4,478.8,47831855,303.3691654641654
2020-04-20,482,483.45,451.25,455.95,42163860,309.62632996632993
2020-04-21,436,439.95,412.95,420.65,33572228,313.0910798460798
2020-04-22,418.55,434.55,412,431.15,36619626,318.7292784992787
2020-04-23,434.6,439.85,426.05,430.05,29418033,325.0701418951417
2020-04-24,416,419.65,401.25,403.95,35773432,329.4208068783069
2020-04-27,415,429.5,409.1,427.3,35987021,336.7990283790284
2020-04-28,438,458.4,435.25,455.45,43938651,347.7613816738816
2020-04-29,430.75,448.85,425.95,439.1,61500039,357.0885557960558
2020-04-30,451,461.9,440.4,444.9,40383418,367.11858465608475
2020-05-04,424,424,399.7,402.8,37854079,372.6076911976915
2020-05-05,414,418.75,386.5,389,50982763,376.5359018759018
2020-05-06,385,394.45,368.05,388.85,67511657,380.42196969696954
2020-05-07,387,402.25,382.7,397.35,41339427,384.5656794131792
2020-05-08,403.5,409.45,379.65,382.05,33506610,386.34272967772966
2020-05-11,391,393.5,376.85,379.55,30143521,387.31725709475734
2020-05-12,376.3,391.8,370,386.85,38411667,388.632952140452
2020-05-13,411,416.45,399.6,414,48206377,392.4871440596439
2020-05-14,405.05,411,397.65,401.95,31604457,394.5970226070226
2020-05-15,402.75,403.9,386.8,388.55,25435045,394.93436868686865
2020-05-18,389,389,352.3,358.8,47864793,391.69711760461774
2020-05-19,368.8,372.5,350.1,354.5,42889862,387.5723725348726
2020-05-20,353,366.3,350,362.5,30722038,384.24563973063977
2020-05-21,363,369,355.7,357.2,24794934,380.2658706108705
2020-05-22,352.1,359.75,332.85,336.95,48368474,374.2078391053389
2020-05-26,342,347.7,336.35,341.3,30693404,368.7907154882156
2020-05-27,346.1,392.45,341.5,387,72445794,368.4409680134682
2020-05-28,390,407.65,387,390.95,72694994,368.50954304954314
2020-05-29,382,389.25,375.35,384.95,51056884,368.20773809523774
2020-06-01,394.3,409.5,392.55,396.95,44253432,369.3742893217895
2020-06-02,398,415,391.55,410.1,37509637,371.89273088023066
2020-06-03,422,432,405.25,409.55,49057169,374.3028727753727
2020-06-04,407.6,413.9,391.55,394.35,45553928,375.0539478114478
2020-06-05,399,409.9,390.5,405.3,39004703,376.8829268879271
2020-06-08,415,444.75,414,430.25,60387850,381.41194444444443
2020-06-09,434.95,442.5,416.5,420.05,46274196,384.89147065897066
2020-06-10,422.2,432.7,415.3,427.45,36163767,389.20714766714747
2020-06-11,426.5,435.55,408.7,413.45,45563053,392.0756072631075
2020-06-12,390,412.5,389.15,408,47814513,394.2648280423281
2020-06-15,405.95,405.95,383.65,389.6,39578304,394.3689417989418
2020-06-16,404.9,405,360.4,381.55,96190274,393.5815548340548
2020-06-17,377.45,397.75,375.3,389.6,56950626,393.7876034151031
2020-06-18,386,408.05,384,405.4,43774453,395.70269841269845
2020-06-19,407.5,422.3,407.5,417.05,52085893,398.78027417027425
2020-06-22,420,435.9,418.1,430.15,40454158,403.1507563732567
2020-06-23,430.5,445,430.4,443.65,30757921,408.92793169793174
2020-06-24,448,448.5,422.2,424.65,33577340,412.4977837902835
2020-06-25,419,428.7,410.35,421.7,49854504,415.59020202020173
2020-06-26,426,428.75,418,424.85,32611425,418.7282575757575
2020-06-29,415,415.8,402.35,404.8,36320111,419.410422077922
2020-06-30,410,414.8,404.05,406.65,26951992,420.0773484848487
2020-07-01,410,437.35,406.65,433.25,53380997,423.3425697450698
2020-07-02,441,441.5,421.3,423.2,50362840,425.0299879749878
2020-07-03,430,431.6,423.65,428.45,31044470,426.8493326118326
2020-07-06,434.15,437.6,431.1,434,18425359,429.051248196248
2020-07-07,433.5,449,426.2,447.35,37991906,432.4631782106785
2020-07-08,450,461.4,441,444.15,45878605,435.18167027417036
2020-07-09,447.85,457,446.05,453.75,29162682,438.6713359788358
2020-07-10,449.9,451.45,437,439.6,25676461,440.4354713804715
2020-07-13,443.95,446.4,432.75,440.05,21326996,442.09431337181314
2020-07-14,434.9,435.8,415.4,417.7,25686686,441.12320707070694
2020-07-15,424,444.45,422.75,426.65,43250557,441.0543494468497
2020-07-16,431.95,436.15,418.45,434,30183798,441.79161736411737
2020-07-17,434,439.9,424.6,433.1,33465094,442.34471861471894
2020-07-20,437.7,442.8,429.3,434,30400830,442.96045815295787
2020-07-21,440,451,438.5,446.2,43147781,444.76753246753225
2020-07-22,478,484.6,460.1,478.95,89612153,449.90960076960096
2020-07-23,472.95,474.75,459.2,460.85,40250274,452.698041125541
2020-07-24,456.6,456.6,441.55,445.6,30567381,453.4797294372296
2020-07-27,447,448,429.9,431.55,21924614,452.49109547859564
2020-07-28,434,440,424.4,437.05,33057789,451.98553030303003
2020-07-29,435.75,447,434.3,440.9,24404909,451.8239826839825
2020-07-30,441.9,445.9,424.75,425.85,26862223,450.02815416065397
2020-07-31,429,434.45,421.3,431.65,27499643,448.95562890812926
2020-08-03,431.6,431.9,415.7,417.35,23824147,446.33320947570985
2020-08-04,421.85,431.2,417.35,429.15,24748403,445.01679292929265
2020-08-05,439,446.85,433.15,434.95,36936666,444.34473544973537
2020-08-06,436,438.3,427.1,433,33465332,443.3564658489657
2020-08-07,431.45,437,427.15,433.3,15570556,442.3067003367005
2020-08-10,434,437,429.3,431.1,14888275,441.07037157287175
2020-08-11,435.3,449.9,435.3,448,30469680,441.66409451659445
2020-08-12,444.8,452.75,438.95,451.1,23184443,442.55580687830707
2020-08-13,454.1,456.75,445.35,448.1,21885898,443.0772378547379
2020-08-14,451.5,451.5,425.6,435.85,36726464,442.319310966811
2020-08-17,439.1,441,425.35,438.15,30198451,441.88477994228
2020-08-18,439.5,447.25,435.3,445.8,21768573,442.37918470418464
2020-08-19,446,451.95,442.45,444.2,18133177,442.69253848003854
2020-08-20,437.9,441.3,433.25,434.95,16689591,442.01536315536333
2020-08-21,440,444.85,436.25,440.45,25088216,441.8625673400674
2020-08-24,444,449.45,442.3,445.8,18197925,442.23279461279475
2020-08-25,450.95,456.4,447.1,451.8,26273650,443.1935425685422
2020-08-26,452,464.8,449,463.35,25914927,445.31346560846555
2020-08-27,464,474.5,464,473.05,19544322,448.34069504569555
2020-08-28,476.45,513,476.05,509.2,59180165,455.1377765752766
2020-08-31,524.45,533.85,486.3,496.75,55830575,460.506590909091
2020-09-01,495.05,503.4,479.65,485.7,33276900,464.5711075036075
2020-09-02,487,487.95,472.1,484.4,20750735,468.351798941799
2020-09-03,488.4,489.95,473.1,474.95,14046055,470.90191919191955
2020-09-04,469,472.95,452.6,455.2,29405504,471.1806012506011
2020-09-07,457,467.15,450.65,458.7,25967554,471.78339466089415
