Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,942,943.25,935.2,937.85,636680,
2020-01-02,937.85,953.1,937.85,950.56,1578910,
2020-01-03,946.5,950.46,932.4,934.59,1824790,
2020-01-06,933.9,933.9,902.2,904.27,2442890,
2020-01-07,912.5,926.5,906.51,909.57,2426760,
2020-01-08,897.1,916.69,896.16,914.55,2697180,
2020-01-09,949.99,949.99,920.9,939.53,2141970,
2020-01-10,937.52,943.49,933.83,937.23,1393930,
2020-01-13,939.98,946.8,936.5,945.53,1507130,
2020-01-14,944.6,957.98,940.53,955.49,1628990,
2020-01-15,953.99,961.9,950.16,958.92,1372300,
2020-01-16,959,964,956.51,962.22,1357820,
2020-01-17,961.4,974.03,960.1,971.5,2841290,
2020-01-20,972.5,976.44,955,957.28,1841980,
2020-01-21,958.4,962.5,950.82,953.43,1745070,
2020-01-22,959,960,949.5,954.75,1395250,
2020-01-23,954.75,959.6,948.42,953.42,1812800,
2020-01-24,951.92,965,948.01,963.38,1239780,
2020-01-27,959,964.89,953.5,955.76,1131280,
2020-01-28,955.76,971,953,963.13,1904690,
2020-01-29,964.9,992.9,964.9,989.43,5019130,
2020-01-30,992.4,995,960.34,963.97,4128250,
2020-01-31,970.8,970.8,941,944.14,3295410,
2020-02-01,944.26,961.4,882,894.74,7148930,
2020-02-03,895.5,923.5,888.5,908.62,5025510,
2020-02-04,918,962.49,916.13,953.49,4636970,
2020-02-05,954,968.4,945.77,959.14,3245400,
2020-02-06,960,970.9,956,961.97,2713430,
2020-02-07,961,967.37,956.11,962.33,1426260,
2020-02-10,960.5,965.8,953.1,962.7,1435280,
2020-02-11,964.35,981,964.35,973.16,1955790,
2020-02-12,973.8,984.1,968.53,977.19,1885280,
2020-02-13,975.8,979.5,968.9,971.72,1366300,
2020-02-14,973.5,979.5,965.31,969.05,1392370,
2020-02-17,969.98,978.53,951.46,952.89,1754010,
2020-02-18,952.7,956.5,941.6,952.95,2663840,
2020-02-19,958,978,958,975.87,2211320,
2020-02-20,975.8,982.76,969.38,970.97,1670200,
2020-02-24,968,968,944.83,946.69,1993290,
2020-02-25,950,955,935.11,952.5,2220180,
2020-02-26,945.5,949.49,936,938.7,1755170,
2020-02-27,938.5,949.47,926.68,940.8,2075830,
2020-02-28,927.05,928.66,882.51,905.08,5378520,
2020-03-02,930,930,880.8,891.45,3090310,
2020-03-03,900,911.67,868,896.37,5507290,
2020-03-04,900,906.66,859.33,879.97,4402510,
2020-03-05,887,897,876.11,887.99,3198530,
2020-03-06,857,862.5,840,860.32,4086990,
2020-03-09,843.9,845,816,820.71,3705080,
2020-03-11,818,839.71,812.81,825.4,3723530,
2020-03-12,790,798.2,740,743.81,6192010,
2020-03-13,680,788.39,652.42,774.2,5956730,
2020-03-16,745,756.65,720,749.56,5622460,
2020-03-17,750.1,752.2,695.68,701.75,4476120,
2020-03-18,715,720,625.74,631.02,6454980,791.2903556998558
2020-03-19,586.5,620.59,544.27,578.55,8166380,759.0146154401161
2020-03-20,572.52,639.2,570,623.3,6574700,733.3307883597885
2020-03-23,564,589.04,444.9,462.11,6880280,691.9598648388653
2020-03-24,490,508,416.03,449.78,15587860,651.6650329485323
2020-03-25,445,492,440.01,483.03,7972730,617.4281067821066
2020-03-26,497.5,555.48,482.52,514.73,10191240,588.8962965367963
2020-03-27,547.7,566,467.5,489.06,12918190,559.7583152958157
2020-03-30,470,477.96,455.5,466.12,7509120,530.3240909090906
2020-03-31,481,487.96,443,459.12,11561790,502.4097710437709
2020-04-01,456,466.77,446,450.19,7577720,475.95694179894156
2020-04-03,456,464.6,443,451.08,7223160,452.0268025493026
2020-04-07,462,481.88,432.91,472.49,11307380,432.6831007696006
2020-04-08,457.5,495,453.78,460.85,11130570,414.3139850889853
2020-04-09,470.5,484.8,466.2,482.03,8642220,400.4108710918712
2020-04-13,484.4,484.4,446.94,449.14,8917090,385.10257912457894
2020-04-15,455.1,466.43,448,459.91,9830710,373.03313564213545
2020-04-16,457,476,450.88,469.96,7473540,364.0024336219334
2020-04-17,487.6,513.6,485.51,499.97,13522230,360.1292912457915
2020-04-20,508.58,509,472.05,488.23,9031570,356.7079581529582
2020-04-21,474.9,474.9,457.5,459.51,6709440,352.02102356902355
2020-04-22,458.5,481.57,448.5,477.58,7921580,351.063822270322
2020-04-23,480,485.8,470.51,472.96,6918380,351.09475348725323
2020-04-24,467.5,467.5,436.5,438.98,10220430,349.0308946608941
2020-04-27,443.02,467,428.8,461.75,11338880,350.6915098605099
2020-04-28,469.1,491,458.12,486.18,15204280,356.34163732563775
2020-04-29,486.51,507,482.24,499.87,15235280,364.57778379028355
2020-04-30,510.8,517.5,505.09,510.44,10644090,374.7200199615198
2020-05-04,492.2,493.99,472,476.24,8107090,381.54459620009595
2020-05-05,489,492,461,462.92,8158890,387.16794324194336
2020-05-06,464.7,478.98,454.2,469.29,12628300,393.99806950456934
2020-05-07,467.8,479.6,464,467.34,6454310,400.26088167388195
2020-05-08,476.8,477.84,457.74,460.1,4885870,405.3266149591152
2020-05-11,468.73,471.77,454.01,455.8,5852300,409.717183982684
2020-05-12,452.8,471.58,445.55,466.82,10188930,415.26525324675345
2020-05-13,494.8,505,477.81,481.64,6987550,422.1927282347283
2020-05-14,477,493.79,472,479.03,7928680,428.4524374699373
2020-05-15,479.2,483.37,470.1,472.33,3951240,433.58120538720544
2020-05-18,472.46,473.91,445.1,446.55,6469420,435.50371356421357
2020-05-19,452,459.5,443.33,453.55,5741510,437.85965752765776
2020-05-20,454.8,473.99,452.15,470.21,5828850,441.7805923520924
2020-05-21,472.5,474.27,451.5,453.92,10926210,443.59347089947096
2020-05-22,450.91,457.85,408.7,431.56,27250180,442.84457311207325
