Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,3183,3193.75,3142.1,3150.1,320021,
2020-01-02,3154.95,3172.5,3112.05,3121,452413,
2020-01-03,3125.5,3128.25,3065,3072.05,424311,
2020-01-06,3070,3071.6,3028.05,3037.65,355754,
2020-01-07,3045.5,3072,3030.1,3037.95,225535,
2020-01-08,3000,3073.4,3000,3059.25,393614,
2020-01-09,3076,3110,3066.05,3085.7,333029,
2020-01-10,3098,3117,3085.75,3101.2,455081,
2020-01-13,3106,3119.95,3080.2,3094.05,154993,
2020-01-14,3091.1,3118,3074,3101.6,278534,
2020-01-15,3101,3138,3092,3123.55,553613,
2020-01-16,3129.8,3150,3101.5,3112.1,287553,
2020-01-17,3112,3138,3098,3118.1,272072,
2020-01-20,3130,3144.65,3083.15,3103.7,365554,
2020-01-21,3096,3119,3085.5,3097.05,215722,
2020-01-22,3105,3110,3070.1,3076.4,269339,
2020-01-23,3072,3089.95,3051.1,3065.2,256329,
2020-01-24,3068,3092.95,3064,3074.15,209961,
2020-01-27,3069.8,3122.95,3044.05,3082.6,308445,
2020-01-28,3089.8,3109.6,3048,3060.9,239986,
2020-01-29,3079,3099,3060,3091.85,243945,
2020-01-30,3108.5,3185,3041.1,3145.5,2400831,
2020-01-31,3150,3239.95,3150,3180.05,1141144,
2020-02-01,3173.6,3215.6,3124.8,3143.3,477309,
2020-02-03,3143,3315.15,3115.1,3284.5,921166,
2020-02-04,3270,3313,3151,3162.8,1546450,
2020-02-05,3185,3220.9,3150,3161.5,646723,
2020-02-06,3170,3211,3141.4,3149.8,514236,
2020-02-07,3164.8,3189,3106.6,3134.85,454698,
2020-02-10,3138,3150.85,3091.7,3103.3,386072,
2020-02-11,3125,3150,3100,3145.45,274244,
2020-02-12,3164.7,3184.65,3136.85,3146.3,345354,
2020-02-13,3149,3172.2,3120.4,3136.4,268031,
2020-02-14,3145,3205,3136.8,3146.4,381580,
2020-02-17,3152.55,3159.45,3070,3075.6,269986,
2020-02-18,3064.7,3090.55,3033.5,3082.5,337054,
2020-02-19,3092,3111.95,3072.4,3090.9,220584,
2020-02-20,3091,3100.05,3057.65,3065.5,256115,
2020-02-24,3077,3084.65,2970.05,2980.5,499562,
2020-02-25,2992,3007,2931,2947.4,527499,
2020-02-26,2937,2974,2920,2946.6,445577,
2020-02-27,2944.8,2969.95,2913.5,2936.6,416726,
2020-02-28,2890,2915,2850.45,2890,925702,
2020-03-02,2920,2944.5,2772,2792.2,1281846,
2020-03-03,2700,2730,2653,2692.25,1459848,
2020-03-04,2720,2764.5,2653.5,2711.5,954038,
2020-03-05,2719.95,2749,2696.2,2703.65,384427,
2020-03-06,2640,2758,2620,2735.05,658891,
2020-03-09,2675,2690,2558.6,2573.35,706898,
2020-03-11,2580,2630,2562.7,2591.55,641982,
2020-03-12,2519.95,2535,2319.05,2338.9,799317,
2020-03-13,2249,2432.45,2040,2357.1,883265,
2020-03-16,2315,2389,2290,2339.55,963321,
2020-03-17,2345.2,2372.7,2250.05,2270.45,659035,
2020-03-18,2290,2309.9,2157.15,2169,593993,2454.1868025493022
2020-03-19,2119.75,2377.4,2032.35,2166.6,1010352,2389.633655603654
2020-03-20,2189.9,2298.9,2153.95,2242.3,718412,2337.6756024531032
2020-03-23,2052,2389,1900,1935.55,797174,2256.8364490139484
2020-03-24,2000,2057.9,1788.65,1937.15,1210613,2181.832324434825
2020-03-25,1917,1989,1866.6,1946.75,606235,2113.53977994228
2020-03-26,1998.2,2133.9,1934,2106.85,989242,2067.9866798941785
2020-03-27,2149,2167,2007.15,2053.45,938567,2021.5939742664746
2020-03-30,2016,2020.8,1945.05,1986.7,462909,1972.787391774892
2020-03-31,2037.35,2048.4,1930.3,2022.35,762791,1932.874634439635
2020-04-01,2000,2095.8,1990,2051.1,869738,1901.000028860029
2020-04-03,2051.1,2056.3,1957.55,2033.75,692220,1871.9515476190468
2020-04-07,2065,2303.55,2065,2280.05,1069884,1873.59394901395
2020-04-08,2180,2383.45,2168.55,2241.7,840875,1874.1180820105815
2020-04-09,2290,2524.95,2289.9,2435.95,1788928,1898.6152537277544
2020-04-13,2430.15,2430.15,2321.75,2397.55,654478,1921.2134776334765
2020-04-15,2410,2483.6,2320.05,2335.15,986750,1939.2773220298213
2020-04-16,2330,2365,2264.5,2333.55,944581,1959.1066606541613
2020-04-17,2380,2425.05,2347.05,2379.15,690554,1985.244499759499
2020-04-20,2410,2415,2351.7,2378.3,427669,2012.5984343434347
2020-04-21,2344,2354.45,2295,2323.25,702627,2035.3182455507458
2020-04-22,2323.25,2412.1,2296.1,2379.7,712534,2065.786113516113
2020-04-23,2379.7,2446.95,2368,2430.65,1179212,2102.275078162579
2020-04-24,2410,2472,2381,2445.35,669287,2140.726177248677
2020-04-27,2470,2551.85,2453.25,2505.75,1128657,2184.6083994709
2020-04-28,2510.85,2546.4,2431.35,2463.7,646908,2222.7847631072623
2020-04-29,2474,2520,2450,2499.15,525271,2263.5694757094757
2020-04-30,2525.1,2654,2510.15,2623.3,1118713,2316.0149795574803
2020-05-04,2550,2554.95,2415.4,2442.15,574562,2346.298370610871
2020-05-05,2475,2488.9,2400.8,2422.8,663761,2372.5910978835977
2020-05-06,2425,2495,2361.3,2471.85,778603,2402.7217857142846
2020-05-07,2470,2485.75,2400,2406.55,422146,2422.6084463684474
2020-05-08,2446.05,2450,2401.05,2419.05,455836,2440.87098965849
2020-05-11,2430,2624.95,2428,2566.3,1627649,2471.9391366041364
2020-05-12,2531,2655.9,2494.25,2628.85,1335103,2506.9079220779217
2020-05-13,2774,2774,2671.35,2696,1257856,2545.6908345358333
2020-05-14,2601.5,2730,2601.5,2702.65,893108,2581.186843434344
2020-05-15,2705,2710,2650,2663.6,645549,2608.652797017797
2020-05-18,2650,2653.35,2461,2477.45,1172814,2612.6558994709003
2020-05-19,2518,2555,2486.9,2509.3,641588,2617.342032227032
2020-05-20,2496,2580.45,2477.45,2557.75,947445,2625.7002994227983
2020-05-21,2634.5,2724.2,2621.25,2640.35,3481431,2640.9833249158246
2020-05-22,2623,2634.5,2542.8,2553.75,1328369,2645.7074338624343
2020-05-26,2580,2597.95,2533.6,2564.85,686476,2650.54576960077
2020-05-27,2569,2605,2540.3,2580.55,563893,2655.6397679172674
2020-05-28,2588,2619.5,2450,2600,1087116,2661.37338143338
2020-05-29,2603,2741,2591.25,2710.5,2057709,2677.71785954786
2020-06-01,2730,2790,2725.45,2758.3,1008599,2697.425444925444
2020-06-02,2759.9,2814.25,2726.2,2796.1,1283508,2718.9166654641667
2020-06-03,2825,2876.5,2770.1,2783.4,750002,2736.883639971139
2020-06-04,2778,2833.2,2756,2817.25,709467,2756.7473941798935
2020-06-05,2842,2842.9,2762,2776.3,723898,2770.4024819624833
2020-06-08,2800,2814,2745,2801.05,727119,2785.5618999518997
2020-06-09,2805.1,2814.6,2766,2791.15,619517,2798.1639622414623
2020-06-10,2790.2,2803.95,2703.35,2717.2,687956,2801.591083453583
2020-06-11,2717.2,2758,2703.4,2718.55,661183,2804.956119528619
2020-06-12,2610.25,2799.05,2610.25,2782.15,895713,2814.02985810486
2020-06-15,2774,2774,2707.95,2728.55,517426,2815.8591245791235
2020-06-16,2764,2786.95,2702.85,2718.45,611383,2815.5637938912932
2020-06-17,2718.45,2737.8,2674.2,2689.45,600389,2811.019432419432
2020-06-18,2689.45,2697.15,2646.15,2678.35,579581,2804.343603896104
2020-06-19,2690,2710,2655,2674.35,929101,2797.1214117364134
2020-06-22,2690,2873.95,2659.55,2855.75,1872879,2809.462699615199
2020-06-23,2890,2910.1,2844.95,2862.15,1089948,2822.165437710437
2020-06-24,2899.8,2979.9,2805.65,2817.25,1617177,2829.7820202020207
2020-06-25,2789.8,2890,2772.7,2820.45,1341923,2837.4446657046656
2020-06-26,2853.7,2900,2825,2867.6,1227666,2848.8438600288623
2020-06-29,2825,2870,2815,2859.5,680242,2858.02089105339
2020-06-30,2902.4,2913.45,2815,2826.05,751691,2862.393698893699
2020-07-01,2838.05,2872,2828.6,2842.05,525801,2867.8777008177026
2020-07-02,2857.9,2903.45,2837.1,2879.35,754915,2876.096435786435
2020-07-03,2899,2960,2887.6,2932.4,1394994,2888.6479353054365
2020-07-06,2942.05,2946,2884,2897.1,1126391,2895.943476430977
2020-07-07,2901,2974,2826.55,2847.15,2168031,2896.681215728717
2020-07-08,2882,2899,2811.6,2852.45,1348820,2897.5676924001946
2020-07-09,2878,2895,2840.2,2882,700527,2901.4299819624794
2020-07-10,2875,2915,2856.4,2894.7,688374,2906.5613131313125
2020-07-13,2898.9,2910,2876.8,2900,481614,2912.00602813853
2020-07-14,2898,2909.9,2847,2899.5,612986,2917.2641137566147
2020-07-15,2915,2955,2900,2942.05,905351,2926.7241786916798
2020-07-16,2944,2950,2898.9,2942.3,525135,2935.7483092833086
2020-07-17,2950,3000,2925,2995,687105,2949.929912217412
2020-07-20,3001,3020,2974,3002.55,766793,2963.772582972583
2020-07-21,3015,3057,2990,3004.3,834568,2976.5463744588733
2020-07-22,3011,3030.15,2906.55,2985.4,2050820,2986.4848015873017
2020-07-23,2965,3050,2939.65,3032.1,1057191,3000.4331301106286
2020-07-24,3030,3030,2978,2985.5,543609,3008.0928763828783
2020-07-27,2990,3035,2934.05,3020.5,621962,3018.3121620971624
2020-07-28,3021,3130,3018,3119.35,1263659,3037.7027537277536
