Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,423.78,425.2,422.1,423.13,4070420,
2020-01-02,424,429.58,423.5,424.61,8638440,
2020-01-03,422,423.48,417.3,419.35,11768500,
2020-01-06,416.4,420.4,398.38,399.67,28667350,
2020-01-07,405.5,409.2,399.62,400.77,21490420,
2020-01-08,395,406.04,395,405,16305760,
2020-01-09,410.59,414.8,408,412.42,14193880,
2020-01-10,413.01,418.59,411.8,414.49,11066240,
2020-01-13,416.8,418.23,414.6,416.45,6451520,
2020-01-14,417,420.24,415.05,419.3,7034340,
2020-01-15,419,422,417.01,420.73,6169760,
2020-01-16,419,423,418.8,422.03,5787280,
2020-01-17,421.7,424.2,420.2,423.18,6711290,
2020-01-20,422.9,425.3,412.52,415.26,8486390,
2020-01-21,415,418.61,411.71,413.86,8979220,
2020-01-22,418.6,418.65,412.34,414.22,7979010,
2020-01-23,412.3,416.39,408.5,412.58,11545220,
2020-01-24,412,420.57,411.1,419.45,8648920,
2020-01-27,417.4,420.8,415.4,416.44,7821550,
2020-01-28,415.02,424.9,415.02,421.3,10527640,
2020-01-29,424.49,444.4,421.51,441.9,45814130,
2020-01-30,446.4,448.5,434.49,436.43,35777740,
2020-01-31,437,442.01,433.38,436.59,17369270,
2020-02-01,435,444.75,420.33,427.61,21525630,
2020-02-03,425.02,437.69,425.02,435.94,10941810,
2020-02-04,438.8,455,437.72,451.93,19583230,
2020-02-05,451.5,454,447.77,452.82,12856310,
2020-02-06,452.82,467.79,452.5,466.64,18464770,
2020-02-07,466.4,468.69,462.61,465.43,9503260,
2020-02-10,466,473.4,464,472.18,11608790,
2020-02-11,473.7,478.5,473.6,474.94,11674290,
2020-02-12,477,478.22,472.2,476.87,8829640,
2020-02-13,476.6,480.06,473.5,479.54,6810390,
2020-02-14,480,481.5,476.8,478.18,7311180,
2020-02-17,478.18,479.8,475.01,477.67,7164840,
2020-02-18,476.94,477.2,470.16,475.8,7286110,
2020-02-19,478.5,488.7,478.01,487.81,11720490,
2020-02-20,486.79,492.34,485.38,488.05,16346430,
2020-02-24,484,487.6,475.12,480.4,12633890,
2020-02-25,484.99,484.99,478.4,482.6,9593090,
2020-02-26,481.5,483.78,476.73,481,8513460,
2020-02-27,481.5,481.5,471.21,475.98,11748700,
2020-02-28,464,464,431.18,446.59,49414100,
2020-03-02,460,461.8,430.57,436.08,22382160,
2020-03-03,440,447.5,432.01,445.41,20235030,
2020-03-04,446.6,449.68,422.5,428.64,24729910,
2020-03-05,431,436.76,427.32,433.07,18332950,
2020-03-06,412.5,423.8,403.65,422.59,33122380,
2020-03-09,407,412.75,394.52,402.68,35456330,
2020-03-11,401.4,411.89,398.5,403.07,27937880,
2020-03-12,386,387,362.81,373.44,52726220,
2020-03-13,344,404.35,328.11,395.26,48499220,
2020-03-16,383.35,383.35,360,367.23,31405260,
2020-03-17,370.21,373.47,340.2,344.49,25586160,
2020-03-18,349,353,301.89,306.14,54437640,403.0231180856181
2020-03-19,280,305.31,248.47,274.61,83248590,384.90859740259737
2020-03-20,279.99,304.4,262.17,295.19,61103090,369.91226479076477
2020-03-23,265.68,270,222.5,226.62,48443660,348.4215625300621
2020-03-24,247.2,256.87,210.47,247.42,62572260,330.3481447811449
2020-03-25,245,270,240,258.56,62263660,314.583455988456
2020-03-26,263.73,293.65,256.51,279.37,50961240,302.1252722462723
2020-03-27,295.5,304,250,254.23,71707190,287.9438439153439
2020-03-30,239.01,241.44,222.6,224.21,76983760,271.6254884559885
2020-03-31,230.51,234,210,221.58,110431740,256.23295286195264
2020-04-01,218,228.69,213.27,221.94,64084010,242.16107407407384
2020-04-03,226.88,234.37,218.31,220.75,61726830,229.24152886002895
2020-04-07,224.5,228.6,208.15,225.34,111637740,218.05772174122177
2020-04-08,218.4,237.4,214.42,233.29,91093460,208.95914357864353
2020-04-09,239.1,256.62,236.71,255.19,71938070,203.39432371332373
2020-04-13,252,252,226.6,228.73,81832710,196.05876334776354
2020-04-15,234.5,236.8,216.84,218.25,93336720,188.63282996633
2020-04-16,214.5,225,212.2,222,72467400,182.6339687349688
2020-04-17,235.5,237.59,223.52,230.82,101915580,178.63841774891773
2020-04-20,232.5,234.55,226.5,230.83,54033250,175.56811784511785
2020-04-21,221,221,208.5,209.98,73840770,171.21341630591627
2020-04-22,206,217,202.24,214.83,90627240,168.36605747955753
2020-04-23,216,221.91,211.2,217.25,71446270,166.62445165945184
2020-04-24,211.35,211.35,197.01,197.63,104945210,163.62155291005286
2020-04-27,200,208.5,191.57,204.41,144953020,162.12012554112556
2020-04-28,208.1,224.41,203.5,222.81,147563790,163.45498003848024
2020-04-29,220.01,237.5,220.01,229.65,150605980,166.14842255892262
2020-04-30,236.51,241.9,229.12,231.81,88842250,169.53657503607508
2020-05-04,220,220.22,202.86,207.97,73127540,170.62020923520936
2020-05-05,213,213.5,199.7,200.24,115212950,171.06025420875415
2020-05-06,201,213.19,195.24,210.63,131497000,172.94369312169312
2020-05-07,209.9,216.99,204.84,206.06,77702040,174.25225468975464
2020-05-08,213,213,201.5,202.42,69664050,175.21505483405502
2020-05-11,207,209.27,199.53,201.51,76550330,176.19917772967767
2020-05-12,198.97,208,197.71,206.97,103365280,177.99971933621953
2020-05-13,222,224,214.5,216.11,94413050,180.85348917748928
2020-05-14,215.9,225.9,209.68,211.2,143076140,183.0542005772007
2020-05-15,212,213.66,205.6,208.65,80268470,184.8648001443001
2020-05-18,209,209.35,192.6,193.86,108206560,184.97980158730158
2020-05-19,196,200.36,192.22,196.5,94137220,185.32890283790286
2020-05-20,197,206,193.5,204.28,163185760,186.47981746031752
2020-05-21,205.9,207.76,197.45,199.02,98804300,187.03992544492536
2020-05-22,197.5,200.7,186.53,189.53,161951520,186.69733958633967
2020-05-26,191.8,193.38,182.16,182.9,98695450,185.6657974987975
2020-05-27,183,194.6,178.3,193.65,173357830,185.80185088985098
2020-05-28,195.4,198.3,192.7,194.77,90517860,186.0504822029821
2020-05-29,191.4,198,189.1,195.37,103620570,186.39138672438662
