Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,456.05,460.5,449.75,453.3,5059995,
2020-01-02,454.1,459.4,453.5,455.2,4842142,
2020-01-03,455.7,459.2,451.5,455.1,5059594,
2020-01-06,453.9,457.45,444.65,449.65,7399981,
2020-01-07,452,455.3,443.1,445.1,4273646,
2020-01-08,442.6,460.75,440.35,458.85,13858623,
2020-01-09,468.4,474.95,455.3,460.1,17845812,
2020-01-10,464.8,465.95,454.2,457,37029733,
2020-01-13,459,470.3,454.25,468.9,14925989,
2020-01-14,468.9,472.65,466.6,469.35,8086659,
2020-01-15,469.5,472,465,467.85,10674839,
2020-01-16,469.2,476.95,468,473.9,15990374,
2020-01-17,475.1,503.8,475.1,500.05,60774623,
2020-01-20,499,512.7,494.25,508.7,44464024,
2020-01-21,510,515,504.4,511.75,64001338,
2020-01-22,514.75,523.75,506.7,514.5,19911947,
2020-01-23,515,526,512.35,523.65,15482185,
2020-01-24,520.5,527.35,514.15,524.25,23385562,
2020-01-27,521.15,524.1,511.9,514.4,11638278,
2020-01-28,514.35,514.4,486.1,491.25,31091035,
2020-01-29,493.1,501.4,488.25,490.25,19668016,
2020-01-30,492,492.9,480.1,489.8,15055241,
2020-01-31,493.2,499.4,487,496.45,18017965,
2020-02-01,493.4,501.25,483.3,497.2,5753361,
2020-02-03,496.05,513.35,496.05,510.05,14932443,
2020-02-04,514,522.6,503.45,518.9,14376670,
2020-02-05,518,537.5,515.8,533.35,30082900,
2020-02-06,535.05,552.8,534.1,546.8,16863683,
2020-02-07,548.9,549,538.25,539.45,8802579,
2020-02-10,540.2,543.65,536.1,538.7,8412522,
2020-02-11,539.5,544.65,532.75,534.3,6500749,
2020-02-12,536,542.35,535,539.6,5065813,
2020-02-13,539.7,542.75,531.75,539.95,5623475,
2020-02-14,544.9,567.55,534.25,565,36826473,
2020-02-17,564.95,568.7,556.5,564.85,22924036,
2020-02-18,563.35,568.85,537.3,548.25,21462600,
2020-02-19,549.1,553.6,538.75,543.4,21681078,
2020-02-20,543.7,552,538.6,545.6,15715009,
2020-02-24,542,542.05,527.1,529.9,9653196,
2020-02-25,533,537.95,530.95,535.25,9623521,
2020-02-26,532.7,539.4,520.3,535.95,18615730,
2020-02-27,534.7,535.85,527,531.65,11171400,
2020-02-28,524.9,528.4,513.5,523.5,16622086,
2020-03-02,534,536,511.85,518.35,9910097,
2020-03-03,524,533.35,514.15,520.8,10368929,
2020-03-04,525,532.8,507.4,516.75,17733434,
2020-03-05,522.8,530.7,516.65,526.9,14080598,
2020-03-06,517.75,523.65,511.45,519.15,9328722,
2020-03-09,510,512,491.05,496.25,15375756,
2020-03-11,487,508.5,487,493.8,21007587,
2020-03-12,478.5,481.5,459.2,464.95,14204414,
2020-03-13,453.8,509.05,420,491.85,23807651,
2020-03-16,472.25,492.95,456.15,464.8,14661576,
2020-03-17,465,481,444.35,454.7,12396973,
2020-03-18,460,478.8,407.45,425.55,28815241,495.8064706589708
2020-03-19,416.45,451.65,361.75,444.75,23574894,487.3191738816741
2020-03-20,445,472,436.65,462.65,19395922,481.24524050024047
2020-03-23,416.4,445.7,399.5,407.35,14632657,469.65352573352584
2020-03-24,410.9,437.85,400.15,404.05,12716346,458.348926166426
2020-03-25,406.55,438.25,405.6,429.1,13833486,450.4158405483407
2020-03-26,426.5,493.45,420.25,470.7,21891560,447.51601611351606
2020-03-27,470.7,474.8,437.5,448.95,16076582,442.7924711399708
2020-03-30,443.85,449.3,428,431.05,10022553,436.7570562770566
2020-03-31,441,447,424,440.9,16745176,432.38025372775354
2020-04-01,440,440,412.4,421.35,9469124,426.43295454545455
2020-04-03,432,432,415.6,423.95,14153710,421.39046536796525
2020-04-07,433.15,485.75,433.15,470.2,15267141,421.83540885040884
2020-04-08,474.35,491.1,453,461.65,13388084,421.7060582010583
2020-04-09,471,492.3,471,488.7,11742601,424.8431084656085
2020-04-13,491,520.9,491,512.2,23966611,430.7122775372777
2020-04-15,533.95,535.95,505.05,510.5,25793155,436.45938431938424
2020-04-16,500,513,497.35,500.45,17082242,441.1686423761422
2020-04-17,511,512.5,498.2,502.45,16127623,446.1847931697934
2020-04-20,507.7,507.7,486.9,490.3,11473202,449.9606637806634
2020-04-21,484,503.8,479.15,500.5,15491009,455.00739297739307
2020-04-22,516,517.05,492.05,501.4,18107820,460.2552344877346
2020-04-23,501.85,507.3,491.05,496,12532120,464.9044961519962
2020-04-24,494.9,499,484.45,494.25,11937738,469.3586435786442
2020-04-27,498.05,503.05,491.1,494.05,9888710,473.6349074074069
2020-04-28,497.45,497.45,484.1,485.65,11512936,476.9974855699856
2020-04-29,490.95,498.4,487.05,496,8217929,481.34283068783077
2020-04-30,503.1,515.95,495.2,514.3,19799179,487.41550144300135
2020-05-04,502.45,540,499.9,532.5,34019465,494.95622534872547
2020-05-05,538,553.7,526.05,528.05,29936910,501.54659211159174
2020-05-06,531.75,551.45,530.05,546,25594404,509.7067388167387
2020-05-07,545.35,545.35,524.45,528.05,15532288,515.214813612314
2020-05-08,540,545.8,528.3,530.05,13592563,520.277031024531
2020-05-11,533.05,548.5,532.1,536.2,14223774,525.4578487253489
2020-05-12,533,564,530.5,559.85,22616586,532.8235990860992
2020-05-13,568.4,569.75,549.3,555.95,21114162,539.1813756613755
2020-05-14,551.1,562.5,535.1,539.85,13180895,543.1475264550265
2020-05-15,543.5,556.9,539.4,554.1,14486155,548.1114634439632
2020-05-18,556.9,559,535.2,538.05,21586051,550.6603246753249
2020-05-19,558.5,603.5,557,598.8,71909586,559.1095081770083
2020-05-20,605,612,588.6,594.05,35744408,566.4140800865798
2020-05-21,590.5,604.5,585.4,594.55,20292652,573.109876142376
2020-05-22,597,597.4,587,593.2,11416299,579.1390283790281
2020-05-26,572,576.45,557.55,559.25,76497320,581.1420767195766
2020-05-27,561,565.55,553.85,563.1,22528009,583.3229028379033
2020-05-28,564.65,568,556,562.75,16270436,585.1638059163059
2020-05-29,558,564,543.8,552.6,54189241,585.6254016354015
2020-06-01,559,561.65,550.15,559.05,39288299,586.4717183742183
2020-06-02,563,572.3,556.1,558.1,31973639,586.9273376623373
2020-06-03,568,568.3,549.25,551.65,29235064,586.4171777296779
2020-06-04,552.3,585.4,549.55,572.45,29454952,587.8771188071187
2020-06-05,584,590,567.45,584.35,47874414,590.2493746993747
2020-06-08,588,593.7,579.2,585.15,20430645,592.3070995670995
2020-06-09,580,591.65,565.7,567.8,14939279,592.0400252525251
2020-06-10,571,576,563.05,567.1,19130490,591.3849398749401
2020-06-11,570,573.8,546.7,551.85,27293431,588.8895478595476
2020-06-12,540,562,540,560.1,18870757,587.2577164502163
2020-06-15,556,563.75,549,550.7,13584908,584.5240680615681
2020-06-16,558,559.3,537,544.9,19072659,581.2012987012985
2020-06-17,546.85,565.5,541,563.45,20531433,579.8661940836942
2020-06-18,564.25,572.9,558.2,560.9,19329827,578.1846620971622
2020-06-19,561.9,578.2,561,572.5,41152446,577.700883838384
2020-06-22,575.8,588,570.4,581.05,12715786,578.1323496873497
2020-06-23,581.05,584.6,574.35,578.8,9762436,578.2757190957191
2020-06-24,581,582,555,557.35,12387454,576.010731120731
2020-06-25,553.9,563.7,550,559,15589317,573.98094997595
2020-06-26,560,566.4,557.15,560.4,11109042,572.0797053872055
2020-06-29,558.9,568.95,551.2,567.1,12920745,571.1880964405965
2020-06-30,572,577,557.4,559.85,12939125,569.7252164502164
2020-07-01,575,575,558.3,560.15,13639649,568.5418434343431
2020-07-02,564.8,567,557.6,558.45,13542472,567.3975913900915
2020-07-03,561.8,583.45,560.6,581.45,20620014,568.7518903318908
2020-07-06,587.6,589.3,575.05,576.6,15818188,569.5355278980278
2020-07-07,579,582.6,566.05,567.15,12524549,569.2828330928328
2020-07-08,572,574,559,561.3,9404763,568.3683814333815
2020-07-09,564,570.25,560.3,568.65,8452964,568.2756289081289
2020-07-10,569.1,579,565.65,574.7,13284057,568.8195238095241
2020-07-13,574.5,589,570,586.8,16353967,570.585487012987
2020-07-14,584.5,596.8,578.55,589.35,32329098,572.6076996151992
