Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,246,246.95,244.25,245.83,4766592,
2020-01-02,245.6,245.85,243.23,243.78,6424966,
2020-01-03,241.95,243.38,236.43,241.75,22655540,
2020-01-06,237.5,240,232.58,234.58,15332634,
2020-01-07,233.95,237.38,229.93,230.5,23454588,
2020-01-08,225,232.2,224.28,229.95,24743076,
2020-01-09,236.08,237.2,232.73,235.28,12999312,
2020-01-10,236.9,237.35,233.2,235.13,8708498,
2020-01-13,235.5,238.13,234.5,235.38,7338838,
2020-01-14,236.95,239.38,236.05,236.68,7216716,
2020-01-15,236.25,236.48,231.6,233.98,9956518,
2020-01-16,234,234.75,230.08,230.9,6370550,
2020-01-17,231,232.63,226,226.95,11132598,
2020-01-20,227.48,233.35,225.8,228.58,11681302,
2020-01-21,228.8,233.25,227.53,231.93,8398840,
2020-01-22,232.6,233.23,227.05,227.73,7460864,
2020-01-23,229.75,235.9,228.5,234.5,11131352,
2020-01-24,234.63,236.6,232.35,233.05,7871260,
2020-01-27,233.25,235.9,231.5,233.88,8828966,
2020-01-28,234.55,241.13,233.8,240.48,15217662,
2020-01-29,241.98,243.45,238.33,239.53,14264654,
2020-01-30,240.03,242.25,232.58,234.83,10891876,
2020-01-31,235,236.3,228.03,228.48,13892950,
2020-02-01,228.25,232.2,218.65,221.75,9155930,
2020-02-03,223.13,231.75,221.23,230.15,18802900,
2020-02-04,232.5,240.55,231,239.25,15683820,
2020-02-05,240,253.98,239,250.85,30234094,
2020-02-06,251.65,255,246.1,247.53,22467954,
2020-02-07,247.4,247.8,243,245.7,9022030,
2020-02-10,246,247.78,241.68,242.73,8848392,
2020-02-11,245.4,246.98,240.03,240.5,7943310,
2020-02-12,241.5,242.85,236.95,237.38,7549204,
2020-02-13,238.85,239.25,234,234.5,8083000,
2020-02-14,235.5,242.25,234.95,238.23,23043576,
2020-02-17,239.23,239.23,230,230.83,9025984,
2020-02-18,230.88,236.25,228,235.38,11940592,
2020-02-19,236.75,240.5,234.75,237.78,10786834,
2020-02-20,237.43,240,235.28,235.88,8752120,
2020-02-24,235.5,237.85,231.5,232.33,12382886,
2020-02-25,234.9,235.28,227.45,228.38,11044046,
2020-02-26,228.8,229.78,221.6,224.4,14491090,
2020-02-27,223.43,224.83,219.25,222.03,12178324,
2020-02-28,219.45,219.45,210.25,213.18,12199026,
2020-03-02,216,220.93,203.25,206.18,15624380,
2020-03-03,207.55,213.58,206.75,212.5,11415592,
2020-03-04,211.05,214.35,202.7,209.35,15457514,
2020-03-05,209.33,214.58,208.53,209.2,11450828,
2020-03-06,200.1,204.93,199,201.55,15762914,
2020-03-09,206.95,227.2,202.9,211.93,79590794,
2020-03-11,211.68,211.68,200.53,202.2,29496216,
2020-03-12,195.65,196.28,165.28,172.15,35196480,
2020-03-13,168.9,198.35,137.73,188.03,50824264,
2020-03-16,175,193.63,174.85,182.33,33314980,
2020-03-17,182.5,192.83,177,178.6,19649944,
2020-03-18,181.98,183.03,164.1,166.28,20418652,190.50572294372296
2020-03-19,155.5,160,142.7,150.13,27435084,183.76081024531024
2020-03-20,152.5,161.5,149.3,158.93,20393324,178.40227320827313
2020-03-23,142.5,149,131.15,134.68,18697446,170.83381072631073
2020-03-24,138.85,141.5,126,131.43,19534452,163.40750216450218
2020-03-25,126.3,138.48,126.3,136.88,14919844,157.05872366522365
2020-03-26,137.5,143.2,134.25,141.15,12628284,151.6231608946608
2020-03-27,145,152,137.1,139.38,12155888,146.45394372294373
2020-03-30,134.5,144.75,134.5,137.38,13666176,141.49203054353052
2020-03-31,142,164.85,140,158.45,33091204,139.2426618566619
2020-04-01,156,157.95,146.75,151.48,25197652,136.61628835978843
2020-04-03,150.5,163,143.57,158.57,28641904,135.14079389129387
2020-04-07,163.5,179.65,159.75,175.55,21185190,135.8258821548822
2020-04-08,175,182.1,170.13,171.15,18356526,136.2831240981241
2020-04-09,172.58,178.33,169.63,172.45,15854190,137.12516402116393
2020-04-13,172.5,177.28,168.1,175.05,9908824,138.47165536315532
2020-04-15,177.25,185.18,175.55,176.93,12598964,140.18438624338637
2020-04-16,177.25,182.5,174.78,177.7,11831756,142.101392015392
2020-04-17,183,183,177.1,180.05,8841038,144.41742736892743
2020-04-20,181.08,186.45,180.6,184.2,12420984,147.2987164502165
2020-04-21,183.38,184.73,176.55,177.63,10283406,149.5760923520923
2020-04-22,178.6,180,168.58,178.35,14252248,152.01636026936035
2020-04-23,178.43,181.45,176.25,177.58,8342258,154.51207287157288
2020-04-24,176,178.33,173.5,175.23,6912420,156.84908898508908
2020-04-27,176.6,182.8,176.15,177.7,9902596,159.39987373737372
2020-04-28,179.9,187.43,177.1,179.55,22200454,162.174924963925
2020-04-29,180,182.5,177.53,180.38,11648760,165.02075661375662
2020-04-30,182.13,186.7,179,185,16016858,168.31394300144308
2020-05-04,181,181,170.78,173.95,14510430,170.28139345839335
2020-05-05,177,182.1,172.63,173.53,26357320,172.0300329485329
2020-05-06,160.63,173.23,156.18,171.9,41361302,173.47991726791722
2020-05-07,171,171,164.1,164.78,17101468,173.92401972101968
2020-05-08,166.5,168.15,160.6,162.38,16999406,173.88535545935537
2020-05-11,163,165.18,155.65,157.4,21376034,173.12949783549777
2020-05-12,155.25,159.9,154.3,156.25,16623240,172.1143821548822
2020-05-13,162,162.2,156.38,158.28,15241974,171.17427344877336
2020-05-14,156.73,158.18,153.63,154.85,9664372,169.70897234247235
2020-05-15,156.5,162.18,155.55,159.1,27767334,168.66578379028385
2020-05-18,160.28,160.75,145.93,147.03,20378900,166.2379725829725
2020-05-19,150.75,152.2,145.9,146.65,12045900,163.7728104858105
2020-05-20,147,155.7,146.03,154.45,17342228,162.24063636363647
2020-05-21,155,158,150.8,156.6,14931316,160.97917267917268
2020-05-22,155.5,162,153.63,157.6,17078150,159.86468831168833
2020-05-26,157.5,160.45,156.03,156.57,12213122,158.69033718133713
2020-05-27,158.4,165.7,156.38,164.73,18130676,158.46123689273685
2020-05-28,166.95,167.18,160.15,163.23,18553546,158.11313107263115
2020-05-29,164,173.58,163,171.4,26722722,158.6973835978837
2020-06-01,172.15,178.35,170.05,173.15,20423526,159.51221813371814
2020-06-02,174,174,168.65,170.8,12639484,160.07556156806154
2020-06-03,172,176.98,169.6,174.53,20168184,161.0585274170275
2020-06-04,171,179.7,169.5,178.63,32780972,162.47263083213093
2020-06-05,178.33,186.25,176.1,184.8,21970582,164.51451106301113
2020-06-08,189.8,199.25,188.3,197.05,29583896,167.83953944203947
2020-06-09,200,201.03,189.73,190.75,19644118,170.40283237133235
2020-06-10,192.18,192.18,186.48,189.48,14983394,172.78065367965368
2020-06-11,189,193.25,184,185.03,16965894,174.66505050505057
2020-06-12,177.63,188.45,177.63,186.95,15638194,176.70871260221253
2020-06-15,186.95,186.98,178.25,180.5,13054612,178.0142070707071
2020-06-16,184.9,186.08,178.33,179.88,11470416,179.2217768157769
2020-06-17,179.88,183.25,178.38,182.3,10041846,180.63808874458863
2020-06-18,182.05,188.23,179.88,185.13,12301976,182.28525060125054
2020-06-19,186,192.25,185.5,190.28,13271552,184.3688097643097
2020-06-22,191.5,194.7,189.83,192.58,20793844,186.55064718614722
2020-06-23,193,196.45,191.13,196,8346518,188.95197715247718
2020-06-24,196,197.2,187.5,189.28,8118732,190.45364718614715
2020-06-25,189,192.15,183.65,185.13,13394304,191.37101130351124
2020-06-26,188.2,198.48,186.5,196.83,24376174,193.36221019721017
2020-06-29,196.45,197.8,189.18,191.68,12024802,194.5609648869648
2020-06-30,193.45,194.63,186.1,187,9018244,195.071780904281
2020-07-01,188.5,191.7,187.05,190.08,10365788,195.7620425685427
2020-07-02,191.48,195.68,189.38,191.75,13185606,196.47082900432898
2020-07-03,193.5,195.28,191.65,192.7,6962106,197.10610774410782
2020-07-06,194,198.38,192.7,195.1,9926878,197.86078018278005
2020-07-07,195.13,195.63,188.9,189.93,9854118,197.9041984126984
2020-07-08,191.2,193.73,188.08,189.08,8446840,197.76491847041848
2020-07-09,190.75,190.9,186.55,188.38,5702054,197.46952164502164
2020-07-10,188.93,190.25,185.18,188.18,11766114,197.06666089466077
2020-07-13,189,192.1,187.73,189.98,10278856,196.79081818181797
2020-07-14,189.75,192.95,186.05,186.88,9482688,196.13083164983163
2020-07-15,188.93,191.18,184.1,184.8,9807872,195.2445476190477
2020-07-16,186.38,198.13,180.15,196.95,26616036,195.72947450697453
2020-07-17,202.25,223.7,196,221.9,107684648,198.86611014911014
2020-07-20,220.5,224,217.55,218.65,28746148,201.50995815295795
2020-07-21,218.5,240.5,217.7,232.1,98290946,205.4388446368445
2020-07-22,232.4,232.48,223.85,225.3,25364752,208.43803054353052
2020-07-23,223,238.7,221.53,228.78,72916004,211.6066534391534
2020-07-24,226,231.75,222.65,224.2,22295164,214.06276695526702
2020-07-27,227,233.3,222,228.85,40099818,216.83398605098589
2020-07-28,230.55,236.85,228.5,230.75,30188614,219.62061616161606
2020-07-29,232,233.83,223.4,226.9,20080072,221.82824915824906
2020-07-30,217.88,219.95,208.08,209.55,49057710,222.04124290524288
2020-07-31,210.55,214,205.45,206.9,22379810,221.93190716690702
2020-08-03,207,214.13,204.08,208.9,28467376,221.97742833092846
2020-08-04,209.03,211.5,195.5,204.28,51231810,221.43451996152
2020-08-05,204.95,207.48,202.55,205.23,22069614,220.99115464165462
2020-08-06,206,211.75,203.13,204.78,25134620,220.46592087542095
2020-08-07,206.25,210.7,205.53,209.88,18238292,220.42572342472346
2020-08-10,210.5,212.2,206.75,207.58,16506042,220.06893290043263
2020-08-11,208.5,216.5,207.8,214.63,25534594,220.41619745069747
2020-08-12,215,217.05,210.23,210.9,18101040,220.28548869648876
2020-08-13,210,213.1,208.25,210.58,11681734,220.06687686387664
2020-08-14,213,213,204.33,206.63,28445478,219.34653823953823
2020-08-17,209.4,209.4,201.55,203.95,22849734,218.26907623857625
2020-08-18,205,205.68,200.5,201.15,27095030,216.82923328523316
2020-08-19,202.45,205.48,198.83,201.85,33242868,215.4154737854741
2020-08-20,201.85,209.93,200.05,206.23,36900182,214.42593602693597
2020-08-21,209.5,209.5,204.13,205.05,17128134,213.22551082251064
2020-08-24,206.7,208.15,204.3,204.88,13086154,211.91287782587767
2020-08-25,205,209.75,204.18,206.45,25018912,210.7315858585857
2020-08-26,207,207.9,204.5,205.05,10814532,209.49223472823473
2020-08-27,205.8,209.23,204.75,206.48,15646796,208.48816594516595
2020-08-28,207.25,211,206.75,207.53,17488682,207.7460812890813
2020-08-31,208.75,213.2,201.6,203.9,37997924,206.722452861953
2020-09-01,203.98,205.88,200.25,203.63,12040414,205.81673088023095
2020-09-02,204.38,207.75,203.2,206.98,10307630,205.39419552669548
2020-09-03,208,209.3,205.15,206.7,8794744,205.07340043290043
2020-09-04,204.5,205.5,200.3,201.68,9733000,204.35600336700327
2020-09-07,205.5,205.5,198.1,200.1,16617690,203.61016233766222
2020-09-08,200.25,209.98,199.75,206.05,37282924,203.55670442520446
2020-09-09,203,204.75,199.5,202.98,13471172,203.18534126984122
2020-09-10,204.25,216.75,202.75,215.15,50835164,204.1581255411254
2020-09-11,215.5,218,211.18,214.38,25168862,205.01039009139024
2020-09-14,212.95,214.75,207.08,208.58,12050862,205.20420947570963
2020-09-15,208.75,212.75,206.23,207.2,16668042,205.2410399230399
2020-09-16,207.5,210.25,205.7,206.53,10001996,205.23338143338134
2020-09-17,206.5,209.5,205.78,207.8,13709668,205.37803174603167
2020-09-18,210,211.45,204.8,206.03,19111038,205.37959884559885
2020-09-21,206.75,207.85,199.53,200.73,11706576,204.84773184223195
2020-09-22,201.53,201.9,191.1,196.08,15913180,203.87342279942274
2020-09-23,198.45,198.6,190.63,193.83,11588706,202.7178559403558
2020-09-24,189.1,193.08,187.68,188.63,9255312,201.06177561327584
2020-09-25,189.5,190.75,182.65,187.88,26544602,199.39174386724386
2020-09-28,188.5,195.28,187.85,192.58,14260844,198.29900408850426
2020-09-29,197,197,189.08,193.28,17534932,197.35517484367466
2020-09-30,193.75,197.25,174.4,176.53,87193330,194.6831337181337
2020-10-01,179,180.78,173.75,176.65,32425130,192.16857960557965
2020-10-05,176.65,179.23,175.5,177.08,13178032,189.84458706108703
2020-10-06,178.35,180.2,175.1,176.03,13773836,187.52698003848005
2020-10-07,176.5,176.85,170.5,171.13,20552046,184.8178088023088
2020-10-08,172.45,172.5,168.8,170.03,19179294,182.14378210678225
2020-10-09,170.25,175.1,169.8,172.5,26861570,179.87771500721482
2020-10-12,173.5,174.9,170.23,170.8,9594218,177.5576685906685
2020-10-13,171.2,171.85,169,169.55,10559110,175.2604468494468
2020-10-14,168.88,169.45,164.25,166.45,16179024,172.7891366041367
2020-10-15,167,169.35,162.5,163.32,10822682,170.12711808561815
2020-10-16,164.45,171.7,163.75,169.98,26906370,168.3319884559884
2020-10-19,172,173.9,170.53,173.33,14750574,167.0609391534392
2020-10-20,172.98,174.88,170.83,171.68,10486256,165.7481837421837
2020-10-21,180.25,181.53,172.55,174.78,34114466,164.9734023569023
2020-10-22,174.35,175.4,172,174.68,11659006,164.37827465127475
2020-10-23,174.95,177.68,174.75,175.78,10096246,164.06053150553163
2020-10-26,175.78,176.85,171.28,173.05,10164838,163.59770057720056
2020-10-27,173,174.95,171.03,174.33,8717446,163.42523977873972
2020-10-28,174.13,174.8,171.23,172.73,7743900,163.23684944684953
2020-10-29,172,173.75,169.1,170.9,14724236,163.00137037037044
2020-10-30,172.43,179.73,171.75,177.23,33648860,163.57596224146226
2020-11-02,176.9,177.33,172.38,173.2,8690720,163.79684800384797
2020-11-03,174.25,178.25,174.25,175.43,13322292,164.34410798460794
2020-11-04,175.25,176.48,172.1,174.43,8101954,164.83554689754692
2020-11-05,177.35,184.38,175.35,183.15,27315846,166.31508489658484
2020-11-06,184,185.03,180.65,181.23,11623324,167.62665993265992
2020-11-09,184.13,190,182.75,187.78,23414854,169.68754353054354
2020-11-10,188,192.48,186.08,191.4,16074814,172.0655461760461
2020-11-11,191.4,199.2,190.8,197,22991936,174.95675324675318
2020-11-12,197.5,197.95,193.55,197.33,13222638,177.77178427128428
2020-11-13,195.9,200.2,191.6,197,19115708,180.43374675324674
2020-11-14,198.78,207.48,197.63,206.43,16811038,183.9630322270323
2020-11-17,207.5,207.5,196.05,197.33,44296492,186.3240108225108
2020-11-18,197.23,197.23,188.68,191.53,42174930,187.92791895141892
2020-11-19,191.53,197.75,191.03,191.85,33181436,189.44857311207306
2020-11-20,193.85,194.95,189.28,191.65,18928924,190.81998460798474
2020-11-23,193,197.78,191.5,197.23,18370378,192.6461471861471
2020-11-24,199,199.75,194.18,194.88,14237058,194.0382164502163
2020-11-25,195.5,196.7,190.6,191.03,14976356,194.88265007214994
2020-11-26,191.85,192.4,187.53,189,16774012,195.40617965367971
2020-11-27,190.2,191.95,185.5,186.5,27707056,195.5611339586339
2020-12-01,187.45,190.73,185.5,189.65,9807172,195.97297378547373
2020-12-02,190.65,195,188.93,192.25,19302512,196.56812025012033
2020-12-03,193.5,198.9,191.33,196.95,37347498,197.5690913900915
2020-12-04,198.15,199.4,194.4,196.15,14825638,198.3512373737373
2020-12-07,196.08,202.5,195.73,197.5,20185302,199.1558362193362
2020-12-08,199.5,199.5,194.53,195.23,11461924,199.57947426647428
2020-12-09,196.08,199.4,195.5,197.58,16825160,200.1191548821548
2020-12-10,197.55,200.75,193.55,199.65,14788112,200.77090379990364
2020-12-11,200.5,203.7,196,198.7,29170228,201.18323809523804
2020-12-14,200.75,203,199.3,202.73,22254470,201.90739874939874
2020-12-15,204.15,204.63,198.55,199.3,17578662,202.12347979797985
2020-12-16,201.4,202.98,199.15,199.8,14206982,202.31509812409817
2020-12-17,201.25,201.28,197.15,197.7,12233988,202.18815079365072
2020-12-18,199,199.5,194.63,196.93,13147766,201.92908682058672
2020-12-21,196.5,196.5,178.83,183.68,25446600,200.23436748436754
2020-12-22,183.68,187.3,178.5,186.25,20183368,198.8900464165464
2020-12-23,186.5,188.6,184.7,187.2,11965506,197.71208994708988
2020-12-24,188.2,190.63,187.78,188.78,12131772,196.76252429052425
2020-12-28,190,192.25,189.25,191.38,9806128,196.1963773448773
2020-12-29,192.25,192.8,188.83,190.75,8034014,195.60807551707552
2020-12-30,191,192.1,189.4,191.43,6183434,195.10860846560846
2020-12-31,191,192.28,189.78,190.55,8594440,194.53047402597383
2021-01-01,190.55,192,190.2,190.98,5723498,194.01786748436746
2021-01-04,192.45,198.45,192.25,197.68,16477784,194.2721154401154
2021-01-05,197.35,197.38,194.5,196,9064136,194.35386026936018
2021-01-06,196.3,198.48,191.28,193.65,16144720,194.17441919191924
2021-01-07,195.5,197.5,193.8,196.1,13121606,194.24606974506966
2021-01-08,197.5,203,197.13,200.08,24755912,194.70921236171222
2021-01-11,202,202.38,197.68,200.88,13668006,195.21931265031253
2021-01-12,200.75,204.5,198.73,201.28,16662142,195.7436216931217
2021-01-13,203,212.5,202.33,205.95,42362294,196.76193626743628
2021-01-14,206,215,205.5,213.35,25200192,198.54261976911974
2021-01-15,214.7,214.75,205.65,207.3,17655902,199.61656421356426
2021-01-18,207,208.45,201,204.78,16787164,200.37909427609415
2021-01-19,206.5,209,204.13,206.73,11094214,201.33445767195755
2021-01-20,207.5,208.45,204.63,206.93,9874786,202.29294516594518
2021-01-21,207.5,211.5,202.55,204.15,17536476,202.93193314093324
2021-01-22,204.5,206.48,197.48,198.03,15404838,202.92634295334292
2021-01-25,200,201.43,192.35,193.65,12060426,202.47351130351123
2021-01-27,192.78,195.13,189.88,190.3,12066876,201.70110894660874
2021-01-28,188.5,194.85,188.13,192.15,16311766,201.17196392496388
2021-01-29,194.95,198.28,190.68,191.8,16517910,200.63344757094745
2021-02-01,194,198.95,190.3,196.5,27876736,200.55579942279937
2021-02-02,198.38,205.5,196.63,204,17753676,201.22716522366522
2021-02-03,202.5,208.5,201.18,207.45,17018506,202.18361616161613
2021-02-04,206.8,211.25,205.28,209.28,15198682,203.24414117364105
2021-02-05,210.25,211.15,206.55,207.5,7722568,204.02109355459342
2021-02-08,210,212.2,208,210.03,12645654,204.9870969215969
2021-02-09,215.5,219.03,208.33,209.68,45154044,205.82920057720068
2021-02-10,211.1,212.48,204.53,207.9,19160592,206.39095093795075
2021-02-11,207.5,211.43,207.15,210.98,11459318,207.20372943722947
2021-02-12,211.5,212.93,207.3,209.05,10941890,207.7482804232804
2021-02-15,211.4,212.45,208.5,209.5,11037552,208.28119937469953
2021-02-16,208.9,211.3,208.1,208.98,10795324,208.68653511303515
2021-02-17,202.25,206.95,200.78,205.85,17178862,208.7013395863396
2021-02-18,207.68,217.18,205.35,216.1,41510988,209.79639417989415
2021-02-19,218.5,222.4,211.75,215,48892610,210.71023785473778
2021-02-22,214.65,217.63,209,211.28,19380682,211.1676902356902
2021-02-23,214,221.35,212.9,217.63,28795656,212.2866038961039
2021-02-24,220,222.5,218.05,219.35,11981366,213.5811058201058
2021-02-25,220.98,233.9,220.93,230.78,37621658,216.05068229918223
2021-02-26,227.48,233.18,220.13,224.93,36883078,217.77899134199126
2021-03-01,228,231.93,225.05,227.63,12185500,219.7180495430494
2021-03-02,237.25,241.2,231,234.5,53200666,222.3018241943243
2021-03-03,240,240,231.15,233.18,17675284,224.60683501683508
2021-03-04,231,236.33,229.63,231.95,12556622,226.61385401635397
2021-03-05,231.5,237.23,229.05,230.9,17793026,228.3269288119289
2021-03-08,231,236.48,230.9,233.35,11349538,230.10788359788373
2021-03-09,223.1,227,218.68,222.95,399581906,230.5797126022125
2021-03-10,225.5,225.95,221.03,222.75,23491604,230.88219432419405
2021-03-12,228.5,232,225.5,228.78,52792772,231.71722871572865
2021-03-15,232.23,232.5,225.65,230.28,33842230,232.60948316498323
2021-03-16,232.28,232.8,226.03,226.93,30782874,233.04998941798928
2021-03-17,221,223.35,215.05,216.03,57699598,232.25402501202493
2021-03-18,217.5,219.25,211.9,213.45,26361962,231.15250625300615
2021-03-19,213,219.2,209.6,216.48,26622950,230.3722753727754
2021-03-22,219.13,221,217.18,219.68,27343862,229.91518903318922
2021-03-23,220.95,221.1,217.55,218.25,17089478,229.26147594997573
2021-03-24,217.48,218.25,214.33,214.98,10317086,228.2366479076479
2021-03-25,213.23,213.6,207.55,209.48,20898974,226.6023922558921
2021-03-26,212.95,215.9,210.7,212.1,19204862,225.25770995671002
2021-03-30,214.45,216.95,210.75,215.4,17153808,224.2620716690716
2021-03-31,215.25,215.58,212.75,213.98,10018670,223.07629389129386
2021-04-01,215.3,219.98,214.03,218.7,9156394,222.41647330447313
2021-04-05,217.05,218.5,210.55,214.03,11510442,221.24829028379028
2021-04-06,215,216.85,212.15,214.05,9190874,220.07597907647894
2021-04-07,214.5,215.75,213.75,214.1,7430944,218.9332265512266
2021-04-08,214.78,218,214.65,215.28,6708234,217.94516738816728
2021-04-09,215,216.13,212.25,212.8,8179184,216.77858633958638
2021-04-12,208.98,209.7,201,201.98,12368094,214.52210726310742
2021-04-13,202.5,206.25,201.1,204.7,8064312,212.68968662818645
2021-04-15,204.5,208.2,201.65,202.43,14440358,210.77027561327571
2021-04-16,202.5,211.48,202.15,206.9,22292626,209.49137469937472
2021-04-19,202.5,206.2,200,204.38,11256462,208.08077320827323
2021-04-20,205.95,207.23,203.05,204.05,7026888,206.7820995670995
2021-04-22,202.5,210.65,201.75,209.18,15611348,206.19702380952378
2021-04-23,208.65,212.48,208,211.53,47680532,205.94764935064933
2021-04-26,213,214.18,208.78,209.45,12888196,205.5475945165945
2021-04-27,208.75,211.55,208.28,210.18,10816330,205.3364381914381
2021-04-28,211,212.18,207.45,208.75,19805066,205.08242977392982
2021-04-29,211,211.5,208.5,209.78,13265608,205.03581313131306
2021-04-30,208.75,218.75,207.33,210.9,33702940,205.14258994708987
2021-05-03,209.5,214.53,207.7,208,16118782,204.95435233285235
2021-05-04,210.45,214.73,209.25,210.73,19987878,205.10216426166417
2021-05-05,211.03,215.8,210.5,212.4,13778662,205.47694107744104
2021-05-06,214,217.5,212.08,217,12787288,206.37844949494948
2021-05-07,217.53,223.5,214,221.58,24054728,207.76389345839354
2021-05-10,224.5,227.5,222.5,226.85,19405820,209.65809547859556
2021-05-11,224.8,232,223.45,231.13,21695878,211.94409283309264
2021-05-12,232,234,223.25,224.63,15235594,213.46481721981704
2021-05-14,226.75,226.75,219.55,221.13,9799430,214.5663872053873
2021-05-17,222.5,223.28,219.05,221.83,6063462,215.73336628186615
2021-05-18,223.6,226.2,221.35,224.23,9934246,217.12065343915336
2021-05-19,225,227.15,221.13,223.23,16215214,218.35534439634426
2021-05-20,224,228.93,220.75,227.4,18799814,219.99215055315074
2021-05-21,231.5,234,229.53,230.53,23987738,221.90541414141418
2021-05-24,233.48,237.28,230.3,236.43,22941220,224.35684872534884
2021-05-25,238.4,239.5,234.5,237.2,21199352,226.71597570947557
2021-05-26,239.33,240.35,234.25,236.1,25944614,228.79150216450196
2021-05-27,242.5,244,233,233.93,102988808,230.45741943241964
2021-05-28,237.5,239.95,234.25,235.75,29313704,232.1758078403078
2021-05-31,236.73,236.73,234.15,236,13495562,233.7574706589707
2021-06-01,236.7,238.35,235.05,235.43,8869530,235.11232611832594
2021-06-02,235,237.73,234.5,237.33,12676710,236.53321476671474
2021-06-03,237.25,239.2,236.55,236.95,12184524,237.78621885521886
2021-06-04,237.4,241.4,237.03,239.13,17759466,239.13651250601214
2021-06-07,240.4,242.7,239.38,240.7,12523390,240.50856661856662
2021-06-08,241.9,244.85,238.13,243.73,15198964,242.04298220298224
2021-06-09,246,246.95,240.75,242.53,18980362,243.28010582010572
2021-06-10,243.13,243.75,241.38,241.78,7388634,244.28672558922563
2021-06-11,242.85,244.75,240.85,241.8,7438508,245.13515416065405
2021-06-14,241.98,242.5,238,241.85,7237652,245.84098989898987
2021-06-15,242.5,243.63,240.4,240.95,6507360,246.30897306397304
2021-06-16,241.73,242.45,239.53,240.63,7994924,246.63069119769114
2021-06-17,238.98,241.45,238.15,238.45,6651076,246.63470009620033
2021-06-18,240,240.05,233.38,236.18,10583776,246.35293073593073
2021-06-21,235.85,237.9,234.25,237.53,5397088,246.2047210197209
2021-06-22,238.75,239.38,236.4,236.83,5553420,245.9276274651275
2021-06-23,237,237.5,234.58,234.8,4927558,245.36480278980272
2021-06-24,234.75,235.25,232.55,233.05,8462210,244.55630832130836
2021-06-25,234.2,236.05,233.1,235.03,5904240,243.9256406926406
2021-06-28,235.5,236,233.28,233.58,4334320,243.09080543530536
2021-06-29,234.5,234.75,232.5,233.13,5921594,242.18770683020682
2021-06-30,233.5,235.33,233,234.05,5924634,241.38101394901392
2021-07-01,234.05,234.45,231,231.38,5757026,240.31464093314094
2021-07-02,231.5,232.8,230.53,231.38,4769492,239.2981524771525
2021-07-05,232.48,233.75,229.25,229.85,11190174,238.16003367003364
2021-07-06,230,231.5,228.8,229.03,7749392,236.97345021645032
2021-07-07,229.03,230.7,226.23,230.25,6000580,235.9675067340068
2021-07-08,230.08,232.7,228.28,229.1,6426778,234.88557094757076
2021-07-09,228.05,229.25,226.65,228.45,7058662,233.78375060125057
2021-07-12,228.8,229.65,225.03,225.5,7393710,232.4253559403559
2021-07-13,226.38,227.5,224.88,225.13,7409874,231.0969718614719
2021-07-14,225.5,226.55,224.1,224.35,4936524,229.76927224627218
2021-07-15,224.65,225.38,222.53,223.53,6617550,228.44942472342473
2021-07-16,224.53,225.53,222.9,224,6726604,227.2964100529101
2021-07-19,223,229.5,222.6,226.95,14737948,226.56674290524293
2021-07-20,228.4,229,224.5,226.9,7689016,225.92060630110626
2021-07-22,227.48,231.98,226.5,230.45,13532496,225.74593554593557
2021-07-23,232.4,232.9,229.65,230.68,6954808,225.66903030303027
2021-07-26,230.95,231.28,227.55,228,5177476,225.37119095719098
2021-07-27,228,230.2,226.13,226.65,4635256,225.00267700817673
2021-07-28,226.8,227.75,225.15,226.73,4411220,224.7084605579605
2021-07-29,226,227.08,224.25,224.55,5979220,224.23059475709468
2021-07-30,224.6,227.1,222.45,222.75,13531870,223.62427633477634
2021-08-02,224.03,229.95,223.25,228.9,9965680,223.75016305916316
2021-08-03,230.35,232.48,228.25,231.7,7855132,224.21231216931213
2021-08-04,231.5,232.5,228.05,228.58,5192276,224.3537275132274
2021-08-05,228.05,229.3,225.58,226.75,7099910,224.33602308802324
2021-08-06,227,231.5,227,227.8,8118604,224.4692419432419
2021-08-09,228.75,229.5,225.35,226.25,4555246,224.46485016835013
2021-08-10,227.25,227.45,221.38,222.35,7098198,224.0810918710919
2021-08-11,223,225.78,220.28,225,10635072,224.01989706589714
2021-08-12,226,227.7,221.05,224.08,12567714,223.88596536796535
2021-08-13,225,229.43,224.15,227.45,14232032,224.13582900432897
2021-08-16,229.25,233.8,227.53,232,17964436,224.8773446368448
2021-08-17,232.93,234.88,230.5,232.5,14363500,225.6607373737373
2021-08-18,233.48,233.48,230.53,231.75,7947234,226.34351082251064
2021-08-20,230.9,232.75,226.5,227.6,12114818,226.56179148629155
2021-08-23,229.35,229.83,224.05,225.85,7925892,226.575142857143
2021-08-24,226.5,229.63,226.43,228.2,7248688,226.8292626262627
2021-08-25,229,232.2,228.63,230.35,9704266,227.28627176527166
2021-08-26,230.3,235.7,229.3,233.38,14847298,228.02511832611833
2021-08-27,234.53,236.85,233.08,235.65,12536762,228.95082876382878
2021-08-30,237.45,237.45,235.8,236.28,9029840,229.89353992303984
2021-08-31,236.5,237.93,234.18,235.83,18002472,230.73483573833573
2021-09-01,236.63,239.7,236.1,238.5,10439002,231.82986075036064
