Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,3044.7,3053,3027.4,3039.65,110561,
2020-01-02,3047,3065,3043.05,3053.4,138428,
2020-01-03,3045,3060,3025.65,3038.8,168305,
2020-01-06,3030,3032.15,2995.05,3022.05,181158,
2020-01-07,3033.9,3054,3028,3036.6,159307,
2020-01-08,3020,3038.7,2995,3023.6,194024,
2020-01-09,3047.2,3049,2995.1,3001.1,434270,
2020-01-10,3014.95,3015,2978.05,2989.75,526254,
2020-01-13,2995,3056.25,2987.3,3045.1,420792,
2020-01-14,3058,3119,3037.15,3105.15,653300,
2020-01-15,3120,3133.95,3092.9,3114.2,438959,
2020-01-16,3116,3160,3115,3150.25,768872,
2020-01-17,3155,3169,3114.35,3124.45,294064,
2020-01-20,3143,3143,3104.4,3110.45,203111,
2020-01-21,3100,3130,3077.25,3111.25,220943,
2020-01-22,3125.5,3138.7,3088.9,3106.35,248578,
2020-01-23,3103.85,3122.9,3068.1,3112.95,203032,
2020-01-24,3113.15,3212.95,3112.05,3192.5,580192,
2020-01-27,3187,3210,3155,3174.2,322446,
2020-01-28,3182.9,3209.9,3136.5,3181.25,292577,
2020-01-29,3200,3245.5,3190.05,3214.2,434882,
2020-01-30,3208.95,3234.7,3192.45,3210.7,337850,
2020-01-31,3242.7,3274.6,3186.85,3200.7,468850,
2020-02-01,3161,3220,3080,3097.6,237502,
2020-02-03,3097.6,3249,3092.35,3230.05,657504,
2020-02-04,3235,3300,3188,3232.5,511585,
2020-02-05,3269.8,3318,3243.7,3255.95,423733,
2020-02-06,3260.35,3293,3236.35,3252.2,410631,
2020-02-07,3256,3296,3237.1,3251.4,450061,
2020-02-10,3270,3280,3125,3155.6,969115,
2020-02-11,3179.95,3198.8,3124.2,3134.7,507516,
2020-02-12,3124.2,3209,3124.2,3136.8,669153,
2020-02-13,3132,3143.65,3105.2,3135.2,319421,
2020-02-14,3116,3159,3090.3,3096.65,270506,
2020-02-17,3095,3112.3,3072.05,3084.1,224912,
2020-02-18,3080,3080,3020,3066.45,453173,
2020-02-19,3082.1,3111,3040,3082.25,462922,
2020-02-20,3079.8,3123.45,3052.25,3059.4,270720,
2020-02-24,3059,3065,3005,3036.2,427352,
2020-02-25,3040,3078,3018,3033.55,350415,
2020-02-26,3025.1,3069.9,3016.7,3041.35,366302,
2020-02-27,3036.95,3100,2960,3026.05,652385,
2020-02-28,2983,3020,2917,2970.2,619510,
2020-03-02,2995,3053.95,2925,2949.1,348147,
2020-03-03,2970,3045.5,2965,3026.5,399770,
2020-03-04,3048,3080,3028,3063.05,368498,
2020-03-05,3082.6,3165,3076.1,3127.15,720100,
2020-03-06,3084.9,3100,3013.25,3081.4,593374,
2020-03-09,3045,3061.8,2968.5,2996.5,607257,
2020-03-11,2982.2,3065.9,2944.1,3048.3,534597,
2020-03-12,2945,2968.95,2785.05,2810.65,774263,
2020-03-13,2700,3049.9,2410,2763.6,1108162,
2020-03-16,2704.8,2744.65,2602.05,2709,791034,
2020-03-17,2720,2795.75,2669.05,2686,567266,
2020-03-18,2728,2744.95,2480,2501.95,649481,2832.3119276094244
2020-03-19,2389,2404,2260,2318.15,786857,2761.142557720058
2020-03-20,2341.3,2500.9,2294.25,2467.8,742455,2710.476440596443
2020-03-23,2300,2422.4,2100,2137.85,613493,2627.717431457432
2020-03-24,2117,2450,2111.9,2364.7,929170,2573.953085618086
2020-03-25,2364.6,2511.6,2317.1,2451.4,1249005,2533.136360028859
2020-03-26,2471.55,2668.8,2417.3,2588.45,944116,2510.241552429053
2020-03-27,2690,2708.95,2505,2529.25,472582,2483.410211640211
2020-03-30,2465.25,2579.35,2442.75,2473.75,701815,2453.2617604617617
2020-03-31,2579.95,2710,2490,2688.95,734769,2448.971366041366
2020-04-01,2700,2780,2505,2564.85,1167150,2433.2342291967284
2020-04-03,2588.95,2610,2475,2563.25,726903,2419.5914862914883
2020-04-07,2640.15,2878.7,2640.15,2834.5,1062855,2437.1558645983646
2020-04-08,2829,2990,2759,2775.55,1037961,2449.252313612314
2020-04-09,2850,2850,2732.9,2801.7,893108,2465.330339105339
2020-04-13,2800,2800,2697.35,2706.15,501533,2472.1574146224134
2020-04-15,2772,2908.5,2754.7,2837.35,1011691,2494.1756709956717
2020-04-16,2837.5,2893.95,2815,2836.8,675907,2516.551593314094
2020-04-17,2884,2895,2802.2,2832.15,705271,2539.2536868686875
2020-04-20,2860.1,2864.8,2801,2833,667917,2563.034551467052
2020-04-21,2779.9,2906.35,2733.15,2863.25,1129799,2591.3912782587768
2020-04-22,2863,2969.7,2827.45,2952.65,737395,2630.2743157768173
2020-04-23,2960,3245,2918,2947.4,3426363,2668.657026214526
2020-04-24,2980,3122.9,2956,3062.15,2613797,2719.6972679172673
2020-04-27,3075.85,3290,3070,3242.05,1993378,2788.5918542568565
2020-04-28,3277,3289.85,3160,3193.95,1379063,2849.8951863876855
2020-04-29,3187.8,3238.75,3150,3156.8,1177520,2904.628846801345
2020-04-30,3195,3205,3150,3165.75,1021592,2957.7812746512764
2020-05-04,3109,3160,3056,3092.95,591353,2999.5629617604613
2020-05-05,3107,3126,2970.5,2978.75,905266,3024.906054593555
2020-05-06,2950,3065,2907.65,2987.7,995972,3048.3275913900925
2020-05-07,2977.7,2980,2867,2915.35,994651,3059.391755651754
2020-05-08,2945,3037,2923.45,2994.65,1102857,3075.8964213564204
2020-05-11,3029,3083.4,2991.85,3053.95,1095855,3095.788014670515
2020-05-12,3048.95,3123.2,3031.3,3107.3,1329390,3118.879956709957
2020-05-13,3180,3188,3057.5,3079.55,850975,3135.9471344396343
2020-05-14,3065,3138,3031.7,3118.7,777257,3154.0007094757093
2020-05-15,3146.9,3196,3115,3125.65,870248,3170.5590464165452
2020-05-18,3110,3165,3098.1,3109.55,730350,3182.4533694083725
2020-05-19,3130.2,3147.9,3086.05,3104,537217,3190.895138287636
2020-05-20,3110.6,3159,3106.85,3127.85,439150,3200.5103643578655
2020-05-21,3120.1,3157,3099,3110.95,574325,3206.5120887445883
2020-05-22,3104,3184.2,3080,3167.1,630580,3216.938835978837
2020-05-26,3200,3244,3141,3163.85,718134,3224.670070947571
2020-05-27,3170,3238.95,3141,3220.3,739328,3236.847753727754
2020-05-28,3217.5,3363.25,3189.35,3323.25,1453514,3258.2027970177955
2020-05-29,3289.9,3417,3289.9,3378.85,1658714,3283.109265271766
2020-06-01,3416,3470,3401,3434.85,883460,3311.332703222702
2020-06-02,3434.9,3480,3400,3451,786444,3338.4619648869643
2020-06-03,3601,3708,3471.2,3510.3,3415126,3369.5480254930258
2020-06-04,3510,3555,3422,3450.35,1309771,3391.5662012986995
2020-06-05,3475,3497.95,3402.2,3466.7,1200548,3413.543265993269
2020-06-08,3486,3513.25,3410,3426.8,768759,3430.4827128427146
2020-06-09,3434.9,3469.9,3409,3415.7,567611,3445.4315127465097
2020-06-10,3420.9,3447.6,3357.4,3377,628261,3455.322938912938
2020-06-11,3389.9,3403.45,3330,3370.35,673105,3463.8328415103438
2020-06-12,3333,3443,3305.75,3366.05,1373475,3470.9782010582016
2020-06-15,3351,3406.5,3343.45,3357.2,609721,3475.806594516593
2020-06-16,3381.05,3399.95,3330,3345.35,701355,3477.9878511303496
2020-06-17,3357.85,3435,3355.05,3401.45,1100079,3484.688780663782
2020-06-18,3415,3457,3381.55,3404.25,898020,3490.2105435305452
2020-06-19,3417.9,3450,3382,3438.55,782740,3498.1726010101006
2020-06-22,3450,3475,3416,3421.2,735172,3503.0750974025955
