Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,481,481,474.45,475.9,1316812,
2020-01-02,478.85,479.9,472.3,473.5,1406381,
2020-01-03,475.8,475.8,467.25,469.95,2252752,
2020-01-06,469.8,469.95,461.2,466.75,1501855,
2020-01-07,466,470,463.65,468.6,2365554,
2020-01-08,467.8,470.1,461.6,464.75,1507276,
2020-01-09,467.5,473.3,467.5,470.1,1700600,
2020-01-10,470.1,477,469.75,473.5,1213600,
2020-01-13,474.5,482.45,474.5,477.65,1229969,
2020-01-14,480.6,485.2,479.2,484.25,2160301,
2020-01-15,484,486.85,479.55,484,1413668,
2020-01-16,484,487.45,479,480.25,1694372,
2020-01-17,480,482.95,476.55,480.3,2039387,
2020-01-20,480.45,483.15,476.65,480.15,1206931,
2020-01-21,478.95,479.55,472.2,473.4,1448808,
2020-01-22,474.5,480.3,470.25,471.6,2380518,
2020-01-23,464.5,475.85,459.35,465.15,5783749,
2020-01-24,465,467.75,456.85,458.85,2713370,
2020-01-27,457.5,466.5,454.2,464.45,5849003,
2020-01-28,465,468,458.95,464.7,3592413,
2020-01-29,464.7,467.4,460.35,461.55,1737293,
2020-01-30,461,461,446.35,451,2766881,
2020-01-31,453.95,453.95,442.1,446.9,2184609,
2020-02-01,446.5,452.2,437.75,444.2,1632513,
2020-02-03,444,450.65,439.4,444.55,1690394,
2020-02-04,446.7,452.45,444.2,448.45,2030860,
2020-02-05,449.55,459.15,437.5,447.55,3637403,
2020-02-06,462.5,464.35,435.35,439.65,7118843,
2020-02-07,440,445.9,437.3,443.2,6386193,
2020-02-10,444.2,451,442.1,444.75,3557480,
2020-02-11,447.1,452,443.35,450.6,1889638,
2020-02-12,454.95,454.95,445,446.8,1683136,
2020-02-13,446.8,448.9,440.5,443.4,2041017,
2020-02-14,444,448.9,441.5,447.1,1814780,
2020-02-17,444.5,445.75,430.1,431.9,4581786,
2020-02-18,433,437.65,428.1,436,2453801,
2020-02-19,437.8,449.2,437.4,447.5,2359566,
2020-02-20,448,448.8,434.5,435.75,3048500,
2020-02-24,436,436.7,426.55,430.15,2569563,
2020-02-25,430.2,431.2,420,425.8,2438218,
2020-02-26,406,425,405.8,422.2,8068909,
2020-02-27,411.1,424,409,421.2,5109022,
2020-02-28,413,416.45,398.05,402.1,4200936,
2020-03-02,407,411.25,394.65,401.95,3460583,
2020-03-03,402,429.2,402,425.3,5476676,
2020-03-04,425.6,449.8,420,447.65,9297945,
2020-03-05,447.85,472,437.45,440.6,9637431,
2020-03-06,425,438.15,423.05,434.4,2916146,
2020-03-09,425,432.65,423.5,426.15,2986596,
2020-03-11,425,426.15,410.2,417.1,5314548,
2020-03-12,412.5,412.5,390.75,394.75,5636464,
2020-03-13,388,434.95,355.3,425.55,6096909,
2020-03-16,416,423.9,392.75,396.4,5394615,
2020-03-17,397,422,390.75,401.75,2989674,
2020-03-18,411.8,411.8,381.7,386,4200582,404.86383116883115
2020-03-19,374.8,390.75,362.9,374.7,2926155,399.9724266474269
2020-03-20,379.8,399.8,372.45,392.8,4718358,397.3170274170275
2020-03-23,370,406.9,370,375.25,5507004,393.00373617123626
2020-03-24,380,409.75,372.55,377.45,6652237,389.26334295334294
2020-03-25,378,394.9,374,376.45,6419109,385.7247510822509
2020-03-26,383,394.7,380.5,386.15,4291225,383.5198400673401
2020-03-27,393,411,391.95,407.65,6471292,383.8899482924481
2020-03-30,413.8,438.7,407.65,431.75,9021027,386.92995430495483
2020-03-31,446,446.6,420,422.85,9434756,389.0117652717652
2020-04-01,424.9,430.9,410.4,413.75,6329718,390.213415103415
2020-04-03,425,454.7,416.25,449.2,17906777,395.2839021164018
2020-04-07,479,513.4,452,492.25,20843854,404.84349807599807
2020-04-08,496.95,530,490,512.75,19456194,416.2557275132278
2020-04-09,564,610,564,579.6,27207928,434.37242784992776
2020-04-13,605,605,583,592.85,15483866,453.13525372775405
2020-04-15,604.45,614,578.6,592.35,16213849,470.9128138528137
2020-04-16,590,612.8,582,600.45,12716392,488.62923280423286
2020-04-17,615,615,595,598,8304296,505.24428932178927
2020-04-20,598,599.4,580,585.4,5856240,519.8042003367
2020-04-21,578,609.8,570,592.1,14471886,534.3943698893703
2020-04-22,594.9,599.75,585,587.2,6182389,547.7078751803754
2020-04-23,590,603.9,579.05,586.7,6277909,560.1972835497834
2020-04-24,586.4,606,583.6,599.3,11127892,573.2274543049541
2020-04-27,600,632.65,600,608.7,14089884,586.2814538239536
2020-04-28,616.8,621.25,593.25,598.6,8193432,597.3910810485816
2020-04-29,605,607.9,590.1,596.25,6767185,607.2791137566137
2020-04-30,607.9,611.45,586.1,589.6,9100084,615.5215199615197
2020-05-04,589,616.95,580.6,611.85,16816196,625.1628463203463
2020-05-05,623.05,623.05,595,596.9,9257197,632.0594432419431
2020-05-06,597.5,606,590,591.75,6979140,637.4241654641658
2020-05-07,598,601.8,587.5,589.55,4620871,641.5031253006255
2020-05-08,598,601.2,589.5,591.9,5051381,644.8018759018757
2020-05-11,600.95,600.95,583.45,586.05,5853898,646.4281144781147
2020-05-12,587,593.8,566.2,570.15,8868988,645.385739538239
2020-05-13,600,605,568.9,570.2,10438684,643.5688359788361
2020-05-14,571,577.9,566.1,569.75,8546052,641.0609836459837
2020-05-15,572,585,565.6,570.3,14388640,637.9216618566617
2020-05-18,570.6,605,570.5,600.45,22898149,637.264130591631
2020-05-19,600,608.8,590.2,594.95,10952723,635.3239971139967
2020-05-20,597,624.35,595.4,620.65,13441070,635.7010618085618
2020-05-21,620.65,626.85,612.3,616.6,7916847,635.1998244348246
2020-05-22,616.7,641.85,610.1,639.35,10875625,637.0665536315535
2020-05-26,640,646.9,624.05,627.7,8859499,637.5806926406932
2020-05-27,630,637.8,625.8,633.05,7710110,638.627502405002
2020-05-28,634,637.65,626.05,628.35,5488725,639.148318903319
2020-05-29,633,650.95,631,648.15,10580213,641.7618326118328
2020-06-01,649,652.6,634.55,642.5,7439126,643.5681734006729
2020-06-02,644.9,658.65,636,637.6,6883613,644.7139514189518
2020-06-03,646.85,649.5,635.3,641.2,5044705,646.1107251082251
2020-06-04,643,664.8,642.5,660.55,10452588,649.4319961519963
2020-06-05,665,669.75,649,650.9,6481383,651.5533489658491
2020-06-08,656.7,657.8,633.05,635.1,6263354,651.9248953823951
2020-06-09,638.9,654.3,637.05,640.05,8968473,652.769748677249
2020-06-10,646.8,650.75,639.8,642.95,5426109,653.8517845117849
2020-06-11,645.65,646.95,632.8,635,3172467,653.9563828763826
2020-06-12,616.3,645,616.3,643.6,5579264,655.0216113516115
2020-06-15,643,653.5,637,643.65,4520269,656.0197174122173
2020-06-16,644.5,650,632.45,637.8,2927072,656.2793241943243
2020-06-17,640,643.8,635,640.35,2648049,656.7273412698413
2020-06-18,641.65,644.8,636.4,642.05,2161531,657.2718662818662
2020-06-19,648.85,648.85,631.5,636.2,4476030,657.0657768157765
2020-06-22,691,692.5,651.65,655.95,29313468,658.788658008658
2020-06-23,674,674,655.4,659.8,8287942,660.6315692640693
2020-06-24,660,662.25,628.3,631.2,6955964,659.0818241943242
2020-06-25,632,642,629.15,634.9,5816412,657.741577681578
2020-06-26,639,643.65,631.6,634.9,3847867,656.3626599326599
2020-06-29,637,648,635.4,644.9,6772345,655.9643795093793
2020-06-30,647.95,649.9,638,640.25,4319890,655.0387012987013
2020-07-01,642.6,642.6,621.05,627.1,4809654,652.6617544492543
2020-07-02,630,654.45,626,646.2,6169883,652.4268951418953
2020-07-03,652.95,652.95,635.5,638.8,5380124,651.3359379509382
2020-07-06,640,644.25,629.2,634.6,5604898,649.7947198172193
2020-07-07,637.95,642.6,635.2,636.55,3781547,648.4515367965374
2020-07-08,643.45,648,632.5,634.4,6953560,646.9644047619045
2020-07-09,643.95,643.95,636.25,639.05,4354463,646.0501623376625
2020-07-10,640,647,636.7,638.9,4119833,645.1426635401635
2020-07-13,641,646,636.6,638.35,3450074,644.2219769119765
2020-07-14,639.95,644,631.25,632.3,5432821,642.8040752765755
2020-07-15,634.4,643.5,633.1,638.2,4253994,642.1381577681576
2020-07-16,639.95,677.4,635.9,674.5,16098367,645.3642797017797
2020-07-17,674.5,696.65,669.25,689.1,15244105,650.0216979316983
2020-07-20,689,690.85,672.35,674.35,5469496,652.9148713323708
2020-07-21,676.1,682.1,660,662.3,4314960,654.3638047138049
2020-07-22,666.15,677.8,657.5,661.7,5918154,655.6822703222701
2020-07-23,663.95,674,662.2,671.45,4620517,657.9919540644539
2020-07-24,673,681,658.2,666.05,4962946,659.5967772967774
2020-07-27,673.95,673.95,650.4,652.9,4465120,659.7063684463682
2020-07-28,651,665.75,644.25,662.6,4583122,660.8374482924487
2020-07-29,662.6,685.55,662.6,681.25,7288841,663.8767676767678
2020-07-30,681.2,698.95,681,685.95,7171188,667.3579389129387
2020-07-31,687,724,687,720.15,18897332,674.4401984126985
2020-08-03,724,734.2,701,710.4,12500684,680.1048424723424
2020-08-04,708,718.9,703.2,713.85,6971075,685.8306325156327
2020-08-05,720.8,729.95,716,722.15,5263247,692.1016197691196
2020-08-06,724.95,739.7,720.1,731.1,9663912,699.0054028379026
2020-08-07,738,739.65,724.5,728.65,6159882,705.2377188552192
2020-08-10,760,814.5,751.35,795.6,56895564,718.178707311207
2020-08-11,801.1,801.85,768.75,778,14861526,728.5449663299662
2020-08-12,778,778,755.6,762.1,7841606,736.5687433862433
2020-08-13,765.95,782.9,754.1,760.25,13741283,743.8035016835018
2020-08-14,762,787.75,752.55,771.8,16276397,751.7069119769122
2020-08-17,779,781,765.5,771.65,6145819,758.9475589225588
2020-08-18,772,779.65,763,764.85,5520727,764.8419107744106
2020-08-19,770,772.7,756.65,758.35,6296081,769.4560618085623
2020-08-20,758.35,771.75,758.35,762.7,8167571,773.9774350649352
2020-08-21,768.85,770.6,759.05,760.75,4700989,777.6662638287637
2020-08-24,763,767,750.25,751.75,4942354,779.8137253487251
2020-08-25,756.25,758,745.25,747.75,3424068,781.1996320346313
2020-08-26,751.5,754,744.2,748,3730761,782.3719420394425
2020-08-27,750.8,764,749.95,756.2,6989244,784.1013552188555
2020-08-28,763,771,746.7,748.6,8206125,784.5983585858586
2020-08-31,752,755.7,705.2,713.55,7649142,780.948398268398
2020-09-01,713.55,741,710,736.55,6260042,779.585361952862
2020-09-02,739.95,748.5,729.2,738.25,5583378,778.0955759980756
2020-09-03,742.7,745.95,735,738.6,3560610,776.2552741702743
2020-09-04,733.75,750,717.1,724.6,7473320,772.5755507455506
2020-09-07,728,733.8,707,716.75,4688730,767.8827934102933
2020-09-08,716.75,726.45,704.4,708.2,4818231,762.1504822029827
2020-09-09,709.15,734.95,705.2,727.55,9082720,758.5860413660412
2020-09-10,729,735.9,719.25,726.8,4571167,754.9130675805678
2020-09-11,725.8,731.5,720.25,725.95,2465472,751.1401791726789
2020-09-14,729,730.25,717.75,721.6,3104687,746.9402368927374
2020-09-15,723,754,722.65,742.45,14548327,745.0742929292929
