Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,211.35,212.6,208.4,211.95,6447592,
2020-01-02,212.5,212.8,208.3,211.1,5958343,
2020-01-03,210,212.6,207.7,211.85,6452638,
2020-01-06,209.95,209.95,203.45,205.7,6853058,
2020-01-07,206.5,208.2,204.35,205.7,5243225,
2020-01-08,203,204.55,198.2,200.2,7295998,
2020-01-09,203.25,203.7,197.35,198,10321169,
2020-01-10,199.15,206.55,198.95,205.3,13533598,
2020-01-13,205.3,212,205,211.55,9863555,
2020-01-14,211.15,213.5,209.75,212.95,5417581,
2020-01-15,212.6,214.6,211.3,212.45,4863227,
2020-01-16,212.45,212.7,207.1,210.25,6937929,
2020-01-17,210,210.55,206.1,207.9,5985342,
2020-01-20,208,209.8,200.5,201.15,8110607,
2020-01-21,201.15,205.25,201.15,202.15,6347967,
2020-01-22,199.1,199.4,190.95,191.9,19096395,
2020-01-23,192.05,195.2,189.85,190.75,16369722,
2020-01-24,193,196.3,192.15,193.95,10626281,
2020-01-27,193.95,195,192,193.35,7195361,
2020-01-28,193.9,194.25,188.4,189.15,10274562,
2020-01-29,191,193,188,191.05,10602818,
2020-01-30,191.4,192.35,187.5,187.95,10859103,
2020-01-31,188.8,189.45,180,181.7,35281395,
2020-02-01,182,182,171.05,173.5,23303943,
2020-02-03,174.9,179.45,172.15,178.65,15284598,
2020-02-04,180.75,183,179.75,182.5,10043759,
2020-02-05,184,184,178.5,179.25,9468632,
2020-02-06,180.2,181.6,178.25,179.95,6917941,
2020-02-07,180.3,186.05,178.1,185.05,13470302,
2020-02-10,184.9,185,177.65,178.85,19665611,
2020-02-11,180,181.5,176.25,179.35,16397703,
2020-02-12,181,183.4,178.2,180.3,14669421,
2020-02-13,180.3,180.95,175.85,177.8,11781999,
2020-02-14,178,178.9,174.2,174.75,15392705,
2020-02-17,174.75,175.2,166.8,167.85,15997350,
2020-02-18,168.1,173.95,165,171.85,27643844,
2020-02-19,176.35,178.55,174.25,177.75,21092109,
2020-02-20,177.75,180.25,175.2,179.35,16776977,
2020-02-24,178.75,178.9,173.3,174.85,9952676,
2020-02-25,176.1,178.7,174.2,175.1,13534936,
2020-02-26,174.2,177.75,172.65,173.8,10925243,
2020-02-27,173.75,174.55,169.6,174.1,11500515,
2020-02-28,171.55,171.8,166.75,168.4,14694382,
2020-03-02,172.65,175,168.3,169.35,11962711,
2020-03-03,171.35,179.65,170.9,178.2,17015816,
2020-03-04,178.25,179.8,174.1,178.1,9858330,
2020-03-05,180,180.2,172.2,177.15,12349902,
2020-03-06,166.7,173,166.5,168.75,10629291,
2020-03-09,165.8,166.7,156.95,157.95,23967961,
2020-03-11,158.1,169.9,157.05,168,28399809,
2020-03-12,161,163,150.1,154.55,33250978,
2020-03-13,146.25,161.55,123.65,154.1,43328031,
2020-03-16,150.95,151.35,143.1,143.9,23548327,
2020-03-17,145.2,155.4,142.3,145.9,18990185,
2020-03-18,151.6,151.85,143,145.05,18744151,154.97051827801823
2020-03-19,128,133.5,122,123.55,28555217,150.5341606541606
2020-03-20,124.5,135.8,122.65,132.8,24023065,147.35686868686867
2020-03-23,122.5,134.85,120.05,127.85,17885210,143.84202621452624
2020-03-24,129.25,135,125.45,127.85,9991429,140.54512506012512
2020-03-25,126,129.25,123.7,124.5,8344561,137.1162566137566
2020-03-26,126,127,119.2,123.25,28364155,133.78274290524286
