Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,1845,1849.6,1815.9,1818.85,157063,
2020-01-02,1820.5,1833.8,1820.5,1825.9,102841,
2020-01-03,1817,1847.85,1817,1834.8,281177,
2020-01-06,1828.3,1845,1800,1838.35,500000,
2020-01-07,1838,1851.75,1832.6,1843.9,302472,
2020-01-08,1822,1846,1822,1833.95,147762,
2020-01-09,1845,1855,1826.65,1843.4,221553,
2020-01-10,1843.95,1884.5,1841,1866.3,499335,
2020-01-13,1870.2,1881.8,1860,1878.85,208532,
2020-01-14,1878.5,1887,1857,1873.65,328250,
2020-01-15,1878.6,1878.6,1852.05,1866.25,277859,
2020-01-16,1870,1902.1,1869.1,1899,381703,
2020-01-17,1899.45,1913.85,1892.05,1903.35,362279,
2020-01-20,1905,1926.4,1887.1,1892,420979,
2020-01-21,1892,1900.9,1868,1870.8,393410,
2020-01-22,1872.1,1890.65,1843.95,1855.15,460611,
2020-01-23,1855,1902.4,1853,1897.45,294035,
2020-01-24,1896.5,1914.7,1885.1,1910.5,200949,
2020-01-27,1910,1935,1893.7,1918.35,434503,
2020-01-28,1918.35,1951.8,1903.15,1946.75,527383,
2020-01-29,1956,1994.4,1936.05,1961.3,829522,
2020-01-30,1961.5,1975,1935.75,1959.15,350522,
2020-01-31,1969,1984,1948,1952.3,322232,
2020-02-01,1955.25,2012.8,1955.25,1986.9,839396,
2020-02-03,1994.9,2022,1962.4,1972.75,910769,
2020-02-04,1979,1996.95,1954.2,1961.3,565885,
2020-02-05,1962.05,1990,1946.2,1962.65,519051,
2020-02-06,1950,2079.4,1930,2023,1730330,
2020-02-07,2023,2095,2011,2085.95,890175,
2020-02-10,2085,2112.45,2076.15,2088.95,628865,
2020-02-11,2085,2160,2085,2146.9,1068378,
2020-02-12,2159,2179.95,2112,2121.8,984894,
2020-02-13,2135.05,2173.8,2121.8,2155.8,591980,
2020-02-14,2169.25,2190,2135.7,2146.45,660382,
2020-02-17,2158,2170,2133.6,2154.85,243414,
2020-02-18,2154.85,2180.2,2142.5,2175.25,532206,
2020-02-19,2170,2195,2155.75,2185.85,365113,
2020-02-20,2199.5,2236.4,2156.85,2169.35,578488,
2020-02-24,2171.9,2184.8,2147.3,2160.45,419664,
2020-02-25,2152,2165,2093,2116,572634,
2020-02-26,2116,2162.95,2091.1,2142.1,578955,
2020-02-27,2148,2172,2117.05,2156.55,569625,
2020-02-28,2140,2149.7,2087.25,2106.95,1076121,
2020-03-02,2130,2164.9,2086,2109.25,557614,
2020-03-03,2124.9,2210,2063.55,2183.1,1399046,
2020-03-04,2183,2210.9,2157.75,2174.8,634747,
2020-03-05,2175,2239,2175,2223.75,1094422,
2020-03-06,2180,2249,2171.45,2240.05,968953,
2020-03-09,2240,2258.95,2137.05,2181.75,879424,
2020-03-11,2180.8,2194.75,2125.05,2149.2,573239,
2020-03-12,2129,2129,1826.85,1912.85,1552640,
2020-03-13,1800,1993.4,1626,1962.7,962602,
2020-03-16,1950,1986,1871.55,1891.9,682666,
2020-03-17,1892,1963.1,1872.25,1895.3,1300859,
2020-03-18,1928,1933.95,1787.65,1805.25,1076630,2097.3488323713314
2020-03-19,1720,1946.45,1631.05,1870.95,1743762,2068.505163540164
2020-03-20,1875.55,2017.15,1864.4,1994.9,1881347,2054.11324915825
2020-03-23,1849.95,1925,1725.55,1851.75,1203381,2024.9911940836935
2020-03-24,1925,1975,1860.5,1919.95,1286555,2004.7489285714287
2020-03-25,1900,1974,1881.1,1928.05,676624,1986.4954966329963
2020-03-26,1937.35,1980,1874,1883.3,596440,1964.7070911495903
2020-03-27,1930,1930,1824.75,1862.55,538840,1942.1198448773453
2020-03-30,1851,1929.9,1832.7,1893.9,606185,1924.4505230880236
2020-03-31,1943,2035,1895,1989.05,937729,1918.4823905723902
2020-04-01,2000,2000.4,1844.25,1877,1165088,1901.6217291967303
2020-04-03,1910,1940,1822.95,1901.05,1219731,1888.8868542568537
2020-04-07,1960,2150,1921.25,2067.85,2241715,1895.4184920634916
2020-04-08,2065,2214.6,2040.1,2168.95,1228905,1913.1466774891774
2020-04-09,2225,2467.6,2200.25,2310.9,2527934,1946.1141955266958
2020-04-13,2385,2421,2285,2341.2,1782628,1981.7834884559893
2020-04-15,2371,2418,2330,2395.45,1136727,2022.3313179413162
2020-04-16,2395.4,2448.5,2353.8,2393.2,1350131,2061.474634439635
2020-04-17,2430,2449.55,2320.15,2332.2,1326980,2093.2925120250115
2020-04-20,2335,2375,2296.05,2342.55,817776,2125.6603451178453
2020-04-21,2295,2474.45,2295,2406.6,1365316,2164.5375613275623
2020-04-22,2406.95,2412.95,2363.65,2384.5,596850,2200.464307359307
2020-04-23,2388,2454.3,2376,2417.3,993530,2239.1073929773934
2020-04-24,2410,2460,2390.6,2425.4,894214,2277.497317219818
2020-04-27,2450,2472.4,2394.2,2425.85,924358,2313.530758778258
2020-04-28,2445,2445,2349,2363.35,855507,2340.702275132276
2020-04-29,2388,2409,2352,2369.85,635110,2366.329411976912
2020-04-30,2365,2372.7,2300.7,2332.9,843164,2385.7520658970657
2020-05-04,2226,2343.95,2226,2287.15,936799,2397.721557239057
2020-05-05,2273.2,2326,2273.2,2284.25,609756,2407.349743867243
2020-05-06,2310,2313.85,2241.7,2291.35,762810,2416.336458633959
2020-05-07,2280.35,2310,2227,2258.85,498540,2419.646533189033
2020-05-08,2271,2314.85,2253.1,2300.8,641799,2425.7308237133225
2020-05-11,2319,2356,2310.05,2326.9,654101,2432.7555543530552
2020-05-12,2330,2374.35,2303.05,2363.55,676618,2441.471084656084
2020-05-13,2388,2396.9,2314,2339.5,538170,2445.1000096200096
2020-05-14,2329,2377.9,2302,2366.6,413755,2449.3947366522375
2020-05-15,2376,2413,2327.35,2335.2,600190,2448.4518121693113
2020-05-18,2342,2379,2318.4,2330.2,600640,2444.6458152958166
2020-05-19,2350,2358,2307.8,2321.75,322942,2437.7682744107747
2020-05-20,2325,2376.7,2311.1,2372.7,601003,2435.1110161135152
2020-05-21,2375,2390.5,2333.3,2357.35,317110,2429.8977609427607
2020-05-22,2351,2375.15,2305,2320,479501,2420.5767255892247
2020-05-26,2339.95,2344.9,2287.4,2295.7,404978,2408.870424482927
2020-05-27,2305,2320,2260,2290.4,720221,2397.246608946609
2020-05-28,2295.5,2300,2255.35,2285.1,392876,2385.7164814814805
2020-05-29,2285,2408.1,2262.3,2390.1,1000266,2385.7517941317933
2020-06-01,2402.1,2492.9,2360,2480.05,1128386,2395.3128246753236
2020-06-02,2500,2537.95,2400,2411,1305088,2397.2534451659462
2020-06-03,2420,2442,2367.2,2382.2,888450,2396.079146224146
2020-06-04,2392,2439,2385,2421.15,704299,2399.393938191438
2020-06-05,2429.45,2476,2415.75,2460.05,770517,2407.0756649831637
2020-06-08,2472,2472,2337,2413.05,1943121,2409.896049783549
2020-06-09,2400,2456.9,2400,2421.8,1215393,2413.6834066859083
2020-06-10,2412,2444,2376,2394.65,702973,2414.6310582010583
2020-06-11,2394.65,2417.35,2347,2356.3,470945,2411.467314814815
2020-06-12,2310,2400.3,2302.9,2395.1,589371,2412.452665945167
2020-06-15,2408.95,2449.6,2322.45,2335.05,1261594,2406.7579377104366
2020-06-16,2352,2365,2285,2320.35,660665,2399.4778691678703
2020-06-17,2329.05,2337.85,2292.3,2300.1,699526,2390.0070466570464
2020-06-18,2305.9,2332,2296.55,2310.45,304466,2381.8957070707065
2020-06-19,2318.7,2330,2286,2304.75,728257,2373.5090019240024
2020-06-22,2335,2369,2317,2349.25,445250,2370.4749338624333
2020-06-23,2360,2401.05,2322,2380.05,838036,2371.0053174603186
2020-06-24,2395,2412,2331.5,2341.35,501602,2367.63379028379
2020-06-25,2340.55,2378,2325.35,2330.45,316335,2363.2906325156314
2020-06-26,2344,2381.9,2332.55,2350.75,497120,2361.4156000481007
2020-06-29,2359.55,2368,2308.1,2316.6,519075,2356.020212842713
2020-06-30,2334.95,2334.95,2267,2278.9,684514,2347.043891293891
2020-07-01,2284,2284,2233,2241.25,788451,2334.5201166426164
2020-07-02,2100,2242,2090.05,2196.65,4392566,2317.5892099567077
2020-07-03,2206,2248.5,2181.1,2190.45,1516429,2300.4242279942296
2020-07-06,2219.9,2219.9,2157,2161.1,932523,2280.510322270323
2020-07-07,2179.5,2207,2147,2184.5,1348627,2263.608929773929
2020-07-08,2174,2213,2141.05,2163.5,1586377,2245.4494588744583
2020-07-09,2171,2193.85,2153,2176.35,819363,2230.2253751803746
2020-07-10,2184.35,2226.6,2160,2203.1,1011415,2218.9593843193843
2020-07-13,2220,2240,2197.2,2235.15,600585,2211.9571488696506
2020-07-14,2243.5,2256.6,2211.3,2218.15,811092,2203.9993326118333
2020-07-15,2219,2245,2214.15,2225.3,1234453,2197.9529040404027
