Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,576,577.7,572.04,575.88,773895,
2020-01-02,576.76,578.48,572.04,572.98,1494155,
2020-01-03,572.98,579.4,570.41,576.78,1723390,
2020-01-06,574.2,579.56,570.84,575.77,1788685,
2020-01-07,578,582,574.21,576.84,1788175,
2020-01-08,575,581,573.2,579.45,1395115,
2020-01-09,582.32,587.32,580.2,584.1,1877480,
2020-01-10,586,601.6,585.03,586.6,5635735,
2020-01-13,586.58,593.3,583.14,590.94,2209320,
2020-01-14,590.96,593.76,586.4,589.56,1785850,
2020-01-15,589.23,589.3,580,583.73,1924335,
2020-01-16,585.6,590.3,584.33,587.49,1917310,
2020-01-17,588.88,609.8,588,606.87,5585585,
2020-01-20,608.6,616,606.41,611.92,4373565,
2020-01-21,611.11,615.96,607.17,612.09,2853930,
2020-01-22,612.11,621.01,609.48,612.41,2798990,
2020-01-23,611.06,615.74,604.8,607.63,2130840,
2020-01-24,608.8,609.41,605.04,606.28,1363645,
2020-01-27,605.8,641.8,599.5,637.75,20699040,
2020-01-28,638,649.99,631.55,637.83,11511345,
2020-01-29,637.83,640.37,619.84,629.65,6946015,
2020-01-30,630.46,634,623.71,630.97,3366300,
2020-01-31,631.05,638.37,620.42,622.9,3341175,
2020-02-01,622.9,628,619.37,624.61,901225,
2020-02-03,624.8,634.6,623.43,628.83,2576210,
2020-02-04,630.8,655.52,630.41,648.37,5149785,
2020-02-05,647,650,624.34,626.67,4781145,
2020-02-06,633.52,635.36,627.32,631.79,2462660,
2020-02-07,631.97,637,627.4,633.34,2676165,
2020-02-10,633.29,634.65,622.6,629.82,1477975,
2020-02-11,631.98,641.19,627,638.24,3060520,
2020-02-12,634.43,642.72,632.81,639.14,2843165,
2020-02-13,644.55,667.38,639.42,664.92,8584320,
2020-02-14,661.04,666.6,655.4,660.86,3533430,
2020-02-17,665.16,668.41,657.44,659.11,3203305,
2020-02-18,657.6,657.6,646.65,650.27,3486830,
2020-02-19,651.6,659.76,651.6,655.63,1509105,
2020-02-20,657.86,672.99,648.01,651.06,4622330,
2020-02-24,651.4,651.4,633.27,635.26,3143085,
2020-02-25,636.4,636.46,611.27,617.38,5005135,
2020-02-26,619.4,623.1,612.06,615.07,3810845,
2020-02-27,618.8,618.8,605.82,613.41,4677080,
2020-02-28,606,617.7,581.05,585.42,8299780,
2020-03-02,592.2,599.45,575.2,581.11,4444330,
2020-03-03,588,615.6,586.25,608.74,5280400,
2020-03-04,613,637.35,607.2,634.27,9163610,
2020-03-05,634.2,646.39,633.24,636.89,5228710,
2020-03-06,617.04,641.29,617.04,634.19,5629460,
