Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,2251.52,2259.48,2200.1,2207.58,1086480,
2020-01-02,2209,2234.19,2147.11,2160.08,2285820,
2020-01-03,2165,2166.6,2111,2118.93,1572970,
2020-01-06,2110,2110,2073.95,2086.04,1258710,
2020-01-07,2095,2134.98,2071.38,2080.38,1371520,
2020-01-08,2070,2070,1980.01,1989.22,2892860,
2020-01-09,2023.8,2050,1986,2032.89,2592870,
2020-01-10,2033,2074,2025.02,2043.28,2169260,
2020-01-13,2060,2060.01,2006.32,2028,1320920,
2020-01-14,2027,2057.93,2025.5,2048.97,1162260,
2020-01-15,2044,2065,2030,2062.48,1079560,
2020-01-16,2069.9,2160,2065,2153.63,2921950,
2020-01-17,2150.91,2177,2110.35,2129.22,1834850,
2020-01-20,2138,2154.99,2100.5,2136.51,1005930,
2020-01-21,2135.8,2147.5,2097.03,2105.66,1032360,
2020-01-22,2116,2128,2094.4,2110,786810,
2020-01-23,2107,2119.6,2078.05,2091.57,1059580,
2020-01-24,2098,2117.5,2080,2093.08,770750,
2020-01-27,2085,2116.08,2077.5,2109.52,971080,
2020-01-28,2122.7,2122.7,2087.5,2108.67,972770,
2020-01-29,2123.6,2123.6,2010,2019.22,2869250,
2020-01-30,2020,2058,2020,2034.03,1385590,
2020-01-31,2045,2064.17,2021.1,2028.93,1021230,
2020-02-01,2029,2059.8,1991.03,2005.93,1013810,
2020-02-03,1954.73,2037.56,1951.17,1988.34,1486370,
2020-02-04,2000,2014,1945,1951.26,1500920,
2020-02-05,1971.2,1980,1935.61,1948.71,1283330,
2020-02-06,1962.5,2064.16,1926.1,2039.12,3945750,
2020-02-07,2050,2051.69,1966.67,1973.63,2224150,
2020-02-10,1985.5,1985.5,1879,1905.72,2437470,
2020-02-11,1925,1936.89,1894.5,1900.93,1295530,
2020-02-12,1900,1936,1892.58,1927.78,1528370,
2020-02-13,1927.1,1949,1917.08,1935.53,919630,
2020-02-14,1927,1935,1850.5,1870.36,2318720,
2020-02-17,1890,1894.87,1845.01,1853.59,1292680,
2020-02-18,1850,1879.19,1833.96,1876.03,1806500,
2020-02-19,1890.5,1903.9,1871.06,1887.52,1322670,
2020-02-20,1886.99,1903,1854.45,1884.86,1249820,
2020-02-24,1870,1870,1780.01,1794.99,1928210,
2020-02-25,1813.5,1823,1732.1,1753.23,2568310,
2020-02-26,1743,1760,1703.54,1715.69,2151130,
2020-02-27,1716.78,1724.8,1690.61,1705.34,2554810,
2020-02-28,1669.7,1684.8,1631.71,1660.23,3264550,
2020-03-02,1666.6,1778.29,1664.3,1701.34,3483700,
2020-03-03,1750,1804.1,1740,1788.84,2747400,
2020-03-04,1795.4,1828,1687,1725.42,4186090,
2020-03-05,1745,1788.8,1716.18,1777.53,2313750,
2020-03-06,1735,1787.15,1682.2,1774.36,1707910,
2020-03-09,1709.9,1799.9,1704.52,1788.58,1932260,
2020-03-11,1788.58,1826.69,1751.7,1775.36,2219100,
2020-03-12,1699.98,1728.15,1670,1687.77,3635550,
2020-03-13,1590,1852.86,1520.2,1767.22,2794030,
2020-03-16,1687.49,1735.68,1636,1649.37,1924980,
2020-03-17,1671,1746,1660.01,1706.11,1675380,
2020-03-18,1711.01,1745,1582.82,1595.42,1589210,1644.75507960558
2020-03-19,1515,1607,1485.3,1504.65,1611820,1618.996271284271
2020-03-20,1539.45,1599.9,1446.57,1567.84,2113350,1602.0327477152484
2020-03-23,1435.1,1724,1332.67,1370.59,1443380,1565.3384490139501
2020-03-24,1400,1455.5,1388,1420.85,1127010,1536.3492469937469
2020-03-25,1370.5,1480,1370.5,1451.66,761180,1512.9113441558447
2020-03-26,1463,1516.6,1450,1475.79,2048930,1494.2106974506964
2020-03-27,1524.3,1539.6,1400,1431.98,1106350,1472.570398027898
2020-03-30,1409.8,1409.8,1310,1333.31,2263090,1442.1988523328514
2020-03-31,1365.9,1367.61,1295,1309.59,1672660,1411.6963929773917
2020-04-01,1309.59,1331.9,1272.5,1300.16,1387220,1382.774907166907
2020-04-03,1306,1309.99,1260,1268.01,1806980,1353.0161890331892
2020-04-07,1307.08,1321.2,1245.01,1309.6,2405650,1329.9859066859065
2020-04-08,1300,1365,1280,1315.85,2799990,1309.4244444444437
2020-04-09,1340,1404.61,1316.26,1374.23,3618810,1296.705375420876
2020-04-13,1373,1373,1330.5,1340.05,1266220,1281.5810812890816
2020-04-15,1360,1387.2,1312.27,1331.49,2755940,1266.7365690235679
2020-04-16,1331.5,1353.39,1304.2,1337.14,2501470,1253.9487662337672
2020-04-17,1376,1497.8,1361.9,1477.03,5656840,1258.0492352092356
2020-04-20,1477.03,1480.03,1406.03,1421.45,2999770,1257.1089045214042
2020-04-21,1395.52,1398.5,1345,1349.5,1656600,1249.896867724867
2020-04-22,1349.5,1394.49,1320,1370.33,2765770,1246.6715856180851
2020-04-23,1380,1425,1371,1406.83,2072690,1249.148623617124
2020-04-24,1406.8,1409.1,1350.51,1358.92,1799440,1248.0350687830694
2020-04-27,1390.2,1420,1381.49,1399.95,1836170,1252.6224610389613
2020-04-28,1411,1438.5,1410.05,1432.68,1846940,1262.2663730158727
2020-04-29,1440.99,1445,1412.55,1431.57,1477410,1272.5770461760465
2020-04-30,1458.02,1490,1440.2,1470.79,3472440,1288.204993746993
2020-05-04,1439,1439,1361.43,1374.88,1924470,1293.9059502164494
2020-05-05,1400,1416.29,1366.6,1381.09,1524900,1300.5275529100534
2020-05-06,1382.5,1417.54,1360,1385.99,1871270,1308.2774846079844
2020-05-07,1385.99,1410.5,1371.29,1401.05,1270500,1317.2220192400196
2020-05-08,1423.08,1433.08,1357.1,1385.89,1643340,1324.3224326599322
2020-05-11,1405.99,1455,1400,1428.9,1958250,1336.0271731601733
2020-05-12,1424,1426.95,1378.9,1416.71,1479050,1346.3449569504583
2020-05-13,1497,1497,1418.47,1427.17,2529670,1357.5696707551701
2020-05-14,1412,1427.02,1398,1403.18,1481780,1365.450517556517
2020-05-15,1408,1419.9,1365,1409.96,2350250,1373.2555622895634
2020-05-18,1405.02,1405.02,1285.55,1298.82,2752730,1368.2616936026936
2020-05-19,1330,1334.63,1287.51,1296.62,2506970,1362.4885493025497
2020-05-20,1296.62,1380,1286.8,1367.51,2665490,1364.0558225108225
2020-05-21,1347.7,1419.9,1335.61,1408.76,3222040,1369.5189377104375
2020-05-22,1390.1,1409.8,1370,1392.24,1836990,1372.8300493025488
2020-05-26,1410.5,1487.5,1406.5,1480.51,3191350,1385.1192116402121
