Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,743.84,744.44,735.68,739.56,682599,
2020-01-02,739.06,765.46,738.07,763.32,2404173,
2020-01-03,766.9,766.9,748.52,753.65,1405869,
2020-01-06,752.41,752.81,732.09,734.08,953749,
2020-01-07,735.28,753.01,732.59,739.36,1099640,
2020-01-08,732.49,746.93,730.7,739.71,1307290,
2020-01-09,749.97,758.29,747.08,754.3,1466102,
2020-01-10,753.8,763.47,748.03,753.26,1256465,
2020-01-13,754,761.97,754,756.59,829382,
2020-01-14,759.78,764.86,750.12,756.89,1181523,
2020-01-15,755,765.96,744.54,763.37,1510057,
2020-01-16,764.31,767.95,750.12,753.06,1033268,
2020-01-17,712.17,768.94,708.18,765.21,4899435,
2020-01-20,764.56,774.42,759.43,769.74,1569040,
2020-01-21,775.92,778.01,760.43,768.59,1654694,
2020-01-22,767.8,795.84,764.06,789.76,3069528,
2020-01-23,781.89,808.74,779.9,805.7,2576940,
2020-01-24,804.8,821.14,792.8,818.75,1918236,
2020-01-27,811.77,833.59,806.79,809.88,2797767,
2020-01-28,814.26,820.59,794.09,805.7,1776537,
2020-01-29,810.78,819.59,796.83,799.12,1825849,
2020-01-30,805.8,805.8,784.13,788.12,1319979,
2020-01-31,789.96,794.79,772.48,775.82,1294147,
2020-02-01,771.93,786.62,751.56,756.39,1132306,
2020-02-03,755.99,779.9,747.28,777.31,1528883,
2020-02-04,776.96,793.2,776.96,790.56,1067324,
2020-02-05,790.56,798.92,784.93,796.73,1054208,
2020-02-06,799.22,803.46,790.16,797.83,1212758,
2020-02-07,797.83,800.42,782.44,784.53,1078242,
2020-02-10,783.88,786.57,749.02,754.55,4227022,
2020-02-11,756.99,765.96,751.11,756.29,3367921,
2020-02-12,759.08,771.38,751.51,752.36,1838298,
2020-02-13,752.36,761.92,742.35,749.27,1869583,
2020-02-14,751.51,767.8,734.18,740.11,3386011,
2020-02-17,740.06,747.03,730.6,734.48,1510427,
2020-02-18,734.43,738.27,712.72,721.03,1743984,
2020-02-19,727.11,756.74,723.42,754.15,2059679,
2020-02-20,747.03,764.76,742.95,748.33,2120146,
2020-02-24,745.04,745.04,719.34,722.03,2348623,
2020-02-25,724.12,730,712.27,717.55,2263076,
2020-02-26,715.16,719.34,697.23,700.02,2829875,
2020-02-27,700.02,714.66,683.28,710.03,3337367,
2020-02-28,684.28,704.7,681.29,684.48,4372547,
2020-03-02,698.22,698.72,654.7,665.8,2236457,
2020-03-03,668.34,701.81,668.34,697.28,3336982,
2020-03-04,699.72,705.99,679.3,686.77,2831159,
2020-03-05,690.06,692.75,675.32,677.61,2153968,
2020-03-06,647.43,668.24,642.45,662.42,1688120,
2020-03-09,645.43,651.41,622.82,632.09,2764887,
2020-03-11,632.49,637.96,613.56,622.77,2977933,
2020-03-12,607.34,607.58,552.8,557.63,4741156,
2020-03-13,535.47,629.15,503,602.55,6160480,
2020-03-16,577.7,597.13,556.79,574.62,2964772,
2020-03-17,569.04,583.33,551.06,553.45,2983521,
2020-03-18,565.75,565.75,490.45,524.96,6811478,594.8246808561806
2020-03-19,479.1,516.75,479.1,489.11,3884371,575.4588051948048
2020-03-20,493.04,562.46,486.12,527.3,3022724,561.585154160654
2020-03-23,479.39,498.02,395.48,431.53,4457170,538.4995529100528
2020-03-24,434.27,456.09,391.44,398.52,2973508,513.386303992304
2020-03-25,388.46,456.88,383.53,449.56,4180166,495.39589971139924
2020-03-26,438.21,482.08,422.27,469.53,3944844,480.9427236652234
2020-03-27,470.18,491.85,445.08,459.08,2012716,466.6261034151031
2020-03-30,446.23,474.61,436.47,448.72,1983767,452.4649247234247
2020-03-31,461.57,477.85,451.8,474.22,1794155,442.2789292929293
2020-04-01,476.01,482.38,450.81,474.26,2111924,433.3949735449735
2020-04-03,471.63,475.81,449.41,452.9,1464415,423.4890262145259
2020-04-07,476.11,520.83,461.17,516.5,2621866,421.61972895622876
2020-04-08,510.47,530.39,498.42,510.57,2392535,420.0252207792205
2020-04-09,526.91,545.28,510.97,528.45,2480667,421.18345719095726
2020-04-13,528.45,558.78,507.98,542.34,3250081,424.63396681096697
2020-04-15,556.69,570.58,528.05,533.28,2116920,427.71891005291
2020-04-16,527.9,554.79,520.98,541.6,3580781,432.2299004329002
2020-04-17,557.78,560.77,531.24,543.39,2720180,437.5848867243865
2020-04-20,546.08,550.71,517.34,519.58,3093755,440.9686207311207
2020-04-21,512.81,515.25,501.51,507.53,2578464,443.7089143819144
2020-04-22,508.98,511.27,500.46,508.38,2315541,447.16618638768614
2020-04-23,512.96,515.8,496.73,498.47,2032832,450.0274307359306
2020-04-24,490.05,499.91,482.83,497.07,2540009,453.2082626262627
2020-04-27,502.9,508.68,490.35,496.28,1751874,456.44386844636847
2020-04-28,504.94,509.47,491.85,495.48,2111698,459.98713251563254
2020-04-29,498.02,502.9,493.59,499.96,1393629,464.24612025012027
2020-04-30,503,512.96,499.32,502.9,6509798,468.9144225589223
2020-05-04,491.05,492.99,474.46,477.15,3294629,470.7497171717175
2020-05-05,483.08,485.87,467.39,469.58,1722207,471.6289870129874
2020-05-06,473.12,484.08,467.34,480.49,1881531,473.77806926406936
2020-05-07,480.49,490,474.51,483.28,1730131,475.78907142857076
2020-05-08,487.86,490.85,480.84,484.37,1440231,477.2911144781142
2020-05-11,487.26,510.47,482.83,502.45,3882032,480.372101010101
2020-05-12,500.71,518.94,490.15,515.9,3098238,484.5597063492062
2020-05-13,547.82,547.82,517,520.88,2690503,488.83465728715714
2020-05-14,515.95,526.51,506.24,509.38,1925042,491.3569651274652
2020-05-15,512.21,517.79,507.88,515.8,1373499,494.24366329966335
2020-05-18,513.46,513.46,492.14,493.84,2657401,494.40294324194343
2020-05-19,496.23,518.94,493.09,509.82,3273793,495.8924990379984
2020-05-20,508.98,536.82,504.99,534.72,2840068,499.9474571909572
2020-05-21,534.72,534.82,519.49,524.86,1990097,502.6994882154882
2020-05-22,521.83,532.83,511.07,530.24,1738390,505.93320226070256
2020-05-26,532.88,542.24,525.76,530.54,3972391,509.14633357383354
2020-05-27,532.88,567.34,526.96,564.41,4716535,515.9029297739294
2020-05-28,565.75,579.35,555.04,574.22,3304743,523.5240719095718
2020-05-29,587.96,599.62,574.72,586.87,5932980,532.2575404040404
2020-06-01,590.15,597.62,577.75,581.19,2543818,539.9615355940352
2020-06-02,580.69,598.97,573.27,593.99,2659900,548.5846135161134
2020-06-03,598.17,607.58,590,595.43,2416809,556.8645791245789
2020-06-04,594.64,608.58,580.54,602.7,1637535,565.3866522366521
2020-06-05,609.18,628.2,607.09,624.67,3121285,575.6907325637324
2020-06-08,632.49,641.85,611.32,614.71,2735881,584.2918903318902
2020-06-09,620.63,633.28,604.3,609.48,2074647,591.70974050024
2020-06-10,609.58,623.52,607.68,612.32,1783539,598.8750418470421
2020-06-11,615.55,623.52,580.24,588.26,2488093,602.9217715247718
2020-06-12,565.95,603.8,565.95,599.57,2093916,607.6335072150073
2020-06-15,607.58,608.43,574.82,579.6,2904054,609.5895495430492
2020-06-16,595.63,602.11,577.9,586.77,1801103,611.8233756613757
2020-06-17,584.78,595.33,578.5,581.54,1152709,613.0500836940836
2020-06-18,580.69,600.46,576.01,595.73,1794564,615.4018660413667
2020-06-19,595.63,601.31,591.2,598.87,2609455,617.6914475709476
2020-06-22,601.51,626.36,584.67,615.15,5854779,621.3703071188072
2020-06-23,620.13,631.84,610.62,619.89,3169455,625.159584896585
2020-06-24,623.52,630.94,596.13,611.22,2432715,627.5463744588744
2020-06-25,608.53,624.07,601.66,605.04,2081314,628.8551144781144
2020-06-26,610.47,623.87,607.58,613.71,1753716,630.5893453583452
2020-06-29,611.32,621.98,596.13,616.8,2002380,632.2093872053874
2020-06-30,622.77,626.26,608.88,617.25,1622689,633.5084874939878
2020-07-01,617.35,623.47,609.73,611.92,1391871,633.8169531024532
2020-07-02,612.52,629.05,612.52,615.5,2492314,634.1310221260218
2020-07-03,621.33,627.51,611.07,625.66,2058367,635.1316452621453
2020-07-06,630.49,650.81,626.61,638.61,4043648,637.2556813371815
2020-07-07,638.61,640.35,618.84,621.18,2147955,637.234523088023
2020-07-08,625.51,629.35,602.9,606.09,2382114,635.4655577200573
2020-07-09,609.58,620.28,607.54,614.21,1618974,634.491021645022
2020-07-10,614.21,617.45,594.74,609.03,2683232,632.9237741702741
2020-07-13,611.97,615.5,605.14,609.33,1708755,631.3820690235694
2020-07-14,610.03,611.42,591.5,594.34,1744228,628.2712000962002
2020-07-15,600.06,604.6,584.03,586.57,1906246,624.5514696969694
2020-07-16,589.66,590.65,577.7,580.74,1503727,620.4146151996152
2020-07-17,582.18,593.04,580.69,589.76,2163428,617.4516164021164
2020-07-20,595.63,608.98,591,600.76,2277552,615.8448658008659
2020-07-21,602.6,614.06,599.52,600.71,1934876,614.230165945166
2020-07-22,604.6,609.58,591.65,599.42,1735799,612.5514538239538
2020-07-23,602.9,609.38,594.64,595.88,1202180,610.4728999519
2020-07-24,594.44,594.44,579.3,580.39,1245721,606.7614307359305
2020-07-27,582.68,582.68,566.2,568.54,2207909,601.849461760462
2020-07-28,570.53,595.58,562.76,593.89,5581525,599.8520824915822
2020-07-29,597.62,619.39,596.98,613.86,6062060,600.0800719095723
2020-07-30,611.72,622.63,598.77,600.56,2499574,598.953497113997
2020-07-31,603.95,634.38,599.62,630.54,4731991,601.1930805675803
2020-08-03,627.51,640.21,619.19,630.99,2536074,603.4573314093316
2020-08-04,632.88,637.22,619.74,622.18,2054326,604.715150793651
2020-08-05,622.23,641.05,619.24,630.94,2487032,606.9500644540639
2020-08-06,633.48,643.94,626.51,631.69,2294261,609.26916979317
2020-08-07,631.49,639.36,625.76,634.03,2217864,611.825554834055
2020-08-10,637.47,640.8,625.21,631.54,1917589,614.0690596440594
2020-08-11,632.49,638.41,616.6,621.78,2053366,615.2477616642614
2020-08-12,617.54,626.51,612.66,623.67,2134107,616.7087395382395
2020-08-13,629.3,635.47,619.04,629.35,3025063,618.8958169793168
2020-08-14,629.5,637.27,620.98,626.46,2829515,620.7658227513226
2020-08-17,627.66,631.49,608.28,622.87,4291871,622.1691156806154
2020-08-18,618.54,675.81,618.54,664.46,15404581,628.0097248677246
2020-08-19,665.31,669.34,657.84,662.22,3232155,633.3628133718139
2020-08-20,657.54,672.33,652.46,662.96,3003091,638.5587164502163
2020-08-21,672.03,680.3,666.25,674.67,3977480,644.6853234728235
2020-08-24,677.71,690.75,663.56,668.89,3806012,649.7589747474748
2020-08-25,669.34,676.76,659.03,671.08,1816771,654.6360485810491
2020-08-26,670.29,675.81,655.99,664.56,2440538,658.4242864357867
2020-08-27,667.5,685.28,664.36,682.34,3246473,663.8138802308806
2020-08-28,687.22,714.66,681.29,698.37,7357961,670.5501601731597
2020-08-31,700.22,707.99,667.99,672.18,4438961,674.0209795574799
2020-09-01,674.27,702.01,648.47,681.84,4709002,678.183212121212
2020-09-02,678.3,683.23,660.03,675.76,3915412,681.2189773929769
2020-09-03,682.29,726.46,678.9,721.88,7468698,688.6900514670511
2020-09-04,702.21,721.13,695.93,703.7,3591599,693.617988215488
2020-09-07,717.15,717.95,690.26,697.38,4161719,697.4615096200101
2020-09-08,700.12,700.12,671.53,674.42,2814438,698.3861519961515
2020-09-09,673.32,693.74,661.42,684.38,2824618,700.1811770081771
2020-09-10,693.79,714.91,678.6,710.48,4904614,704.5376503126502
2020-09-11,712.17,724.12,701.86,718.1,7301458,709.3118239538239
2020-09-14,718.15,733.04,700.22,704.2,3032808,712.2033335738336
2020-09-15,708.78,720.64,706.99,717.55,2914982,716.1983027898032
2020-09-16,720.09,734.28,711.27,717.55,3026687,719.8164971139976
2020-09-17,717.55,735.83,713.71,721.83,3911772,723.5067744107741
2020-09-18,725.07,745.69,721.78,742.05,3203449,728.9031606541605
2020-09-21,746.68,746.68,707.24,714.01,2417048,730.74448989899
2020-09-22,717.55,743.05,704,726.21,3300449,733.4939865319865
2020-09-23,726.46,729.85,702.21,715.56,2566493,734.6428352573355
2020-09-24,705.2,712.17,672.83,677.01,2814101,731.2419879749874
2020-09-25,680.3,709.38,680.3,705.35,2249261,730.8519463684464
2020-09-28,712.17,732.74,712.17,731.29,2535797,733.0755348725351
2020-09-29,733.09,736.97,712.22,718.59,1814706,733.6560695045695
2020-09-30,718.59,743.44,712.22,741.25,2368392,736.512762145262
2020-10-01,746.23,753.01,733.14,751.56,2394201,740.191682058682
2020-10-05,749.22,760.58,739.01,747.18,1892522,743.0864182299183
2020-10-06,747.28,756.94,737.57,754.7,1847277,746.4519466089465
2020-10-07,752.01,758.68,745.04,756.64,1620212,749.7424360269364
2020-10-08,761.97,771.63,755.7,767.3,2211518,753.9680146705148
2020-10-09,766.5,769.84,739.31,742.15,2893679,755.1046830206828
2020-10-12,743.2,749.37,735.08,741.75,2802510,755.9743742183749
2020-10-13,739.86,759.98,734.03,746.48,2729566,757.106476911977
2020-10-14,740.06,764.96,730.55,760.58,2396510,759.7346806156801
2020-10-15,757.34,764.91,742.25,747.13,1494757,760.7291007696008
2020-10-16,749.97,773.57,747.03,769.64,1758036,763.9586180856179
