Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,569.4,572.9,566.85,571.95,918373,
2020-01-02,572.55,575,570.5,573.55,1075642,
2020-01-03,574,588.5,572.85,585.05,3269446,
2020-01-06,585,592.2,579.45,582,3589985,
2020-01-07,582,587.75,579.05,584.25,3179728,
2020-01-08,583,593,578,585.75,3593096,
2020-01-09,586,588.15,579.25,580.3,2313648,
2020-01-10,582,589.8,577.4,580.35,2049636,
2020-01-13,583.95,590,581,586.5,4096054,
2020-01-14,587.2,597.4,587.15,594.3,3395378,
2020-01-15,597,598.3,591.7,595.75,2348102,
2020-01-16,597,598.3,586.75,593.25,2107442,
2020-01-17,585,602,585,598.8,4555694,
2020-01-20,618,618,584.1,589.25,10272118,
2020-01-21,589.3,593.25,582.35,584.05,2640668,
2020-01-22,585.2,595,581.5,590.65,4402650,
2020-01-23,590.1,599.95,587,598.95,6089397,
2020-01-24,599,609,595.5,607.7,3551260,
2020-01-27,607.7,608,601.75,604.35,2450421,
2020-01-28,607.3,607.35,592.6,601.45,5330709,
2020-01-29,605,611.5,602.2,608.85,4281329,
2020-01-30,612,613.85,603.65,607.85,3334901,
2020-01-31,607.85,608.9,589.6,591.4,3590768,
2020-02-01,591.4,597.7,580.75,590.9,941425,
2020-02-03,591.4,593.65,577.5,579.1,4024193,
2020-02-04,583,589.25,582.5,586.5,3246094,
2020-02-05,589.4,598.5,586,595.6,3006324,
2020-02-06,598.95,613,598,599.7,4704968,
2020-02-07,601.65,609.2,599.15,607.7,2865379,
2020-02-10,608.9,611.55,601.65,604.9,2286213,
2020-02-11,606,613.75,605.7,610.65,2458748,
2020-02-12,613,620.5,610.3,614.1,4873027,
2020-02-13,612,613.95,604.05,612.45,2090363,
2020-02-14,612.45,623.25,612.25,621.65,3650630,
2020-02-17,623,623.5,612.35,613.45,2190578,
2020-02-18,613.45,615.8,605.15,607.05,5237465,
2020-02-19,614.45,618.25,604,605.75,3799862,
2020-02-20,611,612.95,605.15,608.05,4820313,
2020-02-24,608,609,591.5,595.15,4070143,
2020-02-25,595.5,595.7,575,582.45,5525575,
2020-02-26,576.9,589.05,575.5,583.6,5460070,
2020-02-27,582.1,582.4,568,573.05,4078174,
2020-02-28,560,564,531.2,534.35,7894806,
2020-03-02,541.05,565.85,537.85,549.7,8175982,
2020-03-03,556,568.75,555,565.05,4682284,
2020-03-04,569,575.4,561,563.1,5175180,
2020-03-05,568,581.9,563.15,576.4,6061347,
2020-03-06,570,573.95,559.55,566.2,3288548,
2020-03-09,555,558,536.45,540.45,3699831,
2020-03-11,526.75,542.65,514,536.8,4850036,
2020-03-12,521,527.8,486.35,493.35,5321420,
2020-03-13,460,517.25,395.95,492.9,6859998,
2020-03-16,469,479.8,446.85,450.7,5281596,
2020-03-17,450,478.6,443.35,450.65,5148569,
2020-03-18,455,464.8,429.05,434.25,4936460,507.48185185185196
2020-03-19,418.9,434.6,375.25,413.45,9270054,492.0007491582493
2020-03-20,413.5,461.95,411.85,444.9,11916337,480.8141450216451
2020-03-23,415,444,400.45,417.15,9525670,467.4173484848485
2020-03-24,413,458.85,411.85,442.05,9915954,457.6031926406923
2020-03-25,432,468,417.75,457.6,11976272,450.274549062049
2020-03-26,461.1,466.75,441.1,447.7,9504717,442.6222631072635
2020-03-27,450.25,457.45,420.5,430.65,9151132,433.9739189514189
2020-03-30,410,438.65,410,419,6325701,424.94738095238085
2020-03-31,433.2,449.4,425.3,436.4,6381824,418.67532948532914
2020-04-01,433,433.2,408.2,413.55,8136746,410.7536279461283
2020-04-03,418.9,428.6,399.3,405.8,8166456,402.9132996632997
2020-04-07,425,457.95,425,451.15,5972948,400.8104076479075
2020-04-08,451,476.8,449,463.1,7991062,400.5903090428089
2020-04-09,480.7,481,462,469.05,5069246,401.5571596921595
2020-04-13,470,471,454,458.25,2236731,401.8390800865804
2020-04-15,470,482,462.7,478.75,6333192,404.6383862433862
2020-04-16,473,476,456.7,459.75,10484847,405.7047126022125
2020-04-17,470,475,453.65,455.25,4706460,406.7556493506492
2020-04-20,458,473.6,453.5,470,4801120,409.85858465608464
2020-04-21,458,464.95,447.85,455.7,3405204,411.90509980760004
2020-04-22,453,469.45,450,462.4,3768051,415.15948532948545
2020-04-23,465,480.75,462.4,477.7,3054988,420.3710221260223
2020-04-24,480,496.9,465.15,468.1,6738441,424.7821729196728
2020-04-27,473.1,485.7,467.25,483.1,2914600,430.85399951899933
2020-04-28,489,489,469.45,471.1,4262239,435.6219636844638
2020-04-29,474.8,501,470.2,491.75,3849156,442.42436147186163
2020-04-30,506.5,565.5,501,543.55,8035698,454.4977729677728
2020-05-04,527.5,527.5,508.2,514.25,7032553,462.8197931697931
2020-05-05,526,529.9,515.65,520.4,4592833,471.2119215969216
2020-05-06,512.2,526.7,506.2,519.1,6921536,479.00860509860513
2020-05-07,530,541.8,507.55,511.75,19998942,485.42265632515637
2020-05-08,520.85,522.5,502.4,518.4,10120968,492.1162037037035
2020-05-11,526,534.9,521.2,527.55,4425560,499.40627224627235
2020-05-12,525.45,540,520,527.4,6440027,506.20265271765294
2020-05-13,539.85,539.85,521.55,528.75,3503019,512.5705699855696
2020-05-14,519.4,527.55,514.35,517.45,3741679,517.0920851370852
2020-05-15,517.95,517.95,505.25,511.25,4895771,520.4622967772964
2020-05-18,514.7,518.65,507.5,510.75,5159670,523.200642135642
2020-05-19,512,520.5,506.2,518.25,3967055,526.1240860990863
2020-05-20,515.05,528.65,515,526.75,3138733,529.553282828283
2020-05-21,529.8,537.5,523.4,534.85,4523685,533.4773953823953
2020-05-22,533.65,535,523,530.4,6410485,536.544918229918
2020-05-26,530,536.5,520.25,524,4055697,538.5172859547858
2020-05-27,529.7,533.9,516,530.95,4828848,540.988157768158
2020-05-28,531,546,523,542.65,4492817,544.3237061087062
2020-05-29,540,555,536.7,550.25,7853814,547.9965608465611
2020-06-01,557,573.4,555.5,559.75,4503607,552.2543253968254
2020-06-02,559.3,567.75,550,560.2,2930073,555.9989634439635
2020-06-03,564,568.4,557,562.8,4202273,559.5008164983162
2020-06-04,565,583.7,559,578.95,5315354,564.2972751322754
2020-06-05,585,587.15,572.5,575.95,3995825,568.2131673881674
2020-06-08,579.15,583.5,571.05,578.25,3772143,571.9378547378547
2020-06-09,574.15,583.6,570,572.85,3812757,574.5724615199617
2020-06-10,575,587.5,573.6,578.7,6491758,577.4840716690715
2020-06-11,580,584.9,574.1,578.05,4975680,580.2232094757096
2020-06-12,555.2,578.7,555.2,570.75,6624056,581.9360149110151
2020-06-15,574.8,581,563.7,578.95,3787100,584.3631325156322
2020-06-16,585,593.5,578.4,580.9,4728409,586.7695574795576
2020-06-17,580,581.85,573,575.85,3572362,588.3753691678689
2020-06-18,571.2,583.8,570.1,578.95,1918329,590.0962385762384
2020-06-19,574,578,567.2,569.6,6182630,590.6221632996634
2020-06-22,575,576.65,565.4,569.6,2666303,591.0039634439636
2020-06-23,569.7,583.5,563.75,580.25,4522086,592.4009247234249
2020-06-24,575,579.8,554.4,559.6,5339903,591.3578186628187
2020-06-25,557.6,560.7,548,550.05,6353508,589.115678210678
2020-06-26,550.05,573.9,545,562.4,7034881,588.0774518999519
2020-06-29,562,565.9,550.3,553.7,3857756,585.9751731601731
2020-06-30,558,560.8,553.25,556.85,3110587,584.1343927368928
2020-07-01,557.95,559.6,551,551.75,3004728,581.6916582491584
2020-07-02,555,572.4,552.9,569.2,5243654,581.0593049543049
2020-07-03,572,580.55,570.6,579.15,3735600,581.3259151034151
2020-07-06,579.15,589,577.25,578.7,3288423,581.3544793169793
2020-07-07,582,594.45,575.15,592.05,7255520,582.6999001924002
2020-07-08,594.75,594.75,573,574.9,4625061,582.0754882154883
2020-07-09,575.65,591.6,575,588.25,4807935,582.8693915343915
2020-07-10,588.25,588.55,579.85,582.25,2376908,582.9580964405965
2020-07-13,585,605,583.35,602.6,5443995,585.2020731120731
2020-07-14,604.6,613.75,588.1,591.35,6212718,586.1966642616646
2020-07-15,593.65,627.95,592.5,615.2,9928037,589.7451635401638
2020-07-16,630,652.2,607.15,627.75,20771278,594.5285822510821
2020-07-17,629.5,644.65,613.4,623.15,26830689,598.6303884078883
2020-07-20,633,652,626.85,648.6,10543170,605.3091197691195
2020-07-21,652,662.35,643.3,652.35,8801064,612.0845707070708
2020-07-22,657,658,643.1,650.15,3837969,618.2822366522367
2020-07-23,650,656.95,643.55,652.85,3173126,624.4767219817218
2020-07-24,641,684.8,640.9,679.95,12365729,633.2809415584417
2020-07-27,684,704.4,676.5,701.1,11349061,643.9096596921595
2020-07-28,702,716.05,695.7,712.45,8469643,655.2267893217896
2020-07-29,710,710.75,692.5,694.4,7142688,663.9742352092353
2020-07-30,698,712.55,692.65,695.45,7966921,672.2823051948053
2020-07-31,701.85,716.7,696,705.2,6322672,681.133740981241
2020-08-03,709.1,718,700.55,705.95,5546348,689.417079124579
2020-08-04,709.5,711,687.05,692.65,6683186,695.5769781144785
2020-08-05,692.65,702.4,681,688.4,6052234,700.7104834054833
2020-08-06,692,707.6,686.4,704.9,5133012,707.0096344396343
2020-08-07,699.9,699.9,685,690.3,7371589,711.0768482443482
2020-08-10,694.95,694.95,685.1,692.05,3769575,714.6994348244349
2020-08-11,694,700.95,681.5,683.8,3956472,716.8930603655608
2020-08-12,680.6,719,677.05,717.1,13085422,722.2046055796052
2020-08-13,717,729,713.05,724.6,8850424,727.7083237133236
2020-08-14,727.9,727.9,707.25,709.1,3887303,730.9681541606542
2020-08-17,711.1,720.8,709.25,718.85,3344102,734.665723905724
2020-08-18,718.95,721.7,712.4,714.45,3634311,737.3041714766714
2020-08-19,713.8,714.2,705,709.85,4858027,738.8504533429528
2020-08-20,708.5,715.85,706.05,710.1,3025769,739.9515476190478
2020-08-21,715,715,702.7,705.9,4164686,740.0594973544975
2020-08-24,706.05,708.45,695.6,705.7,4066936,739.7505074555079
2020-08-25,705,711.55,694.7,701.6,3982510,738.6725577200575
2020-08-26,704.7,717.75,697,712.8,4511551,738.4631325156321
2020-08-27,713.55,720,706.5,710.15,3917059,737.7171741221741
2020-08-28,713.7,716.65,703.2,706.45,5416682,736.3547462722466
2020-08-31,705,725,686,694.4,7787176,733.49148027898
2020-09-01,695,704,682.4,689.6,6377322,729.9690548340545
2020-09-02,689.9,704.8,689.1,701.95,4090511,727.7893698893698
2020-09-03,704.8,716.4,697.6,706.75,5468161,726.2013564213565
2020-09-04,695.15,704.5,692.05,700.8,3354844,724.088988696489
2020-09-07,696.35,712.4,689.05,708.8,4238823,722.8850962000963
2020-09-08,708.8,738.9,703.2,725.9,11522742,723.5331012506011
2020-09-09,712.1,730.9,710.2,721.95,5514179,723.7429461279462
2020-09-10,728.65,728.95,713.8,722.4,3366359,724.0217712842716
2020-09-11,712,734,710.15,721.65,7221687,724.1747474747474
2020-09-14,745,825.1,744.15,794.95,32312531,732.1087782587782
2020-09-15,791.05,809.85,783.05,792.7,14024787,739.4819384319387
2020-09-16,790.05,796.3,779.25,789.25,7471542,746.0968061568062
2020-09-17,794.95,817.5,789.5,808.3,19972987,754.3926803751805
2020-09-18,808.3,824,804,810.6,8847758,762.4315127465125
2020-09-21,823,849.9,793.45,802.6,24911675,769.2687854737851
2020-09-22,813.95,831.5,790.55,821,21882919,777.8101779701785
2020-09-23,832,844.8,810.15,814.1,18070371,785.1688900913896
2020-09-24,811,811.45,784,788.3,10553632,789.4146729196725
2020-09-25,795.25,836,792.6,827.7,19813372,797.621046176046
2020-09-28,838.4,844.75,820.8,835.25,11146342,806.1721861471862
2020-09-29,837.4,841.1,810.2,812.75,10554255,811.8015139490145
2020-09-30,818,820.5,807.1,811.6,9470277,816.8860497835493
2020-10-01,819.9,820.95,811.2,812.95,4321350,821.6824434824432
2020-10-05,828.8,839.2,815.1,824.2,11890211,827.2153006253006
2020-10-06,830,834.5,822.7,829.15,7848520,832.8196488696487
2020-10-07,830,830.6,823,828.05,6980002,837.7937506012506
2020-10-08,857.5,879,844.5,849.55,25860578,844.5421284271283
2020-10-09,852.9,862.5,849.3,855.75,7286954,851.2633730158732
2020-10-12,860.8,871.95,857.15,865.8,8717565,858.3140560365557
2020-10-13,866.3,906.6,863.3,900.4,18948688,868.3256325156325
2020-10-14,904,910.7,882,890.45,15441223,876.3759499759494
2020-10-15,899.95,903.7,833.45,860,15648849,880.2759126984128
2020-10-16,859,877,820.6,827.15,28983265,879.9637650312649
2020-10-19,839.8,861.7,833,844.75,15671737,881.0871368446368
