Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,623,626,616.35,621.45,1749377,
2020-01-02,622.7,638.8,618.4,634.25,1973981,
2020-01-03,631,637.45,626.4,630.7,2401828,
2020-01-06,627.4,627.4,611.5,619.55,4175516,
2020-01-07,623.6,643.7,623.6,629.95,2827658,
2020-01-08,622,631.8,618.5,628.85,2248332,
2020-01-09,635,636.5,627.8,631.5,1338705,
2020-01-10,632.4,634,618.75,623.1,2181852,
2020-01-13,627.9,633.05,623.6,625.4,1161466,
2020-01-14,626.5,627,612.75,614.25,2109229,
2020-01-15,614,620.5,612.75,616.55,1621297,
2020-01-16,624,625,605.8,607.5,3196222,
2020-01-17,607.5,611.55,601.7,607.65,2313300,
2020-01-20,611,612.45,597.1,598.25,1870028,
2020-01-21,595.7,609.7,594.15,602,1597879,
2020-01-22,604.9,616.5,602.65,612.75,2066862,
2020-01-23,614.3,621.9,611.5,616,1685313,
2020-01-24,607.9,611.25,602.8,607.25,2188192,
2020-01-27,604.8,605.7,598.1,599.7,1531808,
2020-01-28,601,611.9,599,603.75,1651481,
2020-01-29,605.95,611,602.25,605.05,1324538,
2020-01-30,605.9,608.55,597.15,600.45,1060111,
2020-01-31,603.1,604.45,597.3,599.2,1260667,
2020-02-01,598.2,609,537.9,562.4,7823819,
2020-02-03,553,573,527.5,565.3,9688974,
2020-02-04,568,578.45,555.55,573.1,3116053,
2020-02-05,574.4,586.35,565,583.45,2739852,
2020-02-06,587,598.7,587,593.65,2299958,
2020-02-07,593.5,600,589,595.7,1185529,
2020-02-10,596,598.9,584.5,588.05,1366499,
2020-02-11,589.75,594.5,575.8,583.5,1545054,
2020-02-12,585.6,594.7,563.6,578.35,3303107,
2020-02-13,576.5,582.25,568.5,577.2,2107487,
2020-02-14,578.9,581.5,572,573.95,2332181,
2020-02-17,574.9,575,564.05,565.9,918309,
2020-02-18,564.8,565.35,556,562.6,1231246,
2020-02-19,565.9,581.85,563,579.1,1752251,
2020-02-20,582.1,583.7,572.1,573.5,3708209,
2020-02-24,572.25,578.4,556,560.8,1576359,
2020-02-25,570,582.5,566,569.5,3582636,
2020-02-26,565.3,571.45,555,557.05,2313470,
2020-02-27,559,569.3,544.25,566.7,2985262,
2020-02-28,554,565,541.25,544.1,4380818,
2020-03-02,555,564.25,550.95,554.5,2299648,
2020-03-03,560,573,559.65,563.5,2844292,
2020-03-04,567.4,570,560.15,568.6,1735962,
2020-03-05,572,572.8,556.4,564.95,3821330,
2020-03-06,541,556.5,535,548.15,3494853,
2020-03-09,538,540.3,506.2,517.65,4577812,
2020-03-11,515,526,508.05,513.55,2971154,
2020-03-12,495,498,453.3,472.9,4798516,
2020-03-13,435,525,429.1,507.15,7973723,
2020-03-16,494,500.4,471,474.2,4059856,
2020-03-17,475,486,460,464.95,3292007,
2020-03-18,465,470,410.85,419.45,4747409,496.7804497354497
2020-03-19,385.35,432.55,385.35,416.95,8358755,484.057316017316
