Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,2454.9,2462.55,2427.35,2432.55,314519,
2020-01-02,2447.8,2452,2417.05,2429.45,546945,
2020-01-03,2420,2449,2415,2432.35,544720,
2020-01-06,2428.95,2428.95,2360.05,2368.15,624665,
2020-01-07,2378,2399.9,2337,2348.05,620687,
2020-01-08,2322,2345.05,2310.55,2317.55,595883,
2020-01-09,2341,2365,2326.1,2354.55,732115,
2020-01-10,2357,2387.7,2351,2363.45,578287,
2020-01-13,2382.9,2382.9,2352.35,2366.75,434063,
2020-01-14,2367,2418.8,2361.05,2411.4,787340,
2020-01-15,2419.95,2480.55,2414,2476.3,1051367,
2020-01-16,2474.95,2474.95,2427,2434.5,590255,
2020-01-17,2445,2474.9,2421.6,2454,457663,
2020-01-20,2454,2459.65,2410.1,2415.6,320280,
2020-01-21,2410,2412.65,2375,2398.7,568473,
2020-01-22,2408.7,2410,2379,2399.05,346888,
2020-01-23,2397,2434.85,2380,2429.75,315469,
2020-01-24,2440,2474.8,2427.1,2468.65,519690,
2020-01-27,2456,2498.5,2425.05,2455.75,897656,
2020-01-28,2456.75,2508.95,2440,2468.85,904634,
2020-01-29,2484,2510,2470,2486.35,787135,
2020-01-30,2486.95,2522,2464,2482.3,797868,
2020-01-31,2508,2521.9,2492.05,2501.85,574957,
2020-02-01,2489.85,2531,2380.15,2446.9,791944,
2020-02-03,2391,2469,2358,2376.15,1507692,
2020-02-04,2412,2484.6,2400.8,2462.05,1187298,
2020-02-05,2472,2478.9,2345.55,2373.25,2176980,
2020-02-06,2395,2427,2355,2411.3,1632634,
2020-02-07,2480,2496,2421.35,2443.45,2709754,
2020-02-10,2449.5,2457.45,2375.15,2385.7,949025,
2020-02-11,2415,2443.35,2390,2396.45,680119,
2020-02-12,2410,2430,2400,2423.05,467714,
2020-02-13,2419,2441.3,2401,2408.95,514501,
2020-02-14,2424,2437.8,2351.1,2356.5,798770,
2020-02-17,2335,2335,2269.55,2283.35,818134,
2020-02-18,2283.2,2283.2,2225,2252.65,839607,
2020-02-19,2274,2278,2227.05,2251.6,729471,
2020-02-20,2267,2276,2235.45,2240.25,886179,
2020-02-24,2220,2220,2175,2184.2,808263,
2020-02-25,2190.2,2214,2164.05,2184.15,861921,
2020-02-26,2180,2195,2136,2142.55,972076,
2020-02-27,2147.9,2158.65,2101,2110.25,1093297,
2020-02-28,2080,2110,2033.95,2051.75,1879071,
2020-03-02,2100,2110,1961,1975.45,1207967,
2020-03-03,1976,2063.85,1976,2054.85,1689926,
2020-03-04,2070,2073.35,2000.5,2046.35,976550,
2020-03-05,2061.7,2093.1,2052.3,2063.9,899516,
2020-03-06,1971,2053.45,1971,2038.3,606826,
2020-03-09,1995,2011.5,1915.3,1956.05,844134,
2020-03-11,1968,2049.8,1948.9,2036.05,1848135,
2020-03-12,1956,1978.95,1793.75,1907.2,2248848,
2020-03-13,1761,1943,1535,1883.95,1184616,
2020-03-16,1818,1845,1775.3,1783.5,883109,
2020-03-17,1783,1903.6,1756.35,1841.15,1236906,
2020-03-18,1841,1860,1666,1681.15,1118514,1850.4964526214526
2020-03-19,1648,1789,1561.95,1712.45,1276787,1811.625934343435
2020-03-20,1725,1845.7,1675,1815.7,1244977,1787.2180435305436
2020-03-23,1634.15,1673.15,1520,1616,750843,1744.0310582010588
2020-03-24,1650,1754.1,1475,1627.05,1489165,1705.6272691197692
2020-03-25,1560,1683.5,1525.3,1667.65,1027512,1675.303886483886
2020-03-26,1689.9,1827.95,1645.6,1801.9,1448405,1662.8448364598376
2020-03-27,1815,1830.35,1640.6,1661.2,1515015,1637.9103403078407
2020-03-30,1635,1640,1542.3,1553.5,1250949,1604.2781301106302
2020-03-31,1593,1633.75,1565,1596.45,1456426,1578.4209704184707
2020-04-01,1590.1,1647.35,1565,1639.65,1641556,1560.1585894660896
2020-04-03,1610.05,1623,1543.15,1582.05,1592848,1538.4014213564215
2020-04-07,1630,1789,1623.65,1769.2,1374511,1539.301335978836
2020-04-08,1702,1883.8,1700,1821.65,1376706,1547.5843831168822
2020-04-09,1879.15,2013.4,1853,1990.9,2416795,1575.2886255411263
2020-04-13,1952,2023.5,1888.05,1919.05,1561005,1595.6503559403563
2020-04-15,1940,1974,1811.7,1824.1,1537630,1606.2295274170272
2020-04-16,1800,1807.45,1752.55,1782.65,1453650,1612.795076960077
2020-04-17,1839.95,1875,1812,1835.9,1327772,1626.0860004809986
2020-04-20,1874.95,1879.95,1787.05,1805.85,2291195,1636.8598965848976
2020-04-21,1785.1,1838.9,1758,1827.55,1650673,1650.9021236171257
2020-04-22,1800,1905,1796.9,1887.65,2737381,1672.0822871572875
2020-04-23,1900,1923.45,1855,1865,1882834,1690.808803511303
2020-04-24,1842.5,1939.4,1840,1894.8,1711725,1713.232359307358
2020-04-27,1909,1949,1897.45,1935.2,1322270,1739.6559066859065
2020-04-28,1950.3,1972.8,1915.6,1943.1,1057093,1766.3224458874477
2020-04-29,1966.25,2018.5,1941,1970.25,1836009,1794.7722679172678
2020-04-30,2017.1,2198.1,1975,2166.7,2786594,1843.2678848003857
2020-05-04,2051,2074.95,1985,2000.7,1328872,1871.2746164021148
2020-05-05,2034,2051,1945.15,1965.35,1318956,1893.7020923520922
2020-05-06,1981,2058.9,1933.25,2026.75,1881161,1921.605886243387
2020-05-07,2000,2051.4,1983.4,2000.3,1112940,1944.2693867243852
2020-05-08,2040,2040,1955,1962.6,1139469,1960.6614935064943
2020-05-11,2015,2134.8,1990,2088.65,4445500,1988.6993819143809
2020-05-12,2093,2134,2020,2114.3,2919975,2017.760301827802
2020-05-13,2199.85,2265,2148,2187.6,3253846,2052.1201659451663
