Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,1930,1939.9,1918,1936.55,543035,
2020-01-02,1940,1952.6,1930,1938.05,663275,
2020-01-03,1937.9,1940,1918.75,1927.45,1598825,
2020-01-06,1927.35,1929.4,1911.25,1915.45,683129,
2020-01-07,1919.25,1931,1918,1920.7,808935,
2020-01-08,1910,1936.05,1906.45,1929.35,1889685,
2020-01-09,1941.55,1947.3,1931,1935.05,1544334,
2020-01-10,1940.9,1957.5,1931.65,1954,1003336,
2020-01-13,1961,1997.85,1957,1994.85,2040089,
2020-01-14,1995.5,2014.95,1982.4,2008.8,1610737,
2020-01-15,2011.15,2027,1997.35,2021.65,1559491,
2020-01-16,2022,2054.7,2016.1,2049.25,2468958,
2020-01-17,2055,2063.9,2040.05,2060.3,994719,
2020-01-20,2060.5,2075.9,2050,2062.85,829399,
2020-01-21,2059.75,2075,2052.15,2055.4,750000,
2020-01-22,2063,2063.5,2027.2,2051.7,983169,
2020-01-23,2051.75,2060.85,2035,2056.9,708017,
2020-01-24,2057,2079,2050.05,2073.7,914993,
2020-01-27,2066,2068.75,2056.75,2061.35,429312,
2020-01-28,2062,2065,2042.7,2060.6,777052,
2020-01-29,2062.05,2085.8,2062.05,2074.2,873433,
2020-01-30,2074.9,2078,2049.45,2058.1,952768,
2020-01-31,2064,2068.25,2020.05,2034.25,1930834,
2020-02-01,2049.35,2096,2030.05,2074.9,2666062,
2020-02-03,2074.9,2195.55,2074.9,2178.95,4012542,
2020-02-04,2177,2204.2,2140,2155.6,1932121,
2020-02-05,2167.4,2184,2153.9,2160.3,1514368,
2020-02-06,2166,2196.25,2134.05,2156.4,1302116,
2020-02-07,2165,2172,2141.6,2159.95,908152,
2020-02-10,2160.1,2189.55,2151.7,2159.3,1389847,
2020-02-11,2169,2179.65,2147.7,2152.65,777506,
2020-02-12,2157.1,2272,2155,2260.35,4753325,
2020-02-13,2256,2288.95,2233.05,2283.4,2950407,
2020-02-14,2273,2297.6,2246.25,2255.05,1728651,
2020-02-17,2248,2289,2243.2,2252.6,1420851,
2020-02-18,2252.6,2262.95,2222.1,2234.4,1194605,
2020-02-19,2250.2,2308.2,2241.25,2292.15,1299800,
2020-02-20,2282.2,2289.95,2242.5,2248.25,1555224,
2020-02-24,2236.8,2262,2210.1,2215.15,1409245,
2020-02-25,2239.9,2279.7,2225.75,2233.6,2237493,
2020-02-26,2238.8,2255.7,2202.35,2236.2,2896154,
2020-02-27,2241.95,2259.7,2200,2254.95,2446802,
2020-02-28,2191.1,2229.4,2155,2174.75,3837330,
2020-03-02,2190,2241.95,2141.85,2159.45,1707337,
2020-03-03,2171.9,2189.6,2141.7,2166.65,1753148,
2020-03-04,2179,2185.05,2152,2175.85,1515878,
2020-03-05,2185,2258.65,2181.85,2218,2272645,
2020-03-06,2185,2250,2159.25,2188.9,2479414,
2020-03-09,2140,2169.6,2112,2121.5,2485208,
2020-03-11,2066,2169.45,2066,2155,2861649,
2020-03-12,2102.4,2123,2031.65,2055.95,3655792,
2020-03-13,1970,2120,1888.1,2033.2,3667035,
2020-03-16,2000,2039.2,1933.9,1941.9,2948704,
2020-03-17,1955.55,2088,1951.95,2004.05,3732415,
2020-03-18,2034.05,2063.8,1909.35,1923.8,3911480,2126.7015788840777
2020-03-19,1894.3,1899,1757.3,1838.3,5095023,2088.813292448294
2020-03-20,1850,2078.9,1850,2051.7,4252263,2075.427344877345
2020-03-23,1950,1985.05,1850,1869.7,3574682,2043.1845081770075
2020-03-24,1975,2070.95,1930,2027.85,5789906,2029.3459042809054
2020-03-25,2010.05,2138.95,2001.65,2088.15,3959038,2023.2711604136593
2020-03-26,2089,2250,2060,2194.9,3201566,2029.775719095719
2020-03-27,2239,2267.65,2120.5,2140.55,2918796,2030.9477525252532
2020-03-30,2123,2213,2102.85,2184.35,2809611,2037.5389417989409
2020-03-31,2234.8,2313,2185,2298.5,2809285,2056.7748809523823
2020-04-01,2293.2,2324.9,2158.05,2179.65,2774689,2063.440468975469
2020-04-03,2234,2254.1,2127.95,2154.1,4121462,2067.8424615199615
2020-04-07,2220,2460,2220,2444.9,8510183,2103.81061928812
2020-04-08,2432,2614.3,2417.4,2460.85,9791892,2140.6266317941304
2020-04-09,2499.95,2500,2345,2372.25,4770083,2167.0212602212596
2020-04-13,2381,2423,2315,2346.45,3249562,2190.231877104378
2020-04-15,2425.95,2516.6,2381.5,2487.55,29485532,2227.84087902838
2020-04-16,2466,2526.15,2421.1,2436.1,5388258,2258.4844215969215
2020-04-17,2498.8,2498.8,2354.05,2385,4540967,2282.473536556037
2020-04-20,2420,2420,2321,2336.55,2985278,2300.367109187109
2020-04-21,2283,2378,2282,2317.4,3227339,2315.7603487253477
2020-04-22,2317.95,2399.95,2275.65,2386.15,2837835,2338.0065187590194
2020-04-23,2389,2413,2308.05,2317.5,4095595,2351.6996320346334
2020-04-24,2311,2338,2280,2283.1,2169013,2361.0156842231836
2020-04-27,2305,2329.4,2283.25,2320.45,2013737,2373.2932611832603
2020-04-28,2338.65,2338.65,2267,2289.95,2164048,2380.9425877825875
2020-04-29,2290,2291.7,2221,2231.75,3642216,2380.586743626744
2020-04-30,2272,2272,2160,2195,8448104,2375.1380856180876
2020-05-04,2130,2160,2066,2082.65,8474699,2356.2395394420387
2020-05-05,2101.2,2121,2033.1,2041.5,4304146,2331.5913179413174
2020-05-06,2049.95,2073,2000,2010.2,5127756,2303.5665776815786
2020-05-07,1950.1,2007,1902,1992.05,185670048,2272.7569901394904
2020-05-08,2074.95,2098,2036,2089.45,16100488,2252.4682491582494
2020-05-11,2083,2116.55,2035.95,2048,11158836,2227.6205844155843
2020-05-12,2020,2027.85,1985,2011.55,14881259,2199.491954064453
2020-05-13,2075,2075,1975.4,1995.75,8432991,2170.1948893698905
2020-05-14,1988,2026.55,1980.65,2006.05,8510097,2142.832493987493
2020-05-15,2015,2037.65,2006,2032.1,5491176,2119.6602453102455
2020-05-18,2041.5,2047.85,1988.6,2005.25,7675796,2094.2230351130356
2020-05-19,2018,2024.8,1968.1,1975.55,5963269,2066.233455988455
2020-05-20,1975.55,2010,1975,1990.85,3927076,2042.2109114959117
2020-05-21,1999,2003.4,1955.2,1970.9,4261738,2018.3800096200093
