Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,539.9,542.5,535.7,536.75,7642793,
2020-01-02,536,541.9,535.85,540.6,10264223,
2020-01-03,538,540.8,536.25,538.85,9594690,
2020-01-06,537.25,537.25,523.8,525.7,12534334,
2020-01-07,531.3,535.6,521.65,522.9,16101835,
2020-01-08,516,527.35,515,525.95,16094310,
2020-01-09,530.7,547.4,530.3,546.3,18934019,
2020-01-10,544.9,546.5,538.5,540.25,12335407,
2020-01-13,539.4,546.05,538,538.6,7901800,
2020-01-14,536.2,538.95,534.15,537.6,13939440,
2020-01-15,535.1,536.95,530.65,535.6,12353176,
2020-01-16,533.9,540,533.2,537.15,11249232,
2020-01-17,534.5,538,530.6,532.05,18312609,
2020-01-20,533,544,531,534.85,19159996,
2020-01-21,532.95,540.25,530.2,531.05,13477994,
2020-01-22,531.5,534.95,520.75,522.85,17527408,
2020-01-23,521.4,530.25,517.05,527.7,17061293,
2020-01-24,529.25,537.4,527,533.85,17851868,
2020-01-27,538.5,545,531.5,537.25,38149166,
2020-01-28,538.1,540.6,524.45,528.2,24009224,
2020-01-29,531.55,534.8,525.3,526.6,16400827,
2020-01-30,527.65,533.95,524.15,532.2,14319317,
2020-01-31,530,532.75,522.4,525.65,16292578,
2020-02-01,524,528,501.85,504.6,11815597,
2020-02-03,504,519.15,502,515.55,22531888,
2020-02-04,520,534.65,516.65,530.8,17781475,
2020-02-05,529.05,540.4,525.7,539.1,18782476,
2020-02-06,540.35,547,536.25,541.6,15296851,
2020-02-07,540.95,541.75,535.15,536.45,8297149,
2020-02-10,538.65,542.25,530.5,533.95,12536053,
2020-02-11,537.7,544.8,537.5,539.75,11243552,
2020-02-12,545.8,550.7,542.7,549.3,14026335,
2020-02-13,549,549,538,541,9227235,
2020-02-14,541.25,548.65,536.55,545.8,14458649,
2020-02-17,543,545.35,537.75,541.6,7793293,
2020-02-18,541,544.4,536,541.2,15918303,
2020-02-19,543.5,546.5,540.5,544.8,8704234,
2020-02-20,545.5,549.35,541.8,547,13588526,
2020-02-24,539.5,541.85,527.55,529.85,16940750,
2020-02-25,532.45,538.8,525.3,530.95,14942960,
2020-02-26,526.85,529.35,522.2,523.7,15743918,
2020-02-27,522.8,523.3,512.65,515.35,26315054,
2020-02-28,501.6,506.85,492.2,497.25,32737933,
2020-03-02,508.25,520.55,498.45,506.1,28642076,
2020-03-03,509.85,519.5,508.5,514.75,19661945,
2020-03-04,517.5,517.5,497.05,508.35,21883404,
2020-03-05,509.75,511.15,500,504.5,16671516,
2020-03-06,485,496.8,477.3,486.35,31024353,
2020-03-09,475,475,442.95,457.75,42027546,
2020-03-11,450,471.75,449.6,465.65,31018901,
2020-03-12,438,445.95,416,425.65,50757036,
2020-03-13,401,464.75,395.2,447.2,67105024,
2020-03-16,424.2,424.2,397.45,402.9,34834779,
2020-03-17,407,408.45,364,367.25,47233442,
2020-03-18,369.1,375.5,342.3,355.05,61204129,443.9072739297739
2020-03-19,336.1,369.6,323,338.55,57986210,427.37529822029825
2020-03-20,328,359.8,323,345.7,88640850,412.5277825877829
2020-03-23,311.15,313.7,280,284,56868412,391.93902597402575
2020-03-24,295.3,305,268.3,296.5,67896591,373.8772426647427
2020-03-25,284,334.15,281.6,316.9,66545735,359.18990860990857
2020-03-26,322,364.4,314.25,330.25,76174000,346.9848797498796
2020-03-27,355.8,359.55,326,339.85,72890796,336.8218205868207
2020-03-30,330.1,333.9,311.1,313.4,36560532,324.7582347282346
2020-03-31,324.7,334.85,316,323.75,46280029,314.86156325156344
2020-04-01,319,323.75,308.1,311.15,33142102,304.64495550745545
2020-04-03,309.5,309.5,281.5,286.65,57330285,292.90418590668594
2020-04-07,308.3,329.6,296.85,326.1,57662681,286.5153186628188
2020-04-08,322.85,352.75,315.1,318.95,73931642,280.3071969696969
2020-04-09,332.4,345,322.65,342.7,52432049,277.5886748436746
2020-04-13,341.05,345.8,329.25,330.65,30995409,274.3678006253006
2020-04-15,342.7,351.9,325,327.35,49134201,271.54470658970666
2020-04-16,325.3,347.8,319.35,342,56494211,271.11007455507456
2020-04-17,362,385.5,349.05,375.55,69008019,275.0635221260221
2020-04-20,376,378.9,357,361.3,55811178,278.09003727753725
2020-04-21,341,346.2,328,331.85,50118816,278.604613997114
2020-04-22,326,338,323.05,335.95,49115661,280.24843674843686
2020-04-23,340.25,354.8,338,352.95,45953483,284.2343338143336
2020-04-24,337.9,343.25,331.5,334.85,38513311,286.7608453583457
2020-04-27,339.3,352.9,338,347.9,38981101,291.0420983645982
2020-04-28,353.75,362.85,350.25,359.85,32934538,297.02735209235203
2020-04-29,353,376.5,351.65,370.45,39342166,304.27499398749393
2020-04-30,382,392.95,374.15,380.15,45735197,312.4408670033668
2020-05-04,359,359,336,338.05,38837866,315.86000721500744
