Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,1512,1523.95,1480.8,1484.3,2135253,
2020-01-02,1491.75,1534.3,1486.1,1529,2365906,
2020-01-03,1524,1538,1512.1,1528.85,2622870,
2020-01-06,1515.05,1517.75,1465.45,1469.4,3151046,
2020-01-07,1488.45,1508,1442.2,1461.65,3572603,
2020-01-08,1441,1481.6,1439.05,1458.6,3363919,
2020-01-09,1490,1515.95,1483.2,1507.65,3496433,
2020-01-10,1510.85,1521.65,1484.2,1491.25,3189536,
2020-01-13,1499.8,1547,1487.35,1539.65,3732412,
2020-01-14,1546,1585,1470.25,1481.65,15123110,
2020-01-15,1463.4,1463.4,1391.35,1400.5,13995235,
2020-01-16,1405,1415,1377.1,1386.45,10544088,
2020-01-17,1350,1377,1317.05,1352.25,10020063,
2020-01-20,1367.9,1367.9,1323,1331.95,6047237,
2020-01-21,1332,1350,1320,1336.35,4501887,
2020-01-22,1346.35,1348,1323,1327.4,3038713,
2020-01-23,1330,1339.8,1320.1,1331.8,4358219,
2020-01-24,1334,1345,1307.65,1316.1,4563516,
2020-01-27,1311.5,1312,1265,1271.2,6019701,
2020-01-28,1281,1284.9,1240.25,1254.75,6103759,
2020-01-29,1268.9,1276.7,1251,1258.25,3977924,
2020-01-30,1252,1254,1221.55,1231.5,5301706,
2020-01-31,1245,1271.6,1242.1,1258.85,8391172,
2020-02-01,1249.95,1262.75,1195.2,1211.1,3520179,
2020-02-03,1222,1268.45,1216.05,1263.1,7697534,
2020-02-04,1273,1284,1256.25,1272.65,4632688,
2020-02-05,1280,1288.65,1265.2,1272.8,4360609,
2020-02-06,1280,1339.4,1262.4,1334.25,7628363,
2020-02-07,1345,1346.05,1294.75,1298.8,3850541,
2020-02-10,1304,1304,1268.5,1274.95,3955195,
2020-02-11,1290,1309.9,1285.05,1292.65,3456066,
2020-02-12,1260,1302.9,1251.7,1277.4,8957173,
2020-02-13,1281.75,1281.75,1225.25,1230.75,6508945,
2020-02-14,1233.9,1241.1,1171.2,1176,11532869,
2020-02-17,1176,1209,1164.5,1172.95,9900428,
2020-02-18,1172.7,1172.7,1108.45,1140.7,11207411,
2020-02-19,1155,1168,1116,1142.15,14324736,
2020-02-20,1145.05,1203.85,1145.05,1182.2,15703698,
2020-02-24,1170,1189.5,1146.55,1170.25,7179792,
2020-02-25,1181,1182.8,1138.8,1153.85,6114855,
2020-02-26,1145,1150,1125.2,1135,5870515,
2020-02-27,1139,1139.4,1101,1115.55,6835782,
2020-02-28,1100,1118,1085.05,1104.05,10233947,
2020-03-02,1130,1136.95,1070.05,1079.25,5724823,
2020-03-03,1085,1117.95,1073,1108.05,5233056,
2020-03-04,1114.45,1114.45,1051,1065.95,6863681,
2020-03-05,1075,1094.95,1063,1075,6815347,
2020-03-06,998,1030.95,913.8,1014.8,16835425,
2020-03-09,950,969.95,887.05,903.1,14499395,
2020-03-11,889.9,929,845,853.55,12305910,
2020-03-12,775.2,831.95,770,784.65,16136790,
2020-03-13,724,834.7,551.1,803.75,21139779,
2020-03-16,747,758.7,655,664.15,16614043,
2020-03-17,670,707.45,585.4,604.15,19508188,
2020-03-18,629,638.85,374.8,460.8,74868388,785.8572258297256
2020-03-19,414.75,472,391.75,444.05,29190256,727.0585642135643
2020-03-20,444.05,478.9,405.25,440.35,28086283,671.7104737854731
2020-03-23,396.35,405,330.1,336.45,9515736,608.9391979316986
2020-03-24,355.05,360,235.55,312.35,37275397,547.8707527657526
2020-03-25,292,324,281.15,301.3,40293450,489.9731325156325
2020-03-26,316.35,451.95,311.65,435.9,42326744,450.6611916786919
2020-03-27,479.45,538.55,392.35,411.1,43891665,411.9438900913899
2020-03-30,370,427.7,370,413.4,29383083,376.7919240019244
2020-03-31,398,399,330.75,351.3,38990402,338.134632034632
2020-04-01,386.4,390,320,342.25,33428325,301.92043290043307
2020-04-03,350,350,310.2,313.2,23015160,266.2980435305434
2020-04-07,344.5,391.5,344.5,383.85,45710953,242.07391414141387
2020-04-08,382,441.4,362,399.15,56093740,222.91210557960596
2020-04-09,425,425,384,395.4,32941210,206.62300144300139
2020-04-13,388,421.8,371.25,410.4,31209060,195.1432082732083
2020-04-15,425,445,414.05,424.1,28312005,188.2001118326117
2020-04-16,424.1,442,413.25,435.4,23556870,185.34757335257325
2020-04-17,472,478.9,442.6,474.45,26188773,189.6558802308806
2020-04-20,479.5,481,453,456.7,16950517,194.645505050505
2020-04-21,430,432.95,396,400.85,29551620,196.39373376623382
2020-04-22,397,420.5,384.6,415.9,28908724,202.44839466089422
2020-04-23,420,427.5,407,409.95,18751987,209.8963528138528
2020-04-24,392.25,399.9,380,382.9,19653551,216.25971260221297
2020-04-27,394.2,410.85,387,407.4,26819803,226.8049350649352
2020-04-28,445,484.4,430,468.05,60610690,245.4235786435786
2020-04-29,453.5,489,443,471.1,47308186,264.8903078403074
2020-04-30,486.25,491.85,461.6,468.15,26655548,284.2244468494471
2020-05-04,444,444.05,416,423.05,17567536,298.16505411255423
2020-05-05,433,438.9,415.95,418.7,18470277,311.15901274651276
2020-05-06,420,429.35,408.5,425.5,17185018,324.42459956709934
2020-05-07,420,461.5,415.5,454.35,26784727,339.7585028860027
2020-05-08,463,477.7,435.45,440.35,29096505,352.29673280423305
2020-05-11,450,458.75,428.8,433.4,18434460,362.81106661856666
2020-05-12,429.8,450,425,446.2,26126578,374.19229677729675
2020-05-13,475,480,444.5,448.6,20820466,385.1710594035594
2020-05-14,439,442,425,428,16520591,393.2860786435788
2020-05-15,430.4,431,417.1,418.7,14849518,399.536056998557
2020-05-18,418.5,418.7,374.05,376.75,25374908,400.4171224146226
2020-05-19,385.1,387,361,367.8,28795060,399.4799963924958
2020-05-20,364,370.85,350.8,357.3,29736474,396.9817195767197
2020-05-21,362.3,364,343.2,346.8,25555567,393.0626310726311
2020-05-22,342,353.7,330,338.35,27954074,387.98351010101
2020-05-26,344.9,353.95,342,348.2,19933264,383.836287878788
2020-05-27,350.9,375.45,347.65,368.95,34415996,381.82305555555524
2020-05-28,375,405.8,371.6,386.85,47047903,381.6180339105341
2020-05-29,376,400,373.5,393.65,33013864,382.13676406926425
2020-06-01,402.3,416.8,401.05,410.1,22991324,384.3150336700334
2020-06-02,414,438.9,404.25,434.7,28744308,388.6483225108227
2020-06-03,445,452.25,426.1,432.35,27908967,392.2536664261661
2020-06-04,424.85,434.85,405,415.05,25795506,393.5812385762386
2020-06-05,417.2,427.3,411.2,422.35,26350017,395.23610750360785
2020-06-08,455,463.7,444,451.6,42805772,399.7105447330445
2020-06-09,459.95,478,452.35,463.9,40690667,405.3612073112074
2020-06-10,464,510.25,463.15,499.6,42547739,414.7449326599323
2020-06-11,510.25,548.5,505.1,523.15,78670148,426.4175805675806
2020-06-12,490,534.7,483.3,528.45,57432454,438.1689430014431
2020-06-15,525,525,483.5,490.55,45035670,445.3337085137085
2020-06-16,510,515,456.3,481.8,50389445,451.2493915343916
2020-06-17,472.6,502,468,491.15,40940892,458.11600529100514
2020-06-18,489.5,502.95,482.15,499.2,25255894,465.6924398749402
2020-06-19,503,510.5,472.15,483.65,41824767,471.38316137566113
2020-06-22,490.05,502.05,485.85,489.9,27934771,477.5763840788838
2020-06-23,499,524,497.2,520.4,45717490,486.87011423761436
2020-06-24,530,530.45,476.1,481.7,43258366,491.59800745550797
2020-06-25,480,490.95,461,475.15,37361371,495.375456950457
2020-06-26,483,501,481.05,492.55,33900526,500.58285594035567
2020-06-29,482,487,472.5,480,19599121,503.90202020201997
2020-06-30,489,494,472,474.8,17437015,506.07727032227024
2020-07-01,480.5,494.6,475.15,492.45,20509479,509.5154665704668
2020-07-02,498,508,493,494.8,22971641,512.4531240981241
2020-07-03,499.85,500,484.35,487.2,15633607,513.8556397306397
2020-07-06,498,509,493.55,495.9,24848530,515.605610870611
2020-07-07,497,530,492.45,526.3,42697410,520.0750264550263
2020-07-08,534,577.5,532,552.6,81336450,526.694116161616
2020-07-09,557.95,569.95,550.3,556.55,26574250,533.0447246272247
2020-07-10,552.3,554.45,532.4,539.25,26964983,536.9981565656569
2020-07-13,549.7,555,534.5,539.65,16508012,540.5089345839345
2020-07-14,535,535,505.05,510.8,22221590,540.3536026936026
2020-07-15,517.85,527.8,500,503.55,21841548,539.0365476190475
2020-07-16,508,522,490.25,518.6,21502389,539.1195598845602
2020-07-17,522.3,526.5,512,520.8,14445601,539.1816931216931
2020-07-20,524.95,541.65,521.65,528.75,19937476,540.0157154882152
2020-07-21,535.7,539.75,520.7,523.5,13311247,540.296958874459
2020-07-22,528,528.55,508,513.55,15202454,539.6035485810482
2020-07-23,515.5,521,510.1,513.9,11300648,538.8875360750365
2020-07-24,505.8,536.7,500,522.25,31278107,538.9537277537278
2020-07-27,522.55,523.85,505,506.65,12280579,537.2280315055311
2020-07-28,512,529,511.4,526.95,16991547,537.6809692159695
2020-07-29,534,564.75,532.25,550.5,37044658,540.4887674362672
2020-07-30,545,545.95,515.5,519.85,13848787,539.7597294372297
2020-07-31,525.2,528.5,515.75,523.75,11161613,539.4977248677251
2020-08-03,521.95,521.95,501,503.05,13508581,536.8575517075516
2020-08-04,508,508,483.25,492.6,21481836,533.0048893698897
2020-08-05,499.2,506,490.15,492.75,15083024,529.2432611832608
2020-08-06,497.8,501.95,485.75,494.9,16624836,525.7256661856661
2020-08-07,496,513.35,492,509,16545264,523.7017869167871
2020-08-10,512,517.55,506.55,509.35,9409631,521.733166185666
2020-08-11,511,524.9,509.35,522,11702721,521.1539574314575
2020-08-12,518.5,530.45,512.35,520.65,12646494,520.358835978836
2020-08-13,524,527.55,516.35,518.75,8109165,519.3276972101971
2020-08-14,520,523.5,500.15,507.2,9318713,517.184654882155
2020-08-17,510,514.8,502.5,513.15,7174433,515.993057960558
2020-08-18,512.45,524.75,506.5,521.6,10993530,516.0033633958634
2020-08-19,523,530,519.15,522.15,10896370,516.2224122174124
2020-08-20,515.6,520.55,511.1,513.4,7658814,515.6548653198652
2020-08-21,520,521.4,512.5,513.55,6411024,515.153496873497
2020-08-24,518,535.45,516,529.15,14887691,516.3298677248675
2020-08-25,535,546.4,530.2,536.5,18377634,518.2882756132756
