Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,735,740,732.55,736.85,2112415,
2020-01-02,738.9,740.8,730.9,734.7,5658200,
2020-01-03,733.9,748,733.9,746,7882938,
2020-01-06,746.1,753.8,736.5,738.85,6519403,
2020-01-07,738,742.6,725.1,727.9,7899363,
2020-01-08,724.95,729,708.3,718.2,8639443,
2020-01-09,721.7,731.5,714.3,727.55,13521186,
2020-01-10,740.45,742.9,730.5,738.15,9341405,
2020-01-13,760,777.5,755,773.55,36952038,
2020-01-14,769.95,776.95,767.2,775.65,11414418,
2020-01-15,773.85,773.85,762.15,767.55,6047430,
2020-01-16,770.7,772.5,760.25,767,5740586,
2020-01-17,770.7,772.9,762.25,767.85,3762957,
2020-01-20,771.6,774.4,762.95,768.45,3887680,
2020-01-21,768.45,770.5,760.75,762.5,4448374,
2020-01-22,768.45,778,766,770.2,9733935,
2020-01-23,777.1,785.5,776.7,784.35,12528017,
2020-01-24,775.75,786.5,773.6,782.75,7540490,
2020-01-27,779.05,784.8,774.4,778.1,3741610,
2020-01-28,781,781.8,772,778,5121009,
2020-01-29,786.6,792.8,784.25,789.7,6832757,
2020-01-30,789.7,789.7,778,780.7,3859680,
2020-01-31,780.55,784.95,771.6,775.95,6092028,
2020-02-01,775.1,791.25,769.25,779.5,5104062,
2020-02-03,782,790.95,764.5,767.4,6416745,
2020-02-04,770.1,789.9,770.1,787.85,5771311,
2020-02-05,781,786,774.4,784.55,6310409,
2020-02-06,784.35,786.8,770,771.35,7341622,
2020-02-07,775.95,778.85,771,777.3,2853344,
2020-02-10,774,778,769.75,773.2,3827682,
2020-02-11,779,779.1,769.2,773.55,4312817,
2020-02-12,775.8,783.25,775.1,781.05,2948825,
2020-02-13,785,794,782.2,792.25,4387430,
2020-02-14,794.5,799.2,784.6,786.45,5321680,
2020-02-17,790.3,793.45,783.3,789.45,2929629,
2020-02-18,785,799.05,783.65,797.65,5083346,
2020-02-19,800,804.85,796.15,800.45,3985192,
2020-02-20,803.25,806.1,793.85,797,4564569,
2020-02-24,800.1,811.6,792.15,795.85,6627536,
2020-02-25,799,806,795.4,798.4,6996695,
2020-02-26,793.95,801.45,780.5,782.75,8760569,
2020-02-27,778,780.75,772.2,777.85,5223386,
2020-02-28,750,756.8,722.05,731.7,14123957,
2020-03-02,737,765.9,733.75,741.05,9821523,
2020-03-03,755,759,741.25,747,7826587,
2020-03-04,753.9,761.5,745.55,758.75,11013444,
2020-03-05,763.75,773.55,751.75,754.6,7755293,
2020-03-06,741,744,729.1,738.95,9216022,
2020-03-09,724.5,725.85,697,704.45,10308697,
2020-03-11,690.65,695.95,669.05,686,16165054,
2020-03-12,668,670,627.5,631.2,13965689,
2020-03-13,592,667,570,642.35,16903140,
2020-03-16,622,622.15,580,583.15,19140854,
2020-03-17,588.1,592,550,554.95,16060126,
2020-03-18,568,578,528,534.3,15391568,663.3608056758058
2020-03-19,509.25,558,509.25,545.55,16584106,643.6447847522845
2020-03-20,549.5,617.45,548,585.2,21356183,629.278947811448
2020-03-23,540,560.95,515.9,526.45,17146303,609.5160990860988
2020-03-24,522,601.15,522,589.8,20029537,597.7055928330932
2020-03-25,597,635,565.7,606.2,18339650,588.5673484848483
2020-03-26,615,650.85,612.1,643,14868843,584.2773268398266
2020-03-27,665.05,674.9,642.25,652.7,13495469,581.736754449255
2020-03-30,625.1,663.5,621.1,626.7,14625720,577.0854088504088
2020-03-31,650,662,633.7,641.5,15175528,574.8519047619046
2020-04-01,634.35,637.5,594,602.8,13083865,569.2272306397306
2020-04-03,603.5,606,582.15,585.7,10221890,562.6856866281862
2020-04-07,615,644.25,612.9,639,15146526,562.8486772486777
2020-04-08,630,655.65,626.35,631.6,11806901,562.9790800865801
2020-04-09,646.8,652.8,632.1,636.25,11931287,564.3189586339586
2020-04-13,629,651.7,626.05,637.4,8330291,566.4454136604136
2020-04-15,651.4,653.3,635.6,639.05,11963493,569.1663624338622
2020-04-16,619.95,634.9,603.5,623.85,17783310,570.7132599807603
2020-04-17,644,646,626,628.75,8878372,573.332524050024
2020-04-20,640,661,639,653.3,13322995,579.1699759499761
2020-04-21,627.8,646.5,627.8,633.2,11660678,583.3087962962962
2020-04-22,633.2,645,628.05,641.85,8267159,588.8399001923997
2020-04-23,647.05,683.65,638.1,679.3,14451294,598.6187145262148
2020-04-24,668.55,675,654.8,658,7319950,606.0849915824916
2020-04-27,661.05,681,661.05,664.6,7183316,614.0400216450216
2020-04-28,673,677,653.05,660.7,7296594,621.3848593073592
2020-04-29,666,682,658,676.55,8639246,629.9483080808076
2020-04-30,700,720,698.1,715.5,16254036,641.9693121693127
2020-05-04,689.8,701.2,670.35,673.7,9122803,648.508177008177
2020-05-05,681.75,685.6,670,673.7,6393108,654.3055904280906
2020-05-06,676.9,681.45,664.05,665.9,7934457,658.7317628667626
2020-05-07,665.55,674.35,662.45,664.95,4779550,662.2486435786436
2020-05-08,672.25,680.9,668.5,674.2,8400376,666.2884571909576
2020-05-11,682.5,698.55,678,682.9,7370192,670.8312421837421
2020-05-12,678.5,691,675.5,687.65,7356063,675.600838143338
2020-05-13,694.8,699.9,683.75,694.15,8287106,680.8177861952862
2020-05-14,659,671.75,652.6,658.15,16888356,681.7588299663299
2020-05-15,664.8,664.8,646.7,652.3,9255353,681.8944083694087
2020-05-18,659.85,670.55,653,663.9,10435495,682.9147378547376
2020-05-19,664,674.8,655,668.6,5902238,683.9384535834538
2020-05-20,668.5,673,659.65,669.55,5795193,684.8247113997112
2020-05-21,666.5,679.45,665.4,672.2,7214401,685.7104353054352
2020-05-22,675,695.85,673.5,692.35,11867864,688.4930904280908
2020-05-26,693,699.45,679,680.55,7099719,689.6651996151992
2020-05-27,686.05,709.2,675,705.45,8774694,693.2523749398748
2020-05-28,707,710,690,707.4,9440121,696.5936159211159
2020-05-29,692.5,700.8,674.95,691,28291172,697.7358621933621
2020-06-01,698.75,706.65,691.5,699.55,12276649,699.5507154882156
2020-06-02,700.5,711.65,697.55,708.1,7059409,701.8948352573351
2020-06-03,710.7,711.9,696,701.55,11378568,703.1666077441078
2020-06-04,702,709.45,697.5,707.75,10783594,704.983057960558
2020-06-05,707,711.7,700.6,703.55,7718943,706.100404040404
2020-06-08,707.65,725.8,704,720.85,10719124,708.9122174122178
2020-06-09,720,729.6,715.05,717.6,10078863,711.1085365560366
2020-06-10,715,719.45,709.2,715.85,7263272,712.9874651274652
2020-06-11,712,713.4,700.25,703.95,8825914,713.6940223665225
2020-06-12,675.8,695.15,675.5,692.05,9796064,713.0756890331891
2020-06-15,693,704.4,685.25,687.55,7857344,711.9732527657533
2020-06-16,702,712,699.15,701.2,10132423,712.2852272727274
2020-06-17,699.9,710.3,698,703.65,7291919,712.7813768638772
2020-06-18,708.2,716.6,706,713.9,6670206,714.2938492063495
2020-06-19,709,711.9,701,705.55,22438873,714.8175925925924
2020-06-22,707.1,708.7,700,703.7,7804139,715.0890295815296
2020-06-23,695.7,724.5,692.1,720.65,12157486,717.1591257816256
2020-06-24,716.9,726.8,709.4,714.15,10220908,718.2631120731127
2020-06-25,704.85,705.6,693.5,700.5,14945304,717.6245250120244
2020-06-26,710.2,751.6,710,748.2,26030535,721.9664430014428
2020-06-29,735.4,744.7,730.1,731.75,8954490,724.2302164502167
2020-06-30,732.8,738.95,724.25,735.95,10411347,726.6751166426159
2020-07-01,737.25,742.3,729.75,731.9,5477687,728.4165464165468
2020-07-02,737.35,765.45,735.4,756.6,17263764,732.6572558922555
2020-07-03,755,764,752.5,762.7,7796573,737.2265584415587
2020-07-06,765.2,775,761.5,764,8811009,741.7125288600286
2020-07-07,769.4,796.95,765.55,794.15,19362666,749.2203920153923
2020-07-08,784.9,784.9,772.2,774.7,8476675,754.205962000962
2020-07-09,780,790,775,781.7,6854196,759.6227441077438
2020-07-10,773.5,789.9,773.5,781.85,5206452,764.7626082251079
2020-07-13,788,805.35,786.05,797.05,10804911,771.1970851370854
2020-07-14,792.95,806.4,781.35,783.25,8961822,775.7569648869647
2020-07-15,799,848.45,794.8,830.95,30060998,785.0871969696964
2020-07-16,900.1,955.5,894.25,911,90433393,802.5196945646954
2020-07-17,911,919.9,892.15,903.15,31682904,818.2503727753724
