Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,238.6,238.6,237.1,238.1,4208837,
2020-01-02,238.2,240.95,238.1,239.85,8402979,
2020-01-03,241,241,238,238.5,9284478,
2020-01-06,237.5,238.3,235,235.1,7636617,
2020-01-07,236.05,237.9,234.6,235.35,8416741,
2020-01-08,234,235.8,233.25,234.2,7043211,
2020-01-09,235.6,236.6,235.05,235.8,9452653,
2020-01-10,237.6,238.75,236.8,238,9973746,
2020-01-13,238.5,240.5,238.25,239.25,12243639,
2020-01-14,240.25,243.8,238.3,243.25,11843444,
2020-01-15,242.55,243,241.1,242.4,5476729,
2020-01-16,242.5,243.9,240.1,240.75,9369668,
2020-01-17,240.75,242.1,239.4,239.95,7392403,
2020-01-20,240.05,243.25,240.05,241.9,8020816,
2020-01-21,241.45,241.45,238,238.45,9571070,
2020-01-22,239.6,239.6,237.1,238.05,7654918,
2020-01-23,238.1,238.75,236.9,237.9,6120434,
2020-01-24,237.4,239.1,237,238.15,6801874,
2020-01-27,237,237.4,234.3,234.6,6837613,
2020-01-28,234.75,235.9,230.5,230.75,14582907,
2020-01-29,231.5,237.65,231.15,236.65,20469708,
2020-01-30,236.95,237,233,234.05,10394149,
2020-01-31,235.75,238.4,234.05,235.15,18455880,
2020-02-01,236.9,239.25,215.5,219,42268141,
2020-02-03,215,216.9,205,207.6,79764370,
2020-02-04,210.8,217.6,209.15,215.65,35767812,
2020-02-05,216.3,217.5,211.5,216.45,21253607,
2020-02-06,218,219.9,211.8,213.55,27388582,
2020-02-07,213.8,215.7,212.75,213.4,17133407,
2020-02-10,214,214.05,210.05,210.55,9617387,
2020-02-11,216.5,216.95,211.8,212.6,29803784,
2020-02-12,213.4,214.8,211.8,213.05,9928416,
2020-02-13,213.05,213.45,211.2,211.9,9153131,
2020-02-14,212.25,212.9,206.8,207.7,13731692,
2020-02-17,208,208.65,204,204.8,15561953,
2020-02-18,204.55,204.6,200.5,203.85,20934864,
2020-02-19,205.25,207.15,203.85,206.7,9054560,
2020-02-20,207,208.55,205.45,207.45,15592846,
2020-02-24,207,207.45,201.8,203,16594046,
2020-02-25,203.8,205.4,201.5,201.8,15313516,
2020-02-26,200.65,201.95,196.3,198.6,17869240,
2020-02-27,198.4,199.15,195.9,197.55,17271066,
2020-02-28,195,199.9,192.05,197.55,32628444,
2020-03-02,199.5,203.45,193.65,195.3,18560049,
2020-03-03,197,197.45,192.55,193.85,17947416,
2020-03-04,194.95,195.55,186.55,187.5,27664076,
2020-03-05,187.55,191.2,186.55,188.05,20025924,
2020-03-06,184.85,184.85,179.75,181.75,26764504,
2020-03-09,179,179,174.5,177.2,21795899,
2020-03-11,174,176.75,172.35,175.65,27957737,
2020-03-12,169,169.15,150.55,155.8,52040944,
2020-03-13,150,164,134.6,162.25,61592332,
2020-03-16,158,158.1,145.25,147.25,33255085,
2020-03-17,148,155.8,146.05,149.15,47658462,
2020-03-18,152.1,154.65,147.35,150.7,50248786,161.70194444444442
2020-03-19,150.7,163.55,144.75,161.85,89753683,159.3612325637325
2020-03-20,165.1,176.5,165.1,175.5,61997991,158.70625901875908
2020-03-23,158,162,149.2,154.3,51354135,155.9235209235209
2020-03-24,162.95,163.7,147.4,149.7,52569242,152.90171596921604
2020-03-25,151,152,139,147.35,62506221,149.90785594035592
2020-03-26,150,159.4,143.25,156.4,58443502,148.16803030303032
2020-03-27,162,166,155,163.2,32636891,147.37768518518521
2020-03-30,156.05,164.9,156.05,159.2,28120394,146.33173160173158
2020-03-31,164,173.85,161.55,171.7,42630922,146.81013828763827
2020-04-01,171.7,172.75,164.55,166.4,18142049,146.86200937950937
2020-04-03,167.9,182.75,167,177.9,62868085,148.31331649831645
2020-04-07,185.7,185.7,173.65,181.55,36119016,150.24661616161617
2020-04-08,180.85,184,176.65,178.65,37561322,151.9379028379028
2020-04-09,184,186.25,180,185.25,42643743,154.40208273208285
2020-04-13,184.5,186.65,181.05,181.6,17744825,156.50348484848485
2020-04-15,184.05,193.75,182.7,189.35,49092959,159.48272005771997
2020-04-16,189.65,191.2,185.45,186.35,27082646,162.14038480038488
2020-04-17,190.45,191.4,186.95,188.1,26669272,164.99175805675796
2020-04-20,189.95,189.95,179.5,180.7,35767070,167.01459956709962
2020-04-21,178,184.3,176.05,179.6,23334550,168.92347282347282
2020-04-22,179,183.55,176,182.25,25164099,171.09443602693602
2020-04-23,182.95,184,179.65,180.55,32968241,173.0212121212122
2020-04-24,181,182.8,179.3,180.05,18050148,174.83375060125053
2020-04-27,180.25,182.3,179.3,179.85,13086773,176.4607744107745
2020-04-28,180,180.8,178.05,179.45,17802711,177.92639730639726
2020-04-29,180.5,182.9,179.65,182.15,21461158,179.49265632515636
2020-04-30,184.9,184.9,180.45,182.05,30169126,180.85184463684465
2020-05-04,181.75,181.75,170.65,174.05,30298058,181.16567941317948
2020-05-05,175,177.45,172,173.9,17709577,181.37324314574323
2020-05-06,171.4,171.4,160.5,163.9,65586753,180.4921945646945
2020-05-07,164,165.85,160.5,161,24249898,179.219345839346
2020-05-08,163.95,164.15,157.1,158.25,25307551,177.55855940355934
2020-05-11,160,163.5,158,158.45,18095693,175.82594516594514
2020-05-12,158.45,165.9,157.5,165.05,21387983,174.7549194324194
2020-05-13,173.4,173.6,164.5,165.4,20018552,173.68391053391048
2020-05-14,164.5,168.25,161.95,163.8,14949993,172.3830844155844
2020-05-15,162.2,165.5,161.15,164.65,14950688,171.18912217412216
2020-05-18,166,167.3,163.15,164.75,20802365,169.98782828282833
2020-05-19,166.5,171.65,165.1,170.75,20142194,169.471240981241
2020-05-20,171.95,177,171,175.75,25320952,169.52656926406925
2020-05-21,175.6,190.45,172.65,188.95,58382988,170.99461159211162
2020-05-22,188,191.9,184.6,186.35,39013806,172.1582395382396
2020-05-26,190,194.95,187.8,191.7,53235758,173.86267676767673
2020-05-27,192.5,193.9,186.9,192.15,24546312,175.5990957190957
2020-05-28,192.3,192.9,189,190.65,24579385,177.14206709956716
2020-05-29,190.45,198,189,197.35,35836696,179.38732563732566
