Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,270.7,273.5,265.85,268.1,6952048,
2020-01-02,272,277,271.55,276.45,10780926,
2020-01-03,276.45,276.45,270.75,272.45,5943349,
2020-01-06,270.5,270.75,262.3,264.25,4529599,
2020-01-07,266.15,270.15,263.1,265.25,4465297,
2020-01-08,261.4,264.5,257,262.5,8088132,
2020-01-09,267.7,279.2,267.7,278.1,13317832,
2020-01-10,278,280,275,277.9,7625227,
2020-01-13,278.05,279.9,275.4,278.6,4540953,
2020-01-14,278,284,278,280.9,7428691,
2020-01-15,279.85,283.4,276.25,282.5,5538475,
2020-01-16,282.5,282.85,276.15,277.45,4791447,
2020-01-17,276.8,279.55,272.85,273.35,4733742,
2020-01-20,273.5,275,268.65,271.35,3823115,
2020-01-21,270,270.9,264.35,267.25,4799667,
2020-01-22,268.3,269.3,264.75,265.85,3334351,
2020-01-23,266,268.95,264.1,266.65,3529142,
2020-01-24,266.7,273.9,265.3,271.9,5991335,
2020-01-27,265.45,265.9,258.3,262.8,17151836,
2020-01-28,260.8,261.75,251.6,255.25,11168567,
2020-01-29,259,264.6,258.3,261.25,7832991,
2020-01-30,261.3,262.1,255.25,256.95,5511254,
2020-01-31,258.15,259,249.1,250.7,6329214,
2020-02-01,249,257.3,242.6,244.75,7485230,
2020-02-03,245.5,253,243.75,251.5,7021154,
2020-02-04,253.25,259.7,248.7,258.35,5839343,
2020-02-05,259.5,271.65,256.35,269.25,7218905,
2020-02-06,271.1,277.5,267.75,276.45,8567243,
2020-02-07,275.4,280,272.75,279.3,5258442,
2020-02-10,276,279.8,273.2,277.9,4972983,
2020-02-11,280.05,293.5,278.6,288.75,10958494,
2020-02-12,288.65,295.4,288.5,293.7,9119052,
2020-02-13,292.2,294.6,288.4,293.35,6220243,
2020-02-14,291.6,296.75,288.3,289.15,6086218,
2020-02-17,289.15,290.9,285.3,288.15,6084235,
2020-02-18,289,289.15,281.1,284.8,5463097,
2020-02-19,287.2,290,279.9,280.85,4952306,
2020-02-20,280.7,285.85,277,281.8,6960354,
2020-02-24,277.95,277.95,256,258.95,10565578,
2020-02-25,264,266.8,258.4,262.6,9928181,
2020-02-26,256,263.7,255.55,260.8,8111249,
2020-02-27,259,259,248.3,252.1,10258174,
2020-02-28,245.5,245.5,232.65,235.7,10723581,
2020-03-02,242.2,246.5,230.85,235,10865535,
2020-03-03,239.25,249.1,238.65,246.45,11580274,
2020-03-04,246.55,248.8,236.85,245.6,10790561,
2020-03-05,248.7,252.75,244.35,247.15,7130730,
2020-03-06,235,240,228.2,238.8,6850161,
2020-03-09,229.05,231.65,225.1,229.05,7888019,
2020-03-11,227,228.5,220.1,223.5,10073347,
2020-03-12,210,214.3,199.05,203.2,14115039,
2020-03-13,188,217.95,175.2,214.9,12883941,
2020-03-16,202,207.15,181.55,186,15167108,
2020-03-17,188.9,193.5,175.15,176.45,14096871,
2020-03-18,180.05,181.15,156.45,164.35,18951014,212.69133718133725
2020-03-19,157.8,168.7,151.7,163.3,12583063,203.77304232804232
2020-03-20,167,179.1,164.65,175.75,7449415,196.73438071188062
2020-03-23,158.2,164.25,136.1,144.4,7422941,186.8118771043772
2020-03-24,149.25,155,140.35,147.1,6487043,177.85926647426646
2020-03-25,145,156,142.55,151.8,4384700,170.1098172198171
2020-03-26,151,157.45,144.5,149.8,8021131,162.82135521885513
2020-03-27,152.1,156.45,146.2,151.45,6108830,156.37379870129863
2020-03-30,148.45,148.45,136.5,142.4,11851157,149.5976394901397
2020-03-31,145.95,152.4,144.5,146.25,9965197,143.8994324194324
2020-04-01,145.95,145.95,139.05,143,5967565,138.47923881673879
2020-04-03,143.25,148.15,132.5,140.7,18559602,133.45746272246254
2020-04-07,148.05,159.85,145.45,158.1,16440328,130.83355579605586
2020-04-08,155,170.75,152.15,154.6,15245833,128.31005892255908
2020-04-09,159,170,158,166.3,15243084,127.52492784992788
2020-04-13,167.5,172.4,161.15,167.65,11554655,127.27019360269358
2020-04-15,170,174.95,165.85,171.4,17616485,127.71262265512252
2020-04-16,169.3,174.6,167.4,170.65,10428942,128.3498713323714
2020-04-17,175,179.85,170.35,177.3,10104852,130.0383405483406
2020-04-20,183,183,166.1,167.5,12629035,130.97675685425688
2020-04-21,164,164.4,156.8,159.6,10887919,131.42829004329005
2020-04-22,158,163,155.5,161.2,7765209,132.408189033189
2020-04-23,162.4,166.3,158.7,159.95,7114946,133.54818662818667
2020-04-24,157.5,159.5,152.6,153.25,8447036,134.2435834535834
2020-04-27,156,160.65,155,157.3,9745004,135.57391534391525
2020-04-28,159.4,160.3,157,159.4,8025743,137.3772234247235
2020-04-29,160.8,166.4,159,164.1,11842945,139.76503848003844
2020-04-30,168.6,188.7,167.5,180.65,16023589,143.93021043771043
2020-05-04,170.95,170.95,162.35,163.55,10646028,146.11946368446362
2020-05-05,167.5,171.65,162.8,163.9,12995347,148.27158249158245
2020-05-06,165.5,169.3,163.15,165.8,8720744,150.61503607503604
2020-05-07,164.2,174,162.5,172.2,11944061,153.45818422318428
2020-05-08,175.55,176.6,167.5,168.65,9045606,155.71248917748918
2020-05-11,170,176.4,168.75,174.55,9199262,158.42858225108222
2020-05-12,172,179.6,167.05,178.2,11889850,161.32765151515147
2020-05-13,189,189,180.6,182.35,10377139,164.45778379028386
2020-05-14,179,180.4,174.2,175.2,5808584,166.54176767676773
2020-05-15,176.9,179.4,173.25,174.3,11548870,168.30497955747958
2020-05-18,175.8,176.2,162.1,163.25,8130435,168.64946608946596
2020-05-19,167,172.95,165.9,169.3,11001274,169.44587421837417
2020-05-20,169.3,173,168.3,171.05,10091863,170.31230880230888
2020-05-21,172,174.85,168.95,169.9,11065823,170.90904401154398
2020-05-22,168.4,169.5,163.5,166.15,10228048,171.02591991341993
2020-05-26,168,178.25,168,176.25,30383793,172.1770634920635
2020-05-27,176.05,189,174.15,184.8,20403834,174.1800132275133
2020-05-28,186.2,188.75,183.2,184.15,14270125,176.00585497835496
2020-05-29,181,185.45,180.05,184.2,13458899,177.76035594035585
2020-06-01,188,199.4,187.15,193.95,17324578,180.43126984126974
2020-06-02,195,197.75,190.35,192.15,14155546,182.6930351130351
2020-06-03,195,197.8,191.55,192.7,11567639,184.8196801346802
2020-06-04,193,195.2,189.8,192,10238285,186.67444083694087
2020-06-05,195.95,202.4,194.05,197.05,26006736,188.8447919672918
2020-06-08,202,202,192.25,194.95,13522911,190.5758321308322
2020-06-09,195.95,198.9,188.6,190.05,8055268,191.5808225108224
2020-06-10,188,191.9,184.55,190.95,11823033,192.54756974506992
2020-06-11,188,190.85,183.55,184.65,6481994,192.79423520923527
2020-06-12,177,190.2,175.45,188.95,9000558,193.4031565656566
2020-06-15,185.95,186.45,179.95,183.75,12059372,193.33905122655128
2020-06-16,189,195.95,185.75,190.05,23464025,193.86016714766725
2020-06-17,188.75,194.45,185.8,191.85,11912711,194.50933862433862
2020-06-18,189,194.05,188,193.4,8868746,195.2308886483887
2020-06-19,195.1,197.35,192.7,194.3,18204886,195.97614478114468
2020-06-22,194.9,199.9,193,197.95,11091702,197.05618326118332
2020-06-23,198.1,203.9,198.1,201.65,14850064,198.48030543530538
2020-06-24,206.95,207.75,192.35,193.9,19739136,198.97259740259744
2020-06-25,192.15,197.35,191,193.55,9502767,199.35462722462728
2020-06-26,195.65,197.5,191.55,192.65,6960491,199.51273569023562
2020-06-29,192.5,192.95,185.65,190.7,7560301,199.37210437710448
2020-06-30,191.15,195.6,187.8,189.35,11450934,199.00403078403076
2020-07-01,190.3,193.05,188.55,191.45,8343254,198.78061207311197
2020-07-02,192.35,195,190.05,194.45,9164240,198.76109066859067
2020-07-03,195.7,196.5,190.5,190.95,6610649,198.28767556517553
2020-07-06,192.15,195.25,190.5,193.75,10803795,198.09441558441554
2020-07-07,194.7,194.75,190.25,190.85,6564431,197.5546476671478
2020-07-08,191,202,191,195.35,22609621,197.4706361231359
2020-07-09,196.35,202.75,196.1,197.45,14801828,197.62230158730165
2020-07-10,196,196,191,193.3,10893405,197.32585978835976
2020-07-13,195.4,199.8,195.25,198.4,11050735,197.59351611351605
2020-07-14,198,198.4,191.65,194.05,7233291,197.3862061087063
2020-07-15,196,199.85,193.4,194.9,9389574,197.31233405483394
2020-07-16,194,201.9,192.6,201.15,13647306,197.93278499278506
2020-07-17,203.2,211.8,202.65,206.75,23873501,199.12161616161603
2020-07-20,207.5,208.85,204,206.8,6380397,200.25990139490145
2020-07-21,208,210.75,204.15,209.95,5672048,201.63547138047156
2020-07-22,211,214,204.1,207,9323617,202.61398869648863
2020-07-23,206.9,210.5,205.45,209.35,5251159,203.74926286676285
2020-07-24,206,211.6,203.25,205,8215298,204.3446284271284
2020-07-27,202.05,208.5,200.1,206.95,10548105,205.1006445406445
2020-07-28,208.1,215.75,207.45,214.9,9785198,206.66162337662348
2020-07-29,214.05,220.95,213.85,217.55,11276308,208.4237373737374
2020-07-30,218.65,221.95,213.15,214.35,6483799,209.7648424723425
2020-07-31,214.5,221.25,213.3,220.25,7306693,211.69167388167384
2020-08-03,221,225.45,218.65,220.55,9867115,213.54048340548331
2020-08-04,221.55,229.25,219.15,228.1,9878205,216.08539682539694
2020-08-05,228.5,236.2,228.15,235.15,11076862,219.24021164021167
2020-08-06,235,239.95,232.5,239.5,10772820,222.6686724386724
