Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,1689,1696.75,1672,1674.05,1475056,
2020-01-02,1680,1683.5,1664.65,1671.55,1852089,
2020-01-03,1670.95,1673,1645.55,1657.1,1594089,
2020-01-06,1657.1,1657.45,1638.6,1652.55,1480087,
2020-01-07,1661.05,1674.75,1650.4,1670.85,2497931,
2020-01-08,1654.7,1661.45,1638,1654.85,3125931,
2020-01-09,1673.5,1673.75,1658.7,1665.05,2668424,
2020-01-10,1674.1,1692,1671.2,1684.7,2536083,
2020-01-13,1692,1704.5,1685.55,1691.1,1807958,
2020-01-14,1696,1696.1,1671,1676.8,2136892,
2020-01-15,1675.95,1686.6,1665.9,1675.6,2490245,
2020-01-16,1678.9,1705.6,1678.9,1701.55,3321282,
2020-01-17,1703.9,1705.85,1690.1,1698.1,2295875,
2020-01-20,1709,1709,1611,1617.9,8004034,
2020-01-21,1605,1630.6,1585.2,1625.1,5745469,
2020-01-22,1633.2,1637.9,1576,1585.5,5479162,
2020-01-23,1588,1608.4,1581.3,1605.85,3495683,
2020-01-24,1605.45,1649,1587,1642.95,4252937,
2020-01-27,1628.7,1629,1608.4,1618.35,1874429,
2020-01-28,1620,1638,1610.25,1626.05,1981104,
2020-01-29,1633,1646.2,1623.05,1640.45,2227493,
2020-01-30,1637.8,1640.3,1617.5,1628.25,1590156,
2020-01-31,1709.65,1729,1683.15,1691.75,9495046,
2020-02-01,1684,1689.45,1630.05,1647.95,2263314,
2020-02-03,1645.6,1680.8,1634,1676.25,2510294,
2020-02-04,1684.05,1702.8,1670.15,1698.3,2070417,
2020-02-05,1702,1707.45,1677.1,1689.75,2096512,
2020-02-06,1693.9,1697.9,1668,1674,2532618,
2020-02-07,1675.75,1677.95,1644,1653.05,2290151,
2020-02-10,1660,1674.6,1645.7,1669.3,1355124,
2020-02-11,1682.45,1685.8,1666.55,1677.45,1914766,
2020-02-12,1680.1,1720,1675,1714.9,3010537,
2020-02-13,1714.7,1714.7,1682.3,1689.8,2246920,
2020-02-14,1696,1703,1663.6,1680.95,1892157,
2020-02-17,1685,1699.2,1672.25,1691.1,1812765,
2020-02-18,1682.5,1699.8,1678.3,1691,2219039,
2020-02-19,1740,1740,1695.4,1701.1,3168534,
2020-02-20,1697.3,1699.25,1676.2,1685.95,2099903,
2020-02-24,1672,1683.75,1662.3,1678.25,1926133,
2020-02-25,1676.2,1689.7,1668.35,1675.8,1535555,
2020-02-26,1670.1,1677.7,1657,1666.5,2585895,
2020-02-27,1666,1688.9,1660.6,1682.75,2689352,
2020-02-28,1654.9,1660.1,1613.75,1620.35,3743312,
2020-03-02,1631,1637.3,1584.2,1599,4762847,
2020-03-03,1603.8,1636.35,1587,1626.3,2918386,
2020-03-04,1632.2,1633.1,1577.6,1607.95,2530221,
2020-03-05,1615,1676.5,1608,1651.35,5060962,
2020-03-06,1605.2,1644,1598.2,1631.05,3542243,
2020-03-09,1595,1609.95,1542.6,1578.15,5535703,
2020-03-11,1575.95,1604.9,1542.5,1589.3,4714213,
2020-03-12,1509.9,1546.45,1350.95,1465.05,7807923,
2020-03-13,1400,1505,1172.05,1470.05,11408950,
2020-03-16,1417,1444.75,1375,1383.7,6580531,
2020-03-17,1392,1402.95,1303.1,1322.7,4821135,
2020-03-18,1326,1329,1162.1,1171.95,11167547,1491.3806746031735
2020-03-19,1095.05,1253.6,1001,1210.85,9917261,1450.4052320827323
2020-03-20,1217,1283.6,1146.5,1262.35,10380019,1416.9865500240505
2020-03-23,1137.5,1204.45,1078.15,1098.25,6694405,1367.8731854256853
2020-03-24,1153.15,1185,1041.1,1152.9,7371834,1327.3168386243397
2020-03-25,1140,1324,1125.05,1290.15,6449061,1304.1149458874447
2020-03-26,1300,1390,1252.8,1372.95,7254949,1291.651824194324
2020-03-27,1436,1450,1374.55,1399.1,10225249,1283.4370658970658
2020-03-30,1345.2,1380,1275.8,1293.7,5570369,1265.301729196729
2020-03-31,1328.3,1330,1285,1296.05,4476861,1249.2663985088993
2020-04-01,1294.9,1294.9,1158,1181.65,10838532,1222.8605206830207
2020-04-03,1181.65,1183,1087,1140.85,10111593,1194.4299422799425
2020-04-07,1221,1229.05,1171,1198.05,8552666,1174.624081289081
