Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,7377,7409.95,7282.05,7311.7,634725,
2020-01-02,7327.6,7368,7312,7329.85,616838,
2020-01-03,7328.95,7332,7226,7254.25,571967,
2020-01-06,7200,7210,7026.5,7042.4,748516,
2020-01-07,7100,7165.6,7026.4,7073.6,590500,
2020-01-08,7060,7116.65,6980.45,7035.2,793313,
2020-01-09,7140,7240,7102,7227.9,798184,
2020-01-10,7261.4,7349.9,7234.4,7330.5,747847,
2020-01-13,7332,7370,7279.8,7352.7,537399,
2020-01-14,7355,7412.4,7325.6,7386.8,548522,
2020-01-15,7388.95,7505,7353,7482.95,692726,
2020-01-16,7456.5,7521,7421.2,7462.65,640207,
2020-01-17,7469,7569.9,7432.55,7520.15,750738,
2020-01-20,7521.25,7529.5,7421.05,7449.6,407828,
2020-01-21,7411.5,7434.65,7287.8,7302.65,442561,
2020-01-22,7340,7374.95,7107.95,7135.6,1048435,
2020-01-23,7145.4,7220,7123.15,7147.1,589326,
2020-01-24,7148.8,7210,7111.25,7128.45,645723,
2020-01-27,7101.5,7225,7061,7148.8,573149,
2020-01-28,7179.95,7219.95,6963,6997.05,1614448,
2020-01-29,7010,7116.25,6975,7010.3,1001252,
2020-01-30,7020,7049,6981,7020.45,579174,
2020-01-31,7035,7064,6895.55,6913.5,868935,
2020-02-01,6915,7109.8,6740.3,6812.65,1412932,
2020-02-03,6780,7044.85,6780,7011.3,1010531,
2020-02-04,7020,7215,7001,7199.6,973311,
2020-02-05,7215,7231.6,7025.6,7040.9,718489,
2020-02-06,7075,7120.35,6976.8,7021.6,875714,
2020-02-07,7039,7050,6935,6971.75,645814,
2020-02-10,6975,6989.1,6851.1,6892.9,593773,
2020-02-11,6950,7089,6912.3,7033.75,743160,
2020-02-12,7056.1,7110,7007.95,7043.3,599364,
2020-02-13,7050,7056,6925,7005.05,723169,
2020-02-14,7000.05,7088.95,6901,6913.8,614859,
2020-02-17,6920,6980,6880,6906.75,463548,
2020-02-18,6925,6930,6735.8,6781.1,830678,
2020-02-19,6850,6854.95,6624.6,6756.6,1033939,
2020-02-20,6761,6807.55,6720,6757.6,682513,
2020-02-24,6710,6710,6439.8,6470.4,1091346,
2020-02-25,6505.4,6510,6376.55,6414.55,964897,
2020-02-26,6350,6368.85,6186.05,6234.85,1580738,
2020-02-27,6230,6338.05,6166.8,6289.8,1492657,
