Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,532.9,538,529.55,536.6,2611808,
2020-01-02,537,541,533.5,539.85,2776519,
2020-01-03,538.95,539,530.4,532.75,1930883,
2020-01-06,529.9,530,520.5,524.5,2059404,
2020-01-07,528.9,532,523.05,526.65,2111349,
2020-01-08,520.9,526.45,519,524.65,1612378,
2020-01-09,529.85,542.45,525.7,541.25,2897598,
2020-01-10,544.1,547.6,539.25,546.6,2355888,
2020-01-13,548.9,557,546.6,554.95,3442869,
2020-01-14,554.95,563.75,554.95,562.5,2793249,
2020-01-15,562,571,556.7,569.75,2564513,
2020-01-16,569.25,569.8,564.05,567.45,2243200,
2020-01-17,566.8,574,565.15,569.3,2646260,
2020-01-20,569,574,564.35,567.2,1847978,
2020-01-21,564,564.9,550.1,552.8,3101684,
2020-01-22,553.5,556.5,549,553.6,1862669,
2020-01-23,553.5,567.4,549.55,566.5,2113303,
2020-01-24,566.1,572,564.1,567.75,2284717,
2020-01-27,565,582.5,563,578.3,3654906,
2020-01-28,581.25,589.75,568.5,572.5,3689004,
2020-01-29,577.5,580.7,572.15,577.75,1934080,
2020-01-30,578,587.55,563.85,567.85,2901951,
2020-01-31,570.8,577,565.3,567.15,2352196,
2020-02-01,566,581.2,528.95,545.2,4034237,
2020-02-03,545,565.75,535.2,558.7,3818209,
2020-02-04,562,578.8,558.8,576.9,2793702,
2020-02-05,580.25,589.85,577.4,584.35,3320830,
2020-02-06,585,589.15,576.05,580.15,2207104,
2020-02-07,579,581.5,561.3,569.1,4083215,
2020-02-10,566.8,567,526.05,528.4,9648880,
2020-02-11,533.2,537.7,522.7,524.05,5404802,
2020-02-12,526.65,534.3,523.9,531,3426829,
2020-02-13,530.45,538,528.3,533.6,3392352,
2020-02-14,535.25,536.95,520.65,523,3507540,
2020-02-17,524.1,525.4,516,522.75,2652464,
2020-02-18,520.5,524.9,514.1,523.2,2868873,
2020-02-19,528.15,529.65,521.8,526.4,1952880,
2020-02-20,525.9,533,523,524.85,2077458,
2020-02-24,522,522,511.1,513.2,1911411,
2020-02-25,515.55,519.5,506.1,508.95,2105613,
2020-02-26,507.7,512.45,500,503,3058370,
2020-02-27,504,504,487.55,493.5,6039260,
2020-02-28,485,485,453.6,457.05,8613275,
2020-03-02,453.55,472.45,444.35,458.3,9225488,
2020-03-03,462,471,455.25,466.25,4582866,
2020-03-04,466.05,477,457.5,474.65,5912943,
2020-03-05,472.7,482.5,469,479.3,4081050,
2020-03-06,458.85,473.75,456.5,471,4502562,
2020-03-09,453.55,465.7,441,463.2,4540695,
2020-03-11,462.85,469.65,449.7,451.6,5104926,
2020-03-12,427.9,435.95,399.65,423.35,9408371,
2020-03-13,400.5,449.75,345.65,428.85,6230433,
2020-03-16,421,428.6,388.8,391.8,3156668,
2020-03-17,392,408,369.95,373.4,4526918,
2020-03-18,379,383.7,339.1,346.4,6596185,412.3101671476672
2020-03-19,331.75,331.8,302,314.2,10486203,395.72446608946626
2020-03-20,316,328.2,308.25,322.6,8819560,381.24302669552657
2020-03-23,299,303.9,280.6,293.4,6001458,364.5808333333334
2020-03-24,300,309.9,264.4,269,6695822,346.36930254930246
2020-03-25,263.4,288.35,245.4,277.85,9393738,330.3263203463204
2020-03-26,277.85,294,273.1,285.5,7557611,316.2945971620973
2020-03-27,297,305,280.8,294.5,9505256,304.3284812409812
2020-03-30,281.7,284.85,270,274.4,8942943,291.2562385762387
2020-03-31,283.85,287.2,277.8,284.95,6236769,280.45400192400194
2020-04-01,281,283,265.5,272.85,5980392,269.4575252525252
2020-04-03,274,290,271.35,280.7,6961905,260.44736892736887
2020-04-07,295.5,323.8,292.75,321,10795410,256.7975336700337
2020-04-08,315,350.4,312.8,326.4,8451196,254.560681818182
2020-04-09,335.75,391.65,332.4,381.4,11027462,258.9933513708513
2020-04-13,380,380,355,362.85,7717757,261.91099326599317
2020-04-15,373.05,379.9,349.3,353.15,11300959,264.16441798941804
2020-04-16,343.1,360.45,343,356.7,6155773,267.2243867243868
2020-04-17,370.75,370.75,355.55,363.2,6178611,271.42417989417993
2020-04-20,367,367.45,354,355.85,4834224,275.2933309283307
2020-04-21,349.05,349.05,323.5,332.05,8003782,277.12120851370844
2020-04-22,327,345.75,320.6,340.2,9073718,280.4013492063493
2020-04-23,338,349.65,331.55,347.5,6738333,284.96017316017327
2020-04-24,342,344.75,332,334.3,5755029,288.5124206349207
2020-04-27,337.55,343.35,328.15,330.3,5770552,291.9560594035594
2020-04-28,334.45,338,328.5,335.95,4244522,296.38693843193823
2020-04-29,337,351.8,336.25,348,7748498,302.25974867724887
2020-04-30,355.65,368,355,366.65,7422880,310.11652837902835
2020-05-04,350.05,362.4,341.1,357.05,7125034,316.69623015873003
2020-05-05,363.75,381.8,361.45,368.15,13401811,324.0936279461279
2020-05-06,371.5,393,358.25,387.15,7015474,333.15524771524764
2020-05-07,387.5,403.45,385.1,400.65,12971502,343.07554353054377
2020-05-08,405,407.9,380.7,386.7,9445656,350.7245057720056
2020-05-11,388.5,402,384.35,390.1,7658641,358.0681265031264
2020-05-12,388.9,395.2,380.2,393.05,4686856,365.0811976911978
2020-05-13,415,418.9,404.25,413.05,7362761,373.6313143338146
2020-05-14,401.5,407.5,396,400.45,4766174,380.02659932659924
2020-05-15,402.75,403.95,373.2,381.3,14226558,383.6792797017798
2020-05-18,382.1,383.5,367.25,377.2,7717690,386.22464405964416
2020-05-19,384,391,371.2,382.9,5950063,388.77426406926435
2020-05-20,382.9,413.7,379.7,405.05,10608571,393.2849747474747
2020-05-21,400.15,412.2,397.8,408.3,6249310,397.66029461279436
2020-05-22,404,430.35,398.7,426.35,10016213,403.7657215007214
2020-05-26,427,435.2,421.65,429.15,5895379,409.7915656565655
2020-05-27,426.5,434.95,415,432.5,7591378,415.7561050986052
2020-05-28,429.5,444,423.85,440.4,7451065,422.1492616642617
2020-05-29,434,450,431.1,436.35,9539037,427.6832383357384
2020-06-01,441.85,470.5,441.5,461.1,9668052,435.41820466570465
2020-06-02,465.1,478.85,460.85,462.85,8521141,442.6460485810488
2020-06-03,470,492.6,466.5,485.1,9873439,451.60358706108707
2020-06-04,485.3,486.25,469.4,478.45,5829515,459.13480399230383
2020-06-05,479,489.45,475.4,484.2,6265849,466.53682900432904
2020-06-08,485.5,494.15,468.25,470.85,5955229,471.7337241462241
2020-06-09,473.8,482.8,463.3,478.75,7656758,477.0905639730644
2020-06-10,476.15,483.7,468.85,472.05,4849036,481.0942087542085
2020-06-11,472,480,469.5,474.55,4331785,484.8720971620974
2020-06-12,457,512.9,456.1,508.45,18369324,491.743649591149
2020-06-15,505.15,520.95,498.7,508.15,17605886,497.9668674843673
2020-06-16,517.1,519,501.3,506.75,6712936,503.5203607503611
2020-06-17,504.9,504.9,492.5,497.6,9274056,507.67066017316023
2020-06-18,496.9,508.9,492,506.6,7114852,512.3469143819143
2020-06-19,506.6,506.6,496.4,500.05,9811021,515.8535197210194
2020-06-22,501.75,502.25,494.1,498.75,5149781,518.79401996152
2020-06-23,500,519.9,497.6,516.4,9132472,523.3047823472822
2020-06-24,520,527.65,512.55,515.35,7569986,527.2466955266957
2020-06-25,509.9,516.35,503.35,507.25,5249631,529.7611026936027
2020-06-26,515,515.25,498.7,501.4,4079405,531.1128367003367
2020-06-29,494.1,510.95,493.05,507.45,4459962,532.6291125541126
2020-06-30,509,515.5,507.1,510.7,5487685,534.0728751803753
2020-07-01,513.75,521.4,494.25,498.95,8990865,533.8355856180854
2020-07-02,506.5,532,504.4,529.7,16513525,536.5851430976429
2020-07-03,531.4,535.5,524.2,530.5,7982336,538.9967484367485
2020-07-06,533.65,573.55,533.65,570.55,16728409,545.2960690235691
2020-07-07,565,568,551.65,560,9208254,549.9152717652717
2020-07-08,564,568.25,549,551.25,5173213,553.070533910534
2020-07-09,554,564.3,548.05,560.3,4123903,556.8453379028381
2020-07-10,555.3,568.95,552,554.85,5752463,559.6688191438191
2020-07-13,560,560.5,549.2,555.85,3167393,562.3697787397789
2020-07-14,553,553.95,538,545.2,3097320,563.6554353054352
2020-07-15,550,559.7,542.75,550.15,5671830,565.2856457431458
2020-07-16,547,574.5,542.55,570.9,11752682,568.8622534872538
2020-07-17,571.95,591.25,565.5,588.8,9124229,574.0217171717175
