Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,1481.9,1484.93,1471.22,1477.91,238590,
2020-01-02,1484.89,1485.3,1468.72,1472.93,461160,
2020-01-03,1475,1479.5,1455.61,1459.36,400000,
2020-01-06,1454.2,1454.2,1427.5,1441.67,651360,
2020-01-07,1442.35,1454.68,1426.08,1429.07,722370,
2020-01-08,1419.16,1445,1412.03,1439.12,394880,
2020-01-09,1449.5,1467.5,1445,1464.34,557080,
2020-01-10,1464.34,1471.89,1457.03,1468.58,392740,
2020-01-13,1474.79,1474.79,1460.1,1465.82,269900,
2020-01-14,1465.79,1489.5,1460.7,1486.86,503780,
2020-01-15,1482.8,1495,1471.89,1486.02,414680,
2020-01-16,1485.1,1539.8,1484.81,1535.49,2032080,
2020-01-17,1539.9,1560,1535.86,1543.95,963990,
2020-01-20,1523.02,1547.94,1523.02,1541.72,687700,
2020-01-21,1536.1,1550.16,1520,1528.07,632580,
2020-01-22,1536.9,1558.5,1530.1,1554.87,556270,
2020-01-23,1550,1562.5,1545.5,1554.89,428610,
2020-01-24,1560,1585,1550.02,1575.55,506320,
2020-01-27,1570,1584.5,1555.99,1566.6,313620,
2020-01-28,1566.4,1571,1536.68,1541.67,531070,
2020-01-29,1558.5,1589.99,1544,1586.68,642510,
2020-01-30,1580.2,1581.08,1547.12,1552.08,472520,
2020-01-31,1556,1563.72,1531.03,1535.95,596490,
2020-02-01,1530,1566.18,1518.44,1552.47,421810,
2020-02-03,1558.9,1650,1553,1630.1,2037520,
2020-02-04,1640,1650.79,1612.7,1645.56,1164160,
2020-02-05,1647.6,1648.19,1625.6,1638.48,575110,
2020-02-06,1639.9,1654.94,1615.78,1628.49,740840,
2020-02-07,1634,1638.5,1619.46,1632.78,414070,
2020-02-10,1630,1637.31,1611.2,1617.22,612700,
2020-02-11,1624,1630.01,1595,1599.72,733500,
2020-02-12,1602.6,1647.26,1596.84,1629.77,1290110,
2020-02-13,1632.8,1646.15,1627.73,1641.22,1512280,
2020-02-14,1650,1678.24,1625,1635.65,1657080,
2020-02-17,1641.3,1661.5,1637.3,1658.84,1397880,
2020-02-18,1656.99,1656.99,1638.51,1640.39,900130,
2020-02-19,1653.86,1683.15,1647.58,1678.51,950000,
2020-02-20,1674,1674,1652.54,1653.95,657320,
2020-02-24,1649.9,1657.68,1631.7,1633.72,665160,
2020-02-25,1637.3,1654.08,1630.93,1638.05,909160,
2020-02-26,1654.5,1654.5,1615.01,1624.02,1168390,
2020-02-27,1630,1634.08,1605.75,1626.38,901990,
2020-02-28,1604.2,1612.91,1568,1577.89,1406730,
2020-03-02,1595,1631.5,1590.1,1610.99,1172320,
2020-03-03,1613.03,1649.9,1613.03,1635.94,933720,
2020-03-04,1639.7,1663.25,1602,1654.15,1117110,
2020-03-05,1655,1683.52,1648.25,1657.63,850900,
2020-03-06,1635.81,1656.56,1620.01,1642.93,862120,
2020-03-09,1624.93,1635,1570.11,1603.14,1236840,
2020-03-11,1600.52,1620,1577.28,1604.85,1237320,
2020-03-12,1586.95,1588.28,1504.5,1556.55,2228660,
2020-03-13,1534.1,1585.5,1405,1499.18,2616700,
2020-03-16,1480,1493.1,1349.27,1439.72,2212280,
2020-03-17,1450,1477.7,1425,1454.1,1769800,
2020-03-18,1455,1473.8,1340,1353.68,2129420,1563.0375271765265
2020-03-19,1300.05,1344.84,1257.7,1312.03,2147100,1530.883187109186
2020-03-20,1319.8,1443.31,1315,1414.55,2049250,1511.3025084175076
2020-03-23,1275.04,1399.98,1275.01,1294.47,1959270,1479.8905343915337
2020-03-24,1388.9,1388.9,1220,1347.83,2586860,1455.7037111592108
2020-03-25,1280,1452,1280,1444.41,1987590,1443.295556036556
2020-03-26,1469.97,1510,1405.16,1491.97,2053440,1437.0343989899
2020-03-27,1540,1553.4,1480,1510.86,1752470,1433.5917003366997
2020-03-30,1499,1589,1468.77,1565.86,2014700,1436.8550295815294
2020-03-31,1584.9,1642.49,1570.12,1630.06,1839190,1447.4544377104369
2020-04-01,1630.03,1645.6,1550,1565.45,1275120,1451.4943443963432
2020-04-03,1593.97,1593.97,1500.5,1510.47,1907800,1450.162823232325
2020-04-07,1557.5,1720,1542.6,1703.86,2469010,1470.2196522366526
2020-04-08,1665,1754.41,1655.54,1687.12,2484450,1488.2440399230404
2020-04-09,1743.69,1754.4,1657.5,1683.97,2075100,1505.6900327080311
2020-04-13,1684.5,1697.4,1633.02,1659.99,831320,1520.354400913901
2020-04-15,1665.71,1739.1,1665.71,1732.59,1555790,1542.4486113516107
2020-04-16,1732,1800.17,1705.22,1789.53,2257400,1570.1155524290534
2020-04-17,1836.99,1836.99,1722.34,1732.43,1872710,1591.004354497356
