Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,119.05,122,118.25,121.55,9953746,
2020-01-02,121.5,122.15,120.6,121.4,8731299,
2020-01-03,121,121.35,119.1,119.35,7392962,
2020-01-06,119,119.15,116.5,118.9,6596841,
2020-01-07,119.25,121.55,119.25,120.55,8959942,
2020-01-08,119.7,120.75,117.55,119.95,6372683,
2020-01-09,120.5,121.2,118.9,119.35,8309627,
2020-01-10,119.95,121.8,119.05,120.3,5588344,
2020-01-13,120.4,122,120.1,121.75,3534313,
2020-01-14,121.75,124,121.35,123.5,8631692,
2020-01-15,123,125,122.35,123.85,6537916,
2020-01-16,123.4,123.4,120.95,121.45,8806007,
2020-01-17,121.45,121.7,120.6,121.2,6811534,
2020-01-20,121,121.75,117.8,118.25,10655638,
2020-01-21,118.4,119.55,116.95,117.15,5150830,
2020-01-22,114.95,115.75,111.5,112.15,19388739,
2020-01-23,112.6,114.45,112.3,113.5,22793170,
2020-01-24,114,116.3,113.55,114.75,9898052,
2020-01-27,115,115.3,112.6,113.15,5597365,
2020-01-28,113.75,113.75,110.9,112.05,12128081,
2020-01-29,112.1,114.9,111.75,113.2,18501507,
2020-01-30,113.45,114.8,112.05,113.65,18545239,
2020-01-31,113.75,115.25,111.5,112.85,64518347,
2020-02-01,112.85,112.85,108.05,109.3,25282713,
2020-02-03,109.45,111.65,107.2,110.25,14889516,
2020-02-04,110.35,112.3,110.25,112,9743806,
2020-02-05,111.3,112.6,110.5,111.2,10671590,
2020-02-06,110.5,112.5,110.5,112,11852617,
2020-02-07,112.4,116.25,112.3,115.6,18446803,
2020-02-10,115.8,115.9,112.05,113.5,31637511,
2020-02-11,114.5,117.55,114.1,116.85,20937033,
2020-02-12,117,118.9,116.4,116.8,13679292,
2020-02-13,116.8,117.1,114.7,115.15,20903696,
2020-02-14,114.8,115.5,111.9,112.7,23827224,
2020-02-17,113.1,113.75,109.2,110.3,22137354,
2020-02-18,109.6,110.9,103.8,109.6,34458578,
2020-02-19,112.3,113.75,110.4,112.05,17935374,
2020-02-20,111.7,112.4,110.95,111.35,19663654,
2020-02-24,110.75,110.75,108.85,109.7,11370193,
2020-02-25,110.9,112.45,109.65,110.1,10775289,
2020-02-26,110,111.55,108.25,109.1,14998071,
2020-02-27,109.2,110.3,106.65,109.05,22610691,
2020-02-28,106.65,110.2,105.35,106.55,25696761,
2020-03-02,109.35,110,102.7,103.9,15614944,
2020-03-03,104.65,109.95,104.3,108.9,17194661,
2020-03-04,108.65,111,107.5,107.95,17095867,
2020-03-05,108.1,109.65,107.05,107.85,11579256,
2020-03-06,104.75,107.2,102.9,105.15,13533444,
2020-03-09,104,104.4,99.55,102.9,47383260,
2020-03-11,103,104.8,101.5,103.05,28434592,
2020-03-12,99,100,93.25,94.35,47225243,
2020-03-13,90,100.75,81.25,98.05,49533058,
2020-03-16,96,96,88.25,90.8,34649741,
2020-03-17,91,95.9,86.35,88.1,21246111,
2020-03-18,89,90.35,74.9,80.55,88659790,96.53367123617122
2020-03-19,78.55,84.95,75.05,78.35,33847230,93.72943241943234
2020-03-20,78.5,82.35,76.35,81.25,58502396,91.40494588744586
2020-03-23,74.9,80,73.2,76.4,37653590,88.70537999038
2020-03-24,78.1,79.6,75.05,77.55,13742935,86.31515993266001
2020-03-25,78,80.5,75.3,79.7,16472741,84.33611832611825
2020-03-26,82,82.2,76.4,79.65,39959622,82.51275974025972
2020-03-27,82.5,84.4,80.25,83,39363397,81.19702861952864
2020-03-30,79.9,83.5,79.2,81.75,17044016,79.86820947570949
2020-03-31,82.75,84.8,81.15,84.2,28293281,78.92421236171242
2020-04-01,84.3,84.35,80.6,81,14355481,77.76032948532941
2020-04-03,82.05,82.1,78.85,79.55,18319674,76.57407407407408
2020-04-07,81.6,82.05,80.1,81.55,47686689,75.73286195286195
2020-04-08,81.55,86.8,80.3,85.2,38072780,75.40787037037036
2020-04-09,88.35,88.35,85.3,87.1,9322497,75.38952861952865
2020-04-13,87.1,89.15,84.75,88.65,33267122,75.63316859066856
2020-04-15,88.95,94.2,88.7,89.9,24128026,76.08693963443959
2020-04-16,87.25,96.3,87,95.1,20876392,77.1574795574796
2020-04-17,101,101,95,95.5,16969678,78.33194444444439
2020-04-20,97,99.3,93.4,98.9,17639176,79.92406806156812
2020-04-21,96.5,98.4,95.55,97.3,15085297,81.38286435786435
2020-04-22,97.3,98.65,94.9,97.6,10344379,82.90575998075997
2020-04-23,97.45,97.7,94.55,95.2,14078729,84.1894252044252
2020-04-24,94.75,96.35,91.95,93.4,10149014,85.30978715728716
2020-04-27,94.4,94.4,91.9,92.35,22675958,86.31004569504569
2020-04-28,92.15,92.9,88.65,90.35,19815466,87.11517075517078
2020-04-29,91.45,92.35,89.75,90.2,21552047,87.89368326118321
2020-04-30,91.35,97,90.4,95.05,15151440,89.16657166907166
2020-05-04,91.05,93.65,90.5,91.45,10305675,89.96653920153916
2020-05-05,92.2,94.95,91.35,92.6,10628541,90.80706469456467
2020-05-06,92.95,95.45,92.2,94.7,10232281,91.7976022126022
2020-05-07,94.1,94.4,90.15,90.45,8449705,92.22374939874939
2020-05-08,91,92.45,85.75,87,28175317,92.19485690235699
2020-05-11,88.2,89.45,85.85,86.65,12243824,92.07048941798942
2020-05-12,86.5,93.25,85.65,91.65,18125053,92.42629268879269
2020-05-13,94.95,98.5,92.65,93.05,19038031,92.87265993265987
2020-05-14,93.3,93.5,87.5,89.35,39117004,92.85160894660892
2020-05-15,90,91.8,89.2,90.85,16926082,92.95087421837428
2020-05-18,90.5,90.5,87.85,88.9,11369430,92.77532828282831
2020-05-19,89.6,91.9,88.2,91.05,12262139,92.76609066859065
2020-05-20,89.9,93.4,89.3,92.9,10126456,92.89269240019233
2020-05-21,92.15,92.65,89.8,90.25,20143414,92.68345598845599
2020-05-22,89.9,91.2,88.35,90.95,9392105,92.52031265031268
2020-05-26,90.15,93.4,90.15,93,12350762,92.55288961038957
2020-05-27,93,95.2,91.15,94.7,11684732,92.74240860990862
2020-05-28,95.25,96.5,94.5,95.7,12156769,93.03521284271284
2020-05-29,94.7,98.85,94.3,97.85,19894337,93.54874458874457
2020-06-01,98.4,99.65,97.15,97.9,10106453,94.06663059163058
2020-06-02,98.75,98.95,96.05,96.75,18170671,94.45166666666668
2020-06-03,97.75,97.8,94.4,94.7,23202602,94.61610269360267
2020-06-04,94.15,95.5,92.75,95.15,12827335,94.82607383357379
2020-06-05,95,98.2,94.15,97.95,11744405,95.32165584415584
2020-06-08,98.95,100.2,97.75,98.55,14173729,95.85423160173156
2020-06-09,99,99.7,97.2,98,14232535,96.28481721981726
2020-06-10,98.15,100.15,97.25,98.15,12104523,96.69487974987979
2020-06-11,98.15,99.7,96.8,98.05,10258977,97.08435185185185
2020-06-12,94.5,97.95,94.3,96.9,10925628,97.32705266955269
2020-06-15,96.7,96.95,92.6,93.2,10980604,97.16261904761897
2020-06-16,94.95,95.1,92.25,92.8,8757045,96.97102453102448
2020-06-17,92.95,93.1,90.85,91.5,17081361,96.63835978835985
2020-06-18,91.8,94.3,89.9,92.7,16520112,96.41951539201546
2020-06-19,93.05,94.05,92.4,93,13836696,96.20924482924487
2020-06-22,94.1,95.85,93.35,95.3,18868376,96.24692881192875
2020-06-23,95.1,101.15,95,100.75,20333453,96.86462361712358
2020-06-24,102,103.8,96.75,97.05,24055053,97.03791005291005
2020-06-25,97.05,98.55,94.35,96.1,69278240,97.08495069745074
2020-06-26,96.4,97.4,95.55,97,15572502,97.20012987012984
2020-06-29,97.65,98.05,94.45,94.9,18135588,97.07015873015877
2020-06-30,97,97.75,95.2,95.8,18496450,97.03470298220294
2020-07-01,94.7,94.7,92.3,93.6,21639174,96.74105098605102
2020-07-02,94.5,94.5,93.15,93.4,14333507,96.41617003366999
2020-07-03,93.6,95.35,92.75,94.5,15274892,96.21011423761423
2020-07-06,95.9,96.4,94.85,95.2,11830916,96.08310365560372
2020-07-07,95.4,95.45,92.25,92.55,18786161,95.67487493987497
2020-07-08,92.85,92.85,90.85,91,26257436,95.12670153920155
2020-07-09,91.3,92,90.8,91.2,11910945,94.63133477633468
2020-07-10,91.2,91.3,89.75,90.4,12213263,94.07565776815788
2020-07-13,91.05,92.85,89.5,89.9,17512895,93.48448532948532
2020-07-14,89.8,89.9,87.4,87.65,14242251,92.67657768157765
2020-07-15,88.3,89.75,87.75,88.05,11582899,91.96229076479082
2020-07-16,88.2,88.4,85.85,86.75,10152713,91.16148148148137
2020-07-17,87.2,88.65,87,88.3,12239669,90.58392977392978
2020-07-20,88.9,88.9,87,87.15,12349625,89.93404641654647
2020-07-21,88,88.65,86.8,88.35,20122602,89.46527657527656
2020-07-22,88.75,92.6,88.7,90.35,31321868,89.25401755651754
2020-07-23,90.9,91.6,90.25,90.55,11161644,89.07780543530538
2020-07-24,90.3,90.5,88.55,89.4,11352908,88.78758898508896
2020-07-27,89.55,89.6,87.25,87.65,10071266,88.32030182780186
2020-07-28,87.9,88.8,86.9,88.55,13888285,87.97658489658492
2020-07-29,88.5,89.65,87.9,88.15,10733683,87.61478956228959
2020-07-30,88.55,89,86.1,86.6,10670653,87.12248075998079
2020-07-31,86.9,87.6,86.3,87,7906812,86.74370851370848
2020-08-03,87.2,87.2,85,85.6,14158515,86.26658489658493
2020-08-04,86.5,87,85.35,85.6,19622064,85.84160774410779
2020-08-05,85.9,86.6,85.4,85.9,9479240,85.50694805194802
2020-08-06,86.5,87.45,85.6,86.15,12209723,85.24334896584901
2020-08-07,86.2,86.7,85.35,85.8,10340142,84.98892496392496
2020-08-10,86.8,88.7,86.15,88.2,12215888,85.03002405002405
2020-08-11,89,89.6,87.8,88.25,11180571,85.10220779220779
2020-08-12,88,89.15,87.05,88.7,14804335,85.25259018759017
2020-08-13,87.4,87.5,86.5,87.25,13724634,85.2781108706109
2020-08-14,87.35,89.85,86.7,88.4,25405464,85.44940115440113
2020-08-17,89.4,96.5,89.4,95.3,115117580,86.36759740259744
2020-08-18,96.2,97.8,94.05,95.05,52030586,87.23562650312651
2020-08-19,96,96.5,94.25,94.65,21840984,88.03509139009135
2020-08-20,94.6,101.9,94.25,101.1,112341122,89.500462962963
2020-08-21,102.7,107.85,101.6,105.95,107866165,91.41817700817703
2020-08-24,107.1,108,103.75,105.4,49155456,93.18744829244835
2020-08-25,106,107.4,103.2,103.8,50945674,94.69106180856178
2020-08-26,104.6,104.6,101.6,102.8,30829463,96.00928811928809
2020-08-27,103.2,103.9,102,102.6,19363825,97.22630110630115
2020-08-28,103.15,104.25,101.25,101.55,21359093,98.25837181337184
2020-08-31,102.6,102.7,95.5,96.4,40298819,98.68241702741706
2020-09-01,97.5,101.15,96.5,99.8,44304572,99.44187349687346
2020-09-02,99.8,100.5,98.3,98.95,20904848,100.0597775372775
2020-09-03,99,99.7,96.9,97.7,19004482,100.48880230880238
