Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,128.75,128.9,126.85,127.45,2574894,
2020-01-02,127.65,128.65,127.1,128.05,4759843,
2020-01-03,131,133.4,128.05,128.45,31381588,
2020-01-06,129.7,129.8,125.1,126.25,14611204,
2020-01-07,125.6,127.7,125.4,125.75,7193304,
2020-01-08,125,125.45,123.2,123.45,6236192,
2020-01-09,124.95,125.1,122.8,123.7,10135017,
2020-01-10,124.45,125.2,123.7,124.15,6550218,
2020-01-13,124.25,125.7,124.25,125.45,5737187,
2020-01-14,125.45,125.65,123.8,125.05,12432511,
2020-01-15,125.05,125.5,124.25,124.65,5714614,
2020-01-16,125,125.2,124.05,124.5,7322878,
2020-01-17,124.55,125.55,124,125.4,8561603,
2020-01-20,126,126.75,120,122.9,16106541,
2020-01-21,123.05,124.5,122.4,122.75,6497799,
2020-01-22,122,122,116,116.4,23639592,
2020-01-23,117.25,118.95,116.4,117.8,21105999,
2020-01-24,118,119.8,117.3,118.35,11172364,
2020-01-27,118.35,118.5,116.8,117.25,12078165,
2020-01-28,117.55,117.7,115.6,116.6,11611352,
2020-01-29,117.35,118.15,116.45,117.65,15562740,
2020-01-30,117.55,117.55,115,115.6,21142714,
2020-01-31,115.8,116,106.75,108.95,83360147,
2020-02-01,109,109.55,102.7,104.35,31282518,
2020-02-03,104.35,104.95,101.55,103.45,18445537,
2020-02-04,104.1,106.9,103.8,106.15,16896688,
2020-02-05,106.4,107.4,105.1,106.8,11348275,
2020-02-06,106.8,107.8,106.3,107.25,10750236,
2020-02-07,107.3,109.75,106.55,109.25,21415595,
2020-02-10,109.15,109.15,105.75,106.2,32081049,
2020-02-11,107.15,107.65,106.3,106.8,20946852,
2020-02-12,107,107.8,106.5,106.7,13053367,
2020-02-13,107,108.2,104.25,105.35,17702073,
2020-02-14,105.55,106.3,103,103.3,26644685,
2020-02-17,101.5,102.9,98.8,99.95,36666416,
2020-02-18,99.95,100.25,96.55,99.3,35575369,
2020-02-19,100.3,102.2,98.8,101.7,21806183,
2020-02-20,102,104.1,101.7,102.8,28378025,
2020-02-24,102.5,102.5,97.2,98.05,20167769,
2020-02-25,98.7,100.25,97.25,97.55,18255196,
2020-02-26,97.4,98.5,95.5,95.8,16192058,
2020-02-27,95.7,96.2,92.05,93.35,29616674,
2020-02-28,90.3,92.7,89.5,91.95,30416954,
2020-03-02,94,95,88.25,89.1,24442896,
2020-03-03,90.9,94,89.65,93.35,24098468,
2020-03-04,94.2,94.9,90.7,92.8,22998427,
2020-03-05,93.35,94.4,92,92.6,16357817,
2020-03-06,89.5,91.5,87.65,88.5,17823038,
2020-03-09,82.15,82.5,74,74.55,86674325,
2020-03-11,76.75,77.4,71.05,71.7,63570122,
2020-03-12,66.6,68.4,62,62.5,76138489,
2020-03-13,59.4,67,50,65.9,73052306,
2020-03-16,63.5,65.2,60,60.15,49834392,
2020-03-17,61.1,63,59.65,60,46722526,
2020-03-18,61.6,86.8,57.5,68.15,178593486,69.73622294372294
2020-03-19,62.15,64,58.1,61.05,61261160,67.1292496392496
2020-03-20,63.05,74.4,62.75,72.35,128784781,65.94490019240021
2020-03-23,60.65,65.5,60,60.4,36059063,63.623125300625304
2020-03-24,63.5,64.7,60.1,62.5,38810910,61.72766474266473
2020-03-25,61.2,63,60,61.55,28639667,59.922884800384836
2020-03-26,61.85,65.6,59.65,64.75,46474998,58.65101972101968
2020-03-27,66,66,62.8,64.45,33298960,57.51286315536315
2020-03-30,61.05,65.65,60.1,63.35,32935523,56.406206108706144
2020-03-31,65,69.65,63.55,68.3,45892788,55.9806373256373
2020-04-01,67,67.25,65.1,65.75,21883464,55.421463443963475
2020-04-03,69,71,66.5,69.85,39761221,55.45910052910051
2020-04-07,71.2,74.4,70.2,72.9,30983247,55.93714526214525
2020-04-08,72.4,76.35,71,74.45,30556746,56.67817821067824
2020-04-09,76,77.65,76,77.3,19210693,57.80444684944685
2020-04-13,78.8,78.8,72.65,75.05,22316547,58.744954304954334
2020-04-15,75.1,76.45,73.5,74.35,22311692,59.668905723905695
2020-04-16,74,76.5,73.4,75.45,24473642,60.76145141895141
2020-04-17,77.8,77.8,75.15,76.3,14565447,62.012277537277555
2020-04-20,75.35,75.65,73.8,74,15699082,63.07667147667148
2020-04-21,69.7,70.75,67.2,69.35,27607651,63.71317941317942
2020-04-22,65.9,66.35,60.8,65.35,73847573,63.991756854256835
2020-04-23,67.5,69.05,66.55,67.35,38208748,64.49933621933621
2020-04-24,67.15,69.5,66.6,67.6,31588406,65.02538600288605
2020-04-27,68,69.5,67.65,68.45,16723890,65.58867243867242
2020-04-28,67.8,69.7,67.1,69.2,20423140,66.19551226551224
2020-04-29,69.4,70.95,68.7,70.5,18028576,66.87151394901394
2020-04-30,72.6,81.05,71.5,79.9,54295139,68.47595358345357
2020-05-04,76,77.85,74.05,76.55,28642245,69.64182780182783
2020-05-05,78.9,81.9,78.15,78.45,61865518,70.90932780182779
2020-05-06,81.35,81.35,77.45,79.25,38948341,72.21026695526692
2020-05-07,78.3,78.3,75.1,75.6,20806305,73.00289923039924
2020-05-08,76.4,77.2,74.75,76,18523906,73.74881673881673
2020-05-11,76,78.15,74.5,77.05,15701778,74.51084415584418
2020-05-12,76.95,77.35,74.5,76.3,14186808,75.10905844155843
2020-05-13,79,79.05,76.25,78.2,20494837,75.83061327561327
2020-05-14,77,77.35,75.2,76.15,13346163,76.23983044733048
2020-05-15,77.25,78.5,75.9,76.15,16836413,76.59248075998076
2020-05-18,76.95,76.95,72.4,72.9,13015452,76.52529942279942
2020-05-19,74.4,78.7,74.1,77.15,42316096,76.87792207792207
2020-05-20,77.2,78.5,76.3,78,12969876,77.28555796055797
2020-05-21,78.75,79,76.4,77,17999916,77.55457311207316
2020-05-22,76.95,76.95,75.4,76.15,12443833,77.72189634439634
2020-05-26,77,78.2,76.6,77,11840048,77.96330206830204
2020-05-27,77.2,78.2,75.9,77.95,11656180,78.28276455026453
2020-05-28,77.5,80.95,77.4,78.85,18646208,78.67818783068785
2020-05-29,78.05,83.75,77.4,83.2,40559737,79.51677489177492
2020-06-01,85,86.5,83.65,83.95,25048603,80.38080808080807
2020-06-02,84.45,84.9,82.6,84.3,15368224,81.19947570947568
2020-06-03,86.05,87.45,85.3,86.3,23937209,82.12943722943722
2020-06-04,85,86.05,84,84.9,15121039,82.81676406926407
2020-06-05,85.1,88.8,85,86.95,18203733,83.64077080327083
2020-06-08,90,93.1,89.2,90.95,32511412,84.811341991342
2020-06-09,91.95,92.4,89.35,90,16702416,85.78131433381435
2020-06-10,90.6,91.5,87.7,88.25,17382524,86.4799951899952
2020-06-11,88.3,89.55,86.5,86.9,14276814,87.00819745069744
2020-06-12,81.55,84.2,81.55,83.9,20601082,87.17238455988458
2020-06-15,84,85.9,83,84.1,17275091,87.34400192400193
2020-06-16,85.5,85.75,82.35,83.9,13467650,87.47615921115921
2020-06-17,83.6,84.75,83.2,84.2,15440386,87.61180375180373
2020-06-18,83,83.95,81.8,83.6,18460702,87.65386724386721
2020-06-19,85.5,86.3,84.3,85.75,21920952,87.90594997594998
2020-06-22,86.1,86.2,84.1,84.85,19229487,88.02524050024053
2020-06-23,85.5,86.5,84.4,85.65,23442659,88.20830687830689
2020-06-24,86.25,86.65,82.55,83.1,33082696,88.08237493987494
2020-06-25,82.25,84,80,81.6,121278403,87.76856661856658
2020-06-26,83.1,84.8,82.5,84.15,23684918,87.69223304473306
2020-06-29,83.95,84.1,81.6,82.4,14299404,87.40064814814816
2020-06-30,83.5,83.55,80.65,81.35,25762628,86.97945165945161
2020-07-01,79,80.95,78.3,80.45,35344809,86.44329124579126
2020-07-02,81.35,84.15,81.1,81.85,35154233,86.03642496392499
2020-07-03,82.45,83.35,81.6,82.4,16793161,85.66724146224144
2020-07-06,83.05,84.9,82.8,83.75,17511379,85.42438311688316
2020-07-07,83.75,83.8,81.8,81.95,20124675,84.96813131313128
2020-07-08,82,82.9,81,81.3,18626982,84.45251924001924
2020-07-09,81.6,82.25,79.9,80.2,17348338,83.83781144781146
2020-07-10,80,80.15,77.7,78.55,17773267,83.07505651755649
2020-07-13,79.2,79.55,78.4,78.9,9361006,82.39937830687832
2020-07-14,78.5,78.95,77.15,77.35,9303884,81.59687469937468
2020-07-15,78,78.2,75.85,76.25,14377120,80.73363876863877
2020-07-16,76.4,76.7,75,76.15,10605125,79.94253126503132
2020-07-17,76.3,80.65,76.3,80.35,24934073,79.67921717171711
2020-07-20,81,81.25,79.2,80.3,15570377,79.45874098124101
2020-07-21,80.6,82.9,80.35,82.45,20976714,79.50380230880232
2020-07-22,82.75,83.5,81.7,82.6,17884327,79.57643819143817
2020-07-23,82.5,83.85,82.05,82.65,14674735,79.66506253006256
2020-07-24,82.1,82.4,80.25,81,10000517,79.58572270322264
2020-07-27,81.4,82,80.1,80.8,8511120,79.50539201539202
2020-07-28,81,81.25,79.3,79.9,10618186,79.34656445406448
2020-07-29,79.8,80.7,79.3,79.5,9906214,79.17768278018274
2020-07-30,80,80.4,77.5,77.7,9671441,78.84632876382877
2020-07-31,77.95,78.85,77.15,78.3,10965340,78.6209992784993
2020-08-03,78.35,78.5,75.55,75.9,11874519,78.16531986531983
2020-08-04,76.3,77.7,75.9,76.1,13370396,77.76106541606545
2020-08-05,76.5,77.5,76.3,76.95,9078922,77.49255291005286
2020-08-06,77.85,79.95,77.05,78.05,26386804,77.37060365560369
2020-08-07,78.15,79.4,78.1,78.65,11787233,77.33043290043295
2020-08-10,79.5,79.75,78.9,79.05,7067873,77.3437145262145
2020-08-11,79.55,80,78.2,78.45,10835770,77.30940836940839
2020-08-12,78.45,79.1,77.7,78.1,10482298,77.25944324194326
2020-08-13,78.55,79.45,78.4,78.6,7316685,77.29304112554115
2020-08-14,78.7,78.95,76.95,77.1,11637195,77.18348725348726
2020-08-17,77.5,79.8,77.4,79.3,13612342,77.3279088504088
2020-08-18,79.75,81.9,79.15,80.65,28330266,77.6187157287157
2020-08-19,80.85,81.7,79.1,79.55,12081506,77.77818422318424
2020-08-20,79,83.25,77.9,82.15,37457741,78.20840187590184
2020-08-21,82.95,83.45,80.65,81.05,17027759,78.49357984607988
2020-08-24,81.3,81.85,80.6,81.25,9798867,78.77095839345836
2020-08-25,81.4,82.5,80.2,80.5,22481154,78.93469696969699
2020-08-26,81.2,82.1,80.75,81.4,15968479,79.18790163540164
2020-08-27,81.8,81.95,80,80.15,16309200,79.2969095719096
2020-08-28,80.35,81.8,80,80.35,14667141,79.43513227513228
2020-08-31,81,85.5,80.9,81.95,93193563,79.7543831168831
2020-09-01,82.75,82.8,78,79.35,38005572,79.79737012987015
2020-09-02,81.15,81.75,79.5,80.3,31155170,79.9479184704185
2020-09-03,80.5,81.3,78.8,79.05,19976183,79.96465127465125
2020-09-04,78.55,79.1,77.35,77.9,12855872,79.85971260221258
2020-09-07,78.2,78.35,75.95,76.45,16574103,79.60278499278496
2020-09-08,76.55,76.65,74,74.45,17905760,79.1327308802309
2020-09-09,73.95,73.95,70.9,72.7,28166431,78.48827441077444
2020-09-10,73.5,74.4,72.65,73.65,18646453,77.95578162578161
2020-09-11,73.45,73.7,72.6,73.3,11511957,77.3935894660895
2020-09-14,73.85,74.75,73.25,73.65,11990117,76.88116402116401
2020-09-15,73.75,74.35,73.25,73.8,8883209,76.40240860990862
2020-09-16,74.25,74.45,72.55,73.05,10285753,75.86405483405487
2020-09-17,73.05,74.3,72.85,73.15,16070908,75.36335618085614
2020-09-18,73.8,74.8,72.95,74.3,25692290,75.0082647907648
2020-09-21,74,74.1,70.9,71.15,13686791,74.33051948051947
2020-09-22,71,71.3,68.75,69.5,18043170,73.50722462722464
2020-09-23,69.7,70.15,67.4,67.65,17014241,72.51784271284274
2020-09-24,66.05,67.35,65.5,66.65,32950980,71.47409451659446
2020-09-25,68,69.25,66.15,68.9,20235948,70.73669312169312
2020-09-28,69.45,73.7,69.25,71.85,28336618,70.36544612794613
2020-09-29,72.5,72.7,68.9,69.15,20798564,69.75483285233287
2020-09-30,69.4,70.45,67.6,69.25,20069463,69.21257215007216
2020-10-01,67.5,69.4,66.65,69.15,20869336,68.71854377104373
2020-10-05,69,69.7,68.4,69.2,12608190,68.28537999038
2020-10-06,70,70.2,69,69.35,10028722,67.92559764309766
2020-10-07,69.3,73.35,69.1,70.5,50074521,67.73906204906206
2020-10-08,70.9,71,68.25,68.45,21348290,67.37724025974028
2020-10-09,69,70.6,68.25,70.3,25747434,67.27587301587297
2020-10-12,70.3,70.6,68.8,69.15,10564969,67.0911556036556
2020-10-13,69.1,69.75,68.8,69.1,9070869,66.952380952381
2020-10-14,68.5,68.8,66.65,67,24828155,66.6336544011544
