Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,107.45,110.47,107.28,110.24,13586322,
2020-01-02,110.27,110.92,109.6,110.02,5659508,
2020-01-03,109.54,109.85,107.85,108.84,7339873,
2020-01-06,108.27,109.37,106.02,108.89,7336902,
2020-01-07,108.92,109.68,107.79,108.1,13988653,
2020-01-08,107.31,107.68,106.49,107.45,9428128,
2020-01-09,108.24,109.06,107.79,108.81,7695567,
2020-01-10,109.23,109.23,107.71,108.36,4108343,
2020-01-13,108.5,109.96,108.16,109.85,27613432,
2020-01-14,109.85,110.72,109.54,110.1,5979329,
2020-01-15,110.19,110.41,108.78,109.54,7096804,
2020-01-16,109.46,111.49,109.46,110.78,8530963,
2020-01-17,110.5,111.57,109.2,111.32,4686640,
2020-01-20,115.26,118.99,114.62,115.4,49214484,
2020-01-21,114.84,115.21,112.22,113.12,17240701,
2020-01-22,113.06,114.11,108.86,112.81,56645087,
2020-01-23,110.95,116.96,109.34,113.88,225494113,
2020-01-24,110.78,111.74,109.54,111.06,16111300,
2020-01-27,110.75,110.78,108.44,108.84,8193385,
2020-01-28,108.84,108.84,106.64,107.4,9151639,
2020-01-29,107.4,109.29,106.72,108.5,17556092,
2020-01-30,108.5,110.1,107.93,109.62,26320069,
2020-01-31,110.13,110.24,104.38,105.37,63826397,
2020-02-01,105.34,105.34,99.78,102.86,41067966,
2020-02-03,102.01,106.58,100.07,105.65,16288475,
2020-02-04,106.21,110.13,106.02,109.6,14171863,
2020-02-05,109.46,110.36,106.02,106.78,14513968,
2020-02-06,107.12,109.26,106.38,108.78,9152703,
2020-02-07,108.72,108.72,106.33,107.37,18013311,
2020-02-10,107.54,107.76,104.18,105.23,30395631,
2020-02-11,106.3,107.82,106.07,106.86,32375431,
2020-02-12,107.17,108.21,106.33,106.78,16345985,
2020-02-13,106.47,107.79,105.85,107.45,18534661,
2020-02-14,107.43,107.93,103.42,103.82,23771054,
2020-02-17,104.32,104.77,101.81,103.53,17626117,
2020-02-18,102.97,105.09,101.98,104.32,30802680,
2020-02-19,104.89,105.99,103.2,105.73,22257954,
2020-02-20,105.73,107.54,104.83,106.72,25842888,
2020-02-24,106.58,106.69,104.35,104.94,14884148,
2020-02-25,104.94,105.85,104.52,104.97,17762910,
2020-02-26,104.32,106.24,103.73,104.8,17070872,
2020-02-27,104.38,105.85,102.24,105.14,28400866,
2020-02-28,103.45,104.49,101.02,102.35,27940944,
2020-03-02,103.62,105.56,102.49,103.48,19491168,
2020-03-03,103.65,109.79,102.66,108.1,15999208,
2020-03-04,107.54,111.65,106.33,111.12,16896897,
2020-03-05,110.56,112.53,109.71,110.5,9690978,
2020-03-06,107.43,108.61,106.1,107.48,14336052,
2020-03-09,104.27,106.35,100.35,102.04,69435359,
2020-03-11,101.22,103.7,99.95,102.29,42498089,
2020-03-12,99.36,100.32,92.9,93.67,58274357,
2020-03-13,91.8,97.33,84.3,94.68,44505997,
2020-03-16,91.58,91.86,87.41,89.07,39570079,
2020-03-17,88.28,96.06,87.83,91.35,35372451,
2020-03-18,92.48,92.99,68.88,81.29,119609289,96.94679124579125
2020-03-19,81.99,85.66,79,82.98,43929689,94.94483477633487
2020-03-20,83.6,91.27,83.6,88.67,131157223,93.66386748436751
2020-03-23,79.82,87.89,79.82,86.28,39566457,92.20058417508422
2020-03-24,85.74,88.65,81.99,83.06,42197627,90.48654040404037
2020-03-25,83.74,88.51,83.66,84.73,23251410,89.0601551226551
2020-03-26,84.92,91.18,83.04,89.3,25265798,88.22844901394897
2020-03-27,89.44,93.75,88.34,90.23,28811539,87.56142544492555
2020-03-30,87.41,90.17,86.31,87.77,22308426,86.68913588263591
2020-03-31,89.32,91.24,88.2,89.72,24776436,86.09997089947089
2020-04-01,89.66,91.33,86.36,87.18,14146662,85.31030062530057
2020-04-03,87.15,90.48,85.57,88.08,21014161,84.70556204906205
2020-04-07,90.79,91.3,88.2,89.1,24680156,84.28538047138042
2020-04-08,89.04,91.75,87.55,89.3,21427567,83.95651779701781
2020-04-09,90.73,94,89.3,92.74,15568811,84.06393843193848
2020-04-13,92.48,92.99,88.67,90.2,14864023,83.9501103896104
2020-04-15,91.04,92.42,89.35,89.97,25187436,83.8610420875421
2020-04-16,89.21,94,88.82,92.14,31072886,84.06112409812415
2020-04-17,94.54,97.7,92.62,94.6,18490003,84.59510509860515
2020-04-20,95.41,95.41,91.44,93.33,24116601,85.06973376623387
2020-04-21,92.48,93.61,91.44,91.72,13881102,85.45263756613762
