Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,749.08,753.57,742.91,744.94,12974354,
2020-01-02,746.12,760.41,746.12,757.62,16407612,
2020-01-03,756.48,760.75,751.55,758.53,19441144,
2020-01-06,750.07,753.97,739.21,740.94,22715640,
2020-01-07,749.57,757.22,746.86,752.34,15456440,
2020-01-08,747.6,757.2,745.13,746.69,14867482,
2020-01-09,759.25,764.87,755.62,763.88,13880670,
2020-01-10,765.81,768.79,759.76,763.71,11560500,
2020-01-13,762.43,769.16,759.15,761.76,16937600,
2020-01-14,759.94,764.87,750.98,754.71,14653132,
2020-01-15,757.89,759.89,749.2,751.97,14654358,
2020-01-16,754.51,761.59,754.02,758.9,11902928,
2020-01-17,766.6,782.12,766.45,780.17,27296250,
2020-01-20,793.99,793.99,753.23,756.16,30151900,
2020-01-21,754.31,762.82,751.05,756.93,17530838,
2020-01-22,761.91,763.27,755.55,756.66,9563510,
2020-01-23,758.21,760.9,750.41,753.45,10420400,
2020-01-24,753.52,758.14,749.35,750.83,13552432,
2020-01-27,747.55,752.26,742.67,743.43,12402998,
2020-01-28,744.44,745.13,722.24,726.26,22727738,
2020-01-29,727.39,737.43,722.46,730.26,22926300,
2020-01-30,729.84,730.18,710.59,712.44,20754832,
2020-01-31,717.01,717.13,694.41,696.6,32194210,
2020-02-01,693.47,704.15,676.59,682.64,22337818,
2020-02-03,676,690.83,672.62,683.7,28453212,
2020-02-04,690.85,706.89,689.77,703.88,23516760,
2020-02-05,708.07,716.91,705.8,714.79,17113364,
2020-02-06,717.55,723.91,710.64,719.37,14395618,
2020-02-07,716.02,716.68,704.82,707.46,11311148,
2020-02-10,704.67,713.3,696.01,708.42,14028654,
2020-02-11,714.24,723.52,713.08,716.88,12970044,
2020-02-12,718.56,727.79,717.99,725.54,12538088,
2020-02-13,729.22,729.22,721.74,727.44,12567822,
2020-02-14,728.97,740.91,717.05,734.08,19666402,
2020-02-17,734.77,743.23,727.52,729.47,12181930,
2020-02-18,728.31,728.31,719.18,724.11,10308688,
2020-02-19,730.01,743.38,727.91,742.07,13048414,
2020-02-20,738.72,744.15,732.2,733.27,15649738,
2020-02-24,725.27,728.85,710.37,713.03,19798302,
2020-02-25,716.22,716.22,695.79,698.94,25704242,
2020-02-26,695.79,696.95,684.61,686.9,27202936,
2020-02-27,684.93,687.79,675.55,684.07,23212044,
2020-02-28,668.6,669.63,653.84,655.64,36423852,
2020-03-02,668.7,675.55,642.04,649.48,27330552,
2020-03-03,656.16,668.1,652.36,662.65,25383448,
2020-03-04,667.17,668.05,645.4,661.1,20479284,
2020-03-05,667.26,670.1,644.47,647.01,28266162,
2020-03-06,626.7,635.66,612.44,627.2,31252692,
2020-03-09,611.92,612.39,540.35,549.79,81703702,
2020-03-11,546.76,581.53,546.76,569.24,55196824,
2020-03-12,535.41,543.3,517.5,524.55,51854214,
2020-03-13,492.48,562.55,465.04,545.42,67907242,
2020-03-16,523.35,532.79,495.93,501.21,35655570,
2020-03-17,516.78,523.07,495.04,497.41,42105314,
2020-03-18,505.95,511.18,474.22,477.92,41442762,558.2934812409818
2020-03-19,454.04,477.18,440.27,452.85,56887800,538.5754670514674
2020-03-20,463.61,510.69,458.92,502.32,58702450,525.3152840307839
