Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,965,980,961.6,976.4,349251,
2020-01-02,975.7,975.7,966,969.35,335765,
2020-01-03,970,982.8,969,975.1,451217,
2020-01-06,966.1,1003.1,958,983.1,895840,
2020-01-07,990,1003,980,984.9,570304,
2020-01-08,978,992.3,975.2,987.75,368547,
2020-01-09,996.8,998,979.75,988.5,614382,
2020-01-10,989,997,983.3,989,351231,
2020-01-13,993,997.95,980,989.85,332236,
2020-01-14,993,994,984,987.8,369532,
2020-01-15,988,1002,981,998.15,533340,
2020-01-16,1000,1003,992,999.9,465355,
2020-01-17,999.8,1009.8,985.25,996.35,372188,
2020-01-20,1000,1001,975.5,981.5,341082,
2020-01-21,980,987,970.2,972.75,355550,
2020-01-22,980,992.6,972,981.7,1299987,
2020-01-23,985.4,1004,980.2,985.95,1151390,
2020-01-24,986,1020,977,999.8,1388247,
2020-01-27,999.8,1014.7,987.35,992.15,740311,
2020-01-28,993,1007,975.75,987.85,578382,
2020-01-29,992,1012.15,988,1007.8,538017,
2020-01-30,1014,1017,989.3,998.25,561770,
2020-01-31,1005,1006,983.15,994.1,445170,
2020-02-01,998,1012.9,885,893.1,4433306,
2020-02-03,895,921.85,856.65,912.65,4046967,
2020-02-04,912,922.9,896,911.6,2004591,
2020-02-05,913.6,915.8,898.5,910.55,1337410,
2020-02-06,916.1,925,912.05,919.5,1185756,
2020-02-07,920,955.45,915.55,947.3,1642253,
2020-02-10,952,956.25,938,952.8,734151,
2020-02-11,960.45,960.45,935.8,939.75,584552,
2020-02-12,944.75,948.8,925,932.85,925589,
2020-02-13,937,937,916,927.55,551572,
2020-02-14,932.4,932.4,907,914.25,402685,
2020-02-17,915.5,919.45,904,914.4,355839,
2020-02-18,915,921.45,907.1,916.05,901858,
2020-02-19,918.1,942.45,918.1,938.2,786366,
2020-02-20,939.7,945,921.7,928.75,784552,
2020-02-24,923.6,941.5,910,916.6,493211,
2020-02-25,923.5,934.7,891.75,901.2,760359,
2020-02-26,893.8,914.8,881.5,891.35,807168,
2020-02-27,890.8,913.9,875,905.35,821122,
2020-02-28,886,895,875,890.4,1002851,
2020-03-02,895.15,909,878,894.15,629219,
2020-03-03,903.05,914,892.05,899.85,615494,
2020-03-04,902.9,912,877,885.1,769392,
2020-03-05,891.35,901.45,876.55,884.45,1014502,
2020-03-06,865,881.5,848.3,853.95,1436479,
2020-03-09,836.2,861.9,803,825.3,1424660,
2020-03-11,819,847.9,784.15,808.95,1305970,
2020-03-12,761,775.7,700,751.7,2111588,
2020-03-13,665,795,625.1,761.95,2077233,
2020-03-16,701,772.85,661.6,731.55,1588592,
2020-03-17,732,768.5,675,687,1398543,
2020-03-18,695.05,696.95,588.15,596.25,2202109,767.7702176527177
2020-03-19,565,619.9,519.4,607.7,2917031,741.9914369889369
