Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,334.7,335.95,332.15,334.45,17379320,
2020-01-02,334.5,339.85,333.35,339.3,20324236,
2020-01-03,337.95,337.95,332,333.7,21853208,
2020-01-06,331.7,331.7,317.7,319,35645325,
2020-01-07,324.45,327,315.4,318.4,50966826,
2020-01-08,312.1,321.5,311,319.8,44527485,
2020-01-09,326.9,331.4,325,330.2,40348407,
2020-01-10,331,337.95,328.1,332.25,42377838,
2020-01-13,334,335.45,329.05,330.75,23615129,
2020-01-14,329.8,331.7,326.5,328,26296117,
2020-01-15,329,329.2,322.35,324.25,32625740,
2020-01-16,324,326.9,322.35,323.3,26653623,
2020-01-17,313,323.5,310.1,318,58396326,
2020-01-20,321,321.45,313.4,314,30682902,
2020-01-21,313.8,316.95,312,313.7,30591772,
2020-01-22,317,317,313.7,316.15,24994911,
2020-01-23,316,324.8,314.15,323.2,33293610,
2020-01-24,323.5,327.3,321.15,324.05,22706879,
2020-01-27,320.9,322,315.8,316.2,23309355,
2020-01-28,317.95,320,311.05,315.1,26488426,
2020-01-29,317.85,319.7,315.55,316.45,23914114,
2020-01-30,316.75,316.75,305.65,310.7,35802330,
2020-01-31,313.7,321.7,308.6,318.45,92656638,
2020-02-01,317.95,322.65,296.3,302.6,61841736,
2020-02-03,303,306.85,295.35,298.1,56060158,
2020-02-04,302.9,307.55,297.1,306.25,51141567,
2020-02-05,306.9,313.65,304.6,311,35014841,
2020-02-06,311.2,323.5,310.1,321.95,57757656,
2020-02-07,321.5,325,318.4,320.55,37126803,
2020-02-10,319.8,322.8,316.5,318.5,24816396,
2020-02-11,321.05,325.8,321.05,324.35,30188757,
2020-02-12,329.9,329.9,319.25,320.2,38930849,
2020-02-13,322,330.95,322,327.45,62516057,
2020-02-14,328.1,331.9,318.55,319.4,48205947,
2020-02-17,320.95,321.15,311.65,314.2,36950692,
2020-02-18,315.4,319.2,309.4,317.55,38588583,
2020-02-19,322.3,324,317.25,320.35,39846727,
2020-02-20,319.35,329.2,318.75,327.65,40150409,
2020-02-24,325.75,331.3,321.85,322.95,45273936,
2020-02-25,325.9,328.15,322.2,326.8,39050709,
2020-02-26,324.85,330.8,324.2,328.2,43915281,
2020-02-27,328,330,318,321.95,47010040,
2020-02-28,312,314.65,301.1,303,59705346,
2020-03-02,311,312,284.05,287.4,66711413,
2020-03-03,293,294.4,285.3,289.85,61949382,
2020-03-04,291.8,293,275.1,285.3,73675736,
2020-03-05,290.9,298.4,270,288.5,149245973,
2020-03-06,268,274.4,253.95,270.5,106043172,
2020-03-09,260.05,262.75,251.15,253.45,101294751,
2020-03-11,253,258.5,243.1,245.1,90847179,
2020-03-12,231.9,231.9,208.6,212.6,99770256,
2020-03-13,200,248.8,184.65,242,155703140,
2020-03-16,227.9,231.4,220.6,223.35,75584607,
2020-03-17,227.2,229.9,212.05,215.15,65414721,
2020-03-18,221,223.15,200.1,215.2,101405421,249.47156204906196
2020-03-19,202.95,219.75,198.15,203.65,93535977,240.71139730639726
2020-03-20,205.55,215.7,200,209.85,77393021,233.14910173160183
2020-03-23,190,199.5,180.25,181.6,61751758,223.05082972582971
2020-03-24,190.95,191.95,173.55,183.2,67492010,213.7805110630111
2020-03-25,178,195.25,176.45,189.9,71568237,205.8647354497353
2020-03-26,191.55,201,185.1,192.75,107260674,198.89865319865322
2020-03-27,202,211.9,195,195.95,114746995,192.86303391053394
2020-03-30,190,195,186.25,186.9,60083237,186.3962578162578
2020-03-31,192,198.5,188.05,196.85,59543906,181.59243987493988
2020-04-01,194,194.5,185.25,186.55,52954482,176.25154160654165
2020-04-03,187.55,188.2,175,175.5,64455937,170.381424963925
2020-04-07,184.4,187.3,177.6,186.4,72133717,166.36273328523336
2020-04-08,182.9,194.4,180.45,183,80436673,162.63371693121678
2020-04-09,188,190,183.6,187.75,62417301,160.0942207792208
2020-04-13,186.8,188.7,183.1,183.5,51847574,157.7274398749398
2020-04-15,187,191.95,180.15,182.35,72190294,155.78517436267435
2020-04-16,182,189.9,180.25,188.5,61165997,154.97077441077445
2020-04-17,196,198,186.3,193.25,89858053,155.11407888407882
