Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,20375,20489,20287.1,20319.9,4879,
2020-01-02,20320,21279.9,20320,21232.2,31788,
2020-01-03,21200,21398.9,20950,21122.2,19053,
2020-01-06,21124.8,21219.9,20591.4,21064.4,25717,
2020-01-07,21097.2,22050,20951,21963.2,83884,
2020-01-08,21849,22691.7,21710.3,22441.3,68506,
2020-01-09,22521.8,22959.8,22327.2,22814.6,40252,
2020-01-10,22866.5,23409.5,22723.7,23345.4,41458,
2020-01-13,23270,24263.1,23227.1,23829.2,55253,
2020-01-14,23670,23820.2,23424.8,23560,22816,
2020-01-15,23670,23800,23351.5,23728.6,24055,
2020-01-16,23750,24100,23065.7,23290.8,59132,
2020-01-17,23335,23646.4,23205,23325.9,32537,
2020-01-20,23333.2,23508.8,23039.9,23133.1,26423,
2020-01-21,23160.1,23398.7,22831.6,22953.5,29652,
2020-01-22,22960,23299.9,22887,23016.7,28102,
2020-01-23,23016.7,23200,22911.1,23079.1,15181,
2020-01-24,23011.1,23302,22870,23134.7,31218,
2020-01-27,23099.9,23766,22960.2,23598.4,35307,
2020-01-28,23560,23990,23363.1,23442,13422,
2020-01-29,23539.1,23780,23206.1,23506.2,13788,
2020-01-30,23427.3,23649,23279.2,23485.3,18380,
2020-01-31,23627.3,23683,22827.7,23006.9,26041,
2020-02-01,22999.9,23490,22250.2,22416.1,16115,
2020-02-03,22416.1,23354,22410.1,23267.5,19173,
2020-02-04,23400,24659.3,23303.2,24485.4,46295,
2020-02-05,24412.1,25290,24412.1,24893.4,65213,
2020-02-06,25048,25274.9,24750.2,25012.7,35930,
2020-02-07,25020.1,25355,24700,24918.2,15201,
2020-02-10,25000,25149.2,24820.5,24961.7,33336,
2020-02-11,25050,25240.4,24694.3,24813.4,9352,
2020-02-12,24981,25146,24441,24689.9,15946,
2020-02-13,24700,24893.2,24456.3,24616.1,15155,
2020-02-14,24750,24913.1,24178.7,24433.6,44419,
2020-02-17,24320,24445.5,23955,24028.1,14630,
2020-02-18,24000,24000,23300.8,23777.2,39818,
2020-02-19,24850,25199.9,24316.8,24533.2,156489,
2020-02-20,24400,24791.7,24270.7,24407.4,32057,
2020-02-24,24100,24576.1,23684.1,23831.6,29338,
2020-02-25,23831.6,23999,23478.1,23572.1,38362,
2020-02-26,23488.8,23597.3,23153.1,23465.2,34970,
2020-02-27,23549,23927.3,23136.8,23812.6,80008,
2020-02-28,23400,23729,22463.9,22670.9,91009,
2020-03-02,22810,23427.9,22800.3,23042,58063,
2020-03-03,23299.9,23844.9,23050,23593.2,28737,
2020-03-04,23799,23896.5,22801,23256,44423,
2020-03-05,23283,23581.3,23001,23066.2,43550,
2020-03-06,22799.9,23300,22502,23110.4,34236,
2020-03-09,23000.5,23000.9,21712,21860.2,62959,
2020-03-11,21780,22303.9,21578.2,21894.9,50666,
2020-03-12,21006.2,21540,20128.2,20273.5,81474,
2020-03-13,19100.5,21613,18250.5,21308.2,65294,
2020-03-16,20405,21388,18550,20158.1,124718,
2020-03-17,19905.1,20796,19350,20005.5,61210,
2020-03-18,20299,20600,18100,19293.9,447921,21547.928826358824
2020-03-19,17990,19458,16399.9,17731.4,130151,20972.63144781145
2020-03-20,17385,19186.3,17026.8,18903.7,109691,20559.282193362204
2020-03-23,17113,17579.9,16068.2,16959.4,64085,19968.15597883598
2020-03-24,17400,18180.1,16380.5,16980,73476,19418.089345839344
2020-03-25,16800,17947.3,16551.4,17438.2,43063,18955.256483886482
2020-03-26,17450,18050,17107.6,17554.1,68024,18539.881474266473
2020-03-27,17800,18569.6,16836.1,17666.2,56733,18169.743143338157
2020-03-30,17000,17600,16100.7,16935.4,61908,17751.622542087527
2020-03-31,17274.2,17716.9,16917,17546.3,51027,17430.993174603176
2020-04-01,17500,17546.3,16500,16549.7,48939,17036.473155363157
2020-04-03,16661.2,16698.4,15410,15783.8,77720,16596.915411255413
2020-04-07,16090,16850,15882.2,16634.6,92287,16285.936801346808
2020-04-08,16351.2,17031,15918.8,16064,122755,15946.206618566612
2020-04-09,16208,17010,16135,16935.3,92986,15734.274276094278
2020-04-13,16900,17801.3,16222.3,17301.1,86675,15593.898075998073
2020-04-15,17389.1,18547.2,17368,18138.6,125808,15567.995269360265
2020-04-16,18050.2,19348.9,17551.2,18928.9,112627,15649.543780663793
2020-04-17,19400,19731.7,18785.4,18946.8,74780,15754.994050024041
2020-04-20,19025,19338.9,18931.3,18996.9,48069,15885.892760942766
2020-04-21,18900,19000,18237.2,18828.4,43173,16017.2806012506
2020-04-22,18838.4,19620,18611.9,19217.2,70880,16209.98582491582
2020-04-23,19050,19175,18601.1,18707.8,41913,16359.311539201553
