Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,317.4,320.76,314.74,319.87,1495702,
2020-01-02,319.63,323.43,317.16,319.38,3053398,
2020-01-03,319.82,319.82,313.11,314.29,1697781,
2020-01-06,311.38,314.24,306.59,308.27,1691138,
2020-01-07,310.15,315.48,308.17,311.03,2119741,
2020-01-08,308.37,313.45,307.68,312.37,1502855,
2020-01-09,314.15,325.95,313.5,324.52,4249324,
2020-01-10,325.85,339.09,325.01,337.16,9985642,
2020-01-13,338.79,349.51,337.85,348.62,7308506,
2020-01-14,356.07,387.19,353.6,384.82,44445185,
2020-01-15,384.72,391.09,380.27,386.64,24137066,
2020-01-16,387.68,388.18,377.51,379.53,11970014,
2020-01-17,378.99,379.29,371.98,375.63,5428124,
2020-01-20,375.63,380.77,372.47,378.45,7524947,
2020-01-21,377.31,384.62,374.4,381.06,5908036,
2020-01-22,384.08,384.08,377.51,380.32,4097302,
2020-01-23,380.27,394.55,378.69,388.42,10937857,
2020-01-24,389.9,389.9,379.04,379.88,5959506,
2020-01-27,379.09,384.62,375.78,377.71,3689186,
2020-01-28,378.1,382.84,373.61,376.03,2676792,
2020-01-29,380.17,388.47,377.56,378.74,6420913,
2020-01-30,380.96,381.06,375.48,376.92,2269218,
2020-01-31,377.9,381.9,375.33,378.69,2648313,
2020-02-01,378.25,383.73,365.46,368.07,2449470,
2020-02-03,369.16,377.31,362.99,374.2,3277985,
2020-02-04,379.29,379.29,370.94,375.24,5261737,
2020-02-05,377.31,402.99,376.32,389.76,23289911,
2020-02-06,391.14,392.47,382.59,387.24,4924174,
2020-02-07,386.3,399.04,385.76,391.83,11169839,
2020-02-10,393.56,393.56,383.58,387.48,3106661,
2020-02-11,390.15,394.1,384.47,385.8,4120452,
2020-02-12,386.89,391.88,386.79,390.3,3969592,
2020-02-13,389.71,392.97,384.77,387.73,2824918,
2020-02-14,388.18,395.09,385.71,392.03,4675486,
2020-02-17,392.82,396.97,371.24,376.37,9420245,
2020-02-18,375.33,381.75,368.62,377.31,7311888,
