Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,47.3,47.65,46.48,46.78,121005300,
2020-01-02,47.2,48.78,47.2,48.49,216749610,
2020-01-03,48.3,48.62,47.95,48.37,129568630,
2020-01-06,48,48,47.06,47.33,96016080,
2020-01-07,47.55,48.46,47.36,47.61,131957880,
2020-01-08,47.17,47.82,46.7,47.53,133048410,
2020-01-09,48.5,48.6,47.91,48.32,101311520,
2020-01-10,48.55,49.39,48,48.62,159276340,
2020-01-13,49.11,49.7,48.78,49.58,109427500,
2020-01-14,49.65,50.6,49.58,49.86,156608220,
2020-01-15,49.19,50.36,48.92,50.21,121179480,
2020-01-16,50.2,50.41,49.21,49.44,104383690,
2020-01-17,49.33,49.89,49.19,49.53,56824600,
2020-01-20,49.7,49.98,48.92,49.07,72918780,
2020-01-21,48.78,48.78,47.35,47.62,113158030,
2020-01-22,47.87,47.99,47.32,47.51,76621710,
2020-01-23,47.59,48.19,47.32,48.03,72000200,
2020-01-24,48.03,48.51,47.65,48.34,74811300,
2020-01-27,47.78,47.78,46.01,46.25,129631190,
2020-01-28,46,46.2,44.2,44.63,180152830,
2020-01-29,45.28,45.97,44.96,45.22,110818340,
2020-01-30,45.19,45.45,44.14,44.86,146520160,
2020-01-31,45.3,45.43,43.65,43.87,107387270,
2020-02-01,43.15,44,42.01,42.38,129152120,
2020-02-03,41.8,43.9,41.66,43.61,162371260,
2020-02-04,44.2,45.34,43.35,45.19,133362630,
2020-02-05,45.23,47.97,44.8,47.51,160567650,
2020-02-06,47.8,48.73,47.16,47.76,166660740,
2020-02-07,47.57,47.97,46.89,47.1,116499090,
2020-02-10,46.03,46.33,44,44.38,267960480,
2020-02-11,44.84,45.77,44.27,44.41,168243710,
2020-02-12,45,45.45,44.26,44.8,117858580,
2020-02-13,44.88,45.17,43.94,44.13,99652210,
2020-02-14,44.1,44.56,43.34,43.46,94848170,
2020-02-17,43.55,44.09,43.3,43.69,97247650,
2020-02-18,43.4,43.52,42.13,43.14,115024230,
2020-02-19,43.65,43.85,42.82,43.32,84651090,
2020-02-20,42.9,44.77,42.8,44.36,129802370,
2020-02-24,43.49,43.49,41.34,41.55,175231420,
2020-02-25,41.9,42.56,41.44,42.13,145581760,
2020-02-26,41.13,41.94,41.13,41.63,142707060,
2020-02-27,41.49,41.59,40.71,41.28,102263790,
2020-02-28,39.87,39.9,37.5,38.17,245328330,
2020-03-02,39.37,39.4,35.8,36.41,202207720,
2020-03-03,37.35,39.1,37.01,38.76,186489330,
2020-03-04,38.81,38.99,36.51,37.72,229371480,
2020-03-05,38.4,38.78,37.43,37.58,146284680,
2020-03-06,35.7,35.83,34.67,35.15,148481880,
2020-03-09,33.75,33.77,31.98,32.23,204238260,
2020-03-11,32.4,32.6,29.61,29.98,286937090,
2020-03-12,27.5,29.18,26.72,28.75,437677630,
2020-03-13,27,33.21,25.54,32.67,338423100,
2020-03-16,30.4,31.77,28.71,28.96,236064520,
2020-03-17,30,30.77,28.05,28.28,206546030,
2020-03-18,29,29.32,27.57,28.09,187726750,30.982538239538222
2020-03-19,26.9,28.45,26.05,27.19,187232570,29.917973544973528
2020-03-20,27.97,30.5,27.42,29.78,173078820,29.223531986531988
2020-03-23,26.8,27.8,25.36,27.12,121006840,28.309189754689747
2020-03-24,27.71,28.57,25.86,27.19,129288770,27.480030303030304
2020-03-25,26.71,29.5,26.71,28.68,94428340,26.89061038961041
2020-03-26,29,29.55,28.01,28.45,114938370,26.346001443001448
2020-03-27,29.1,29.53,27.42,27.73,111841390,25.79127801827802
2020-03-30,26.7,27.08,25.09,25.41,158537610,25.059057479557474
2020-03-31,26.23,27.25,25.97,26.96,157874110,24.57164646464645
2020-04-01,26.6,26.8,25.81,26.64,119650310,24.121822270322262
2020-04-03,26.77,26.89,25.1,25.38,125280300,23.615676767676753
2020-04-07,26.61,27.77,26.12,27.62,159568730,23.418963443963428
2020-04-08,27.1,29.29,26.67,27.48,204351560,23.269853775853782
2020-04-09,28.05,28.96,27.77,28.49,138557880,23.28950793650794
2020-04-13,28.5,29.2,27.39,28.26,155105980,23.338827561327584
2020-04-15,28.74,29.57,28.19,28.52,209919430,23.455866762866762
2020-04-16,27.6,29.19,27.6,28.89,172488060,23.641963684463697
2020-04-17,29.75,29.97,28.55,29.34,174928840,23.916068542568546
2020-04-20,29.48,29.5,28.51,28.64,119613550,24.147174362674324
2020-04-21,28.01,28.1,26.33,26.6,169254170,24.195575276575262
2020-04-22,26.61,26.99,25.92,26.84,147898570,24.303220779220766
2020-04-23,27,27.9,26.9,27.03,154681220,24.447806878306874
2020-04-24,26.63,27.39,26.45,26.76,123838460,24.56749494949496
2020-04-27,27.4,27.69,27.05,27.17,124108120,24.730530303030285
2020-04-28,27.39,27.54,26.96,27.36,85481340,24.93314670514673
2020-04-29,27.3,28.62,27.13,28.27,198766960,25.23117676767678
2020-04-30,29,30.45,28.87,29.83,236360820,25.685415584415598
2020-05-04,28.5,28.62,27.01,27.36,128921580,25.854324675324673
2020-05-05,27.9,28.24,27.1,27.27,121823550,25.999444684944677
2020-05-06,27.41,28.05,27.21,27.78,95077310,26.19961135161136
2020-05-07,27.55,28.29,27.47,27.59,89584110,26.365149591149578
2020-05-08,28.28,28.4,27.2,27.29,98782130,26.485506493506506
2020-05-11,27.56,28.3,27.5,27.62,109074080,26.637204906204897
2020-05-12,27.33,27.68,26.45,27.4,150403340,26.759002645502658
2020-05-13,28.75,28.8,27.35,27.66,147237480,26.899974987974993
2020-05-14,27.2,27.52,26.73,26.86,107969590,26.932919191919186
2020-05-15,27,27.68,26.88,27.35,149914580,27.008321067821047
2020-05-18,27.41,27.62,26.25,26.66,116160800,26.995667628667626
2020-05-19,27.2,28.04,26.75,27.2,168971730,27.02260533910533
2020-05-20,27.2,28.4,27.01,28.32,144236570,27.1624470899471
2020-05-21,28.39,28.63,27.85,28.37,130358810,27.294234006734005
2020-05-22,27.9,28.03,27.33,27.45,106569110,27.319474025974028
2020-05-26,27.75,28.44,27.7,28.05,121087400,27.404304954304955
2020-05-27,28.22,29.04,27.91,28.8,140075620,27.565408369408352
2020-05-28,29.19,29.86,28.94,29.55,166024620,27.802403559403558
2020-05-29,29.21,29.69,28.79,29.52,131280270,28.029092833092847
2020-06-01,30.2,31.78,30.2,31.52,243846330,28.460087061087055
2020-06-02,31.8,32.35,31.46,31.94,165632670,28.906114478114503
2020-06-03,32.55,32.63,31.51,31.74,103871360,29.30164478114476
2020-06-04,31.69,32.26,31.46,32,112513310,29.69979341029341
2020-06-05,32.58,34.37,32.51,33.9,309184950,30.275100288600296
2020-06-08,34.77,35.08,32.74,33.36,164818090,30.760285714285686
2020-06-09,33.6,34.4,32.89,33.22,149268620,31.199173160173167
2020-06-10,33.11,33.15,32.2,32.4,172188930,31.526779220779233
2020-06-11,32.2,32.35,31.1,31.32,139069850,31.727748436748428
2020-06-12,30,32.05,30,31.76,175580100,31.95700553150553
2020-06-15,31.38,31.5,30.26,30.62,185829270,32.04333068783069
2020-06-16,31.51,32.26,30.13,30.9,234420270,32.14517484367485
2020-06-17,30.72,31.48,30.51,30.82,114474110,32.22338888888888
2020-06-18,30.82,31.92,30.71,31.81,113692780,32.39135425685424
2020-06-19,32.1,32.59,31.73,32.06,151346930,32.56596849446851
2020-06-22,31.98,32.8,31.84,32.57,110313850,32.772913660413636
2020-06-23,32.77,33.35,32.62,33.2,125511540,33.02452284752286
2020-06-24,33.66,33.82,32.48,32.6,207829560,33.18335978835978
2020-06-25,32.2,32.74,32.1,32.31,113457280,33.28700986050985
2020-06-26,32.58,32.99,32.26,32.39,97063350,33.373018999519
2020-06-29,32.3,32.6,31.21,32.09,119611980,33.40397691197691
2020-06-30,32.31,33.77,32.31,32.67,365236470,33.4800331890332
2020-07-01,32.9,32.96,32.03,32.37,104895330,33.50456541606542
2020-07-02,32.71,33.75,32.46,33.49,119719280,33.625585377585395
2020-07-03,33.7,33.7,32.74,32.99,106127300,33.66764694564696
2020-07-06,33.32,34.17,33.03,33.89,141442080,33.78687037037038
2020-07-07,33.88,33.89,32.81,33.03,108395210,33.79423472823473
2020-07-08,33.28,34.64,33.2,33.42,215611680,33.82720947570948
