Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,2168,2183.9,2154,2167.6,1354908,
2020-01-02,2179.95,2179.95,2149.2,2157.65,2380752,
2020-01-03,2164,2223,2164,2200.65,4655761,
2020-01-06,2205,2225.95,2187.9,2200.45,3023209,
2020-01-07,2200.5,2214.65,2183.8,2205.85,2429317,
2020-01-08,2205,2260,2202.05,2255.25,5197454,
2020-01-09,2248.75,2251.95,2210,2214.35,3734173,
2020-01-10,2228,2234,2208,2213.55,1915807,
2020-01-13,2217.85,2218.95,2184.7,2190.35,2843893,
2020-01-14,2195,2229.8,2195,2206.9,2948452,
2020-01-15,2213,2231,2194.2,2226.9,2620681,
2020-01-16,2226.95,2249,2215,2238.8,3117214,
2020-01-17,2240.75,2253.55,2213,2219.1,3281059,
2020-01-20,2194.9,2242.2,2156.2,2170.35,5817599,
2020-01-21,2169.95,2186.55,2158.05,2171.05,1902980,
2020-01-22,2181,2210,2173.7,2206.9,1773686,
2020-01-23,2209.8,2217.75,2183.7,2190.95,2069866,
2020-01-24,2190.95,2190.95,2170,2183.4,1319430,
2020-01-27,2189.7,2193.45,2165,2169.25,1549101,
2020-01-28,2174,2187.8,2152,2183.75,1743024,
2020-01-29,2185,2186.95,2150,2154.6,2306761,
2020-01-30,2160,2165,2125,2137.85,2098567,
2020-01-31,2139.4,2144.35,2071.6,2079.05,3287223,
2020-02-01,2079.5,2180.7,2063.6,2164.85,3319716,
2020-02-03,2152,2194.7,2093.2,2102.5,4728073,
2020-02-04,2129,2136.7,2086.6,2107.75,3509339,
2020-02-05,2115,2156.7,2104.3,2146.55,2439322,
2020-02-06,2145,2174.2,2115.5,2128.35,2640065,
2020-02-07,2139,2151,2119,2136.55,2083442,
2020-02-10,2140.9,2167,2119,2161.95,2383032,
2020-02-11,2163,2174.8,2147.6,2153.4,1335820,
2020-02-12,2151.1,2185,2150,2170.75,1620407,
2020-02-13,2172.95,2197,2171,2191.95,1645948,
2020-02-14,2188,2212,2171,2184.2,1500115,
2020-02-17,2196.95,2217,2190.2,2203.25,1774724,
2020-02-18,2199.95,2221,2186.05,2215.75,2486223,
2020-02-19,2215.75,2230,2190.5,2196.35,1760463,
2020-02-20,2204.5,2214.4,2151.25,2156.8,2317278,
2020-02-24,2156,2178.95,2106.7,2115.35,3092877,
2020-02-25,2115.5,2176.65,2111,2156.15,2674567,
2020-02-26,2154,2163.9,2112.95,2123.6,2686842,
2020-02-27,2119.95,2119.95,2086.2,2105.5,2349001,
2020-02-28,2068,2069.5,1990,2000.15,4298076,
2020-03-02,2035,2053.95,1985.7,2001.3,2667076,
2020-03-03,2020,2060,2012,2036.2,2757585,
2020-03-04,2056,2094.45,2025,2083.2,3237002,
2020-03-05,2085.7,2147.75,2084.05,2125.05,3937056,
2020-03-06,2098,2123.65,2071.6,2116.45,2595027,
2020-03-09,2075,2079.9,1935,1972.35,4940982,
2020-03-11,1933,1987.3,1920,1953.7,6796752,
2020-03-12,1904,1908.4,1758.35,1769.85,8728972,
2020-03-13,1687.9,1820,1506.05,1806.3,8029725,
2020-03-16,1755,1842.25,1675.85,1696.4,7844420,
2020-03-17,1730,1731,1623.15,1658,5713269,
2020-03-18,1676.8,1713.55,1627.75,1654.4,7259111,1870.5127681577687
2020-03-19,1559.7,1685.45,1546.75,1636.35,5135162,1829.4792520442522
2020-03-20,1630,1869,1627,1797.45,8547645,1808.008043530543
2020-03-23,1620,1750,1617.75,1669.7,7003558,1774.5440103415096
2020-03-24,1653.05,1770,1632.85,1703.15,6354209,1746.8783922558932
2020-03-25,1700,1810,1680,1750.3,2765527,1726.4157118807125
2020-03-26,1831.6,1832.05,1722.55,1790.95,4556071,1712.349349446849
2020-03-27,1820,1850,1750.4,1824.5,4331310,1703.6568241943226
2020-03-30,1766,1905,1763.55,1778.5,8513608,1691.7865464165466
2020-03-31,1837.4,1855,1780,1826.1,3927593,1687.0472607022616
2020-04-01,1825.9,1834.75,1702,1708.75,4941898,1671.4572294372297
2020-04-03,1740,1740,1650,1654.2,5735529,1652.0697162097156
2020-04-07,1710,1785.85,1705,1775.2,5427965,1647.7145526695508
2020-04-08,1760,1806,1701,1705.45,6285616,1637.6007443482463
2020-04-09,1750.45,1778.8,1731.2,1766.15,5307649,1635.8694023569026
2020-04-13,1761,1787,1746,1759.25,2990478,1634.9318097643095
2020-04-15,1785,1812,1727.8,1735.15,4761401,1632.4192748917742
2020-04-16,1709.95,1764.9,1675.05,1716.05,6245583,1628.9621813371805
2020-04-17,1800,1851.95,1753,1806.2,9895825,1636.5495550745557
2020-04-20,1830,1830,1802.5,1818.65,3244293,1646.6915307840302
2020-04-21,1765,1794.6,1727.7,1737.65,5122606,1649.5484367484366
2020-04-22,1737.65,1790,1719.15,1769.5,3829839,1657.5324001924005
2020-04-23,1780,1900,1760.85,1878.25,5934424,1677.9913648388638
2020-04-24,1840.7,1851.95,1807.8,1818.55,2987150,1692.2845358345357
2020-04-27,1832.3,1875,1825,1836.6,3374747,1708.084807599808
2020-04-28,1865,1868,1832.6,1859.05,2678512,1725.9169696969705
2020-04-29,1874,1912.55,1850.05,1905.65,4241579,1747.7233225108243
2020-04-30,1980,2032,1942.2,2014.45,5915950,1779.7452669552656
2020-05-04,1966,1966,1913.65,1930.45,3729409,1800.7764057239046
2020-05-05,1955.1,1977,1927,1932.75,2905541,1820.369381914382
2020-05-06,1939.8,1953.7,1893.6,1903.6,3517432,1835.990933140932
