Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,766,766.8,760.35,762.1,746371,
2020-01-02,762.1,769.15,761,766.05,1133488,
2020-01-03,766,779.9,763.55,775.1,2121704,
2020-01-06,774.85,778.8,768.15,770.4,1734439,
2020-01-07,770,778.5,760.6,777.1,1937143,
2020-01-08,770.1,784.9,767.1,769.8,2596664,
2020-01-09,770.5,776.45,762.2,773.65,1678891,
2020-01-10,779,781.9,772.45,776.25,1105725,
2020-01-13,779.9,788.7,775.05,785.85,1393509,
2020-01-14,785.85,797.8,783.7,796.25,1628535,
2020-01-15,796.15,803.65,788.5,795.15,1759644,
2020-01-16,793,795.7,781.1,782.85,1110008,
2020-01-17,783.5,786.75,775.5,778.45,989312,
2020-01-20,778.5,785.45,774.55,778.2,1620105,
2020-01-21,777.25,783.4,775,778.9,976954,
2020-01-22,780,790.45,776.2,778.75,1192201,
2020-01-23,777.25,780.45,766.9,768.95,2018777,
2020-01-24,765.1,788.75,763.3,787.3,2364265,
2020-01-27,786,796.25,779.65,791.5,1175606,
2020-01-28,792.5,795.75,784.6,794.25,1506685,
2020-01-29,796.9,807.2,793.55,804.15,2565136,
2020-01-30,805.6,807.95,784,791.35,2493688,
2020-01-31,796.85,802.5,783,796.6,3081521,
2020-02-01,796.95,812,765.7,807.55,6476968,
2020-02-03,808,818.7,790.5,793.15,3383074,
2020-02-04,794.3,813,794.3,811.1,1779834,
2020-02-05,810,816,807,814.05,1613898,
2020-02-06,812.7,825.95,810.05,817.7,1553656,
2020-02-07,817.7,825.45,814.25,824.45,1397438,
2020-02-10,827,827.1,811.5,813.65,1098971,
2020-02-11,813,821.85,811.05,819.95,1143705,
2020-02-12,820,826.45,816.8,821.5,1394424,
2020-02-13,822.8,830,814.35,828,1737974,
2020-02-14,827,838,825.05,834.15,2143044,
2020-02-17,835.95,837,827.45,833.25,793328,
2020-02-18,825.35,840,825.35,838.8,1507814,
2020-02-19,839,844.85,836.05,840.9,881874,
2020-02-20,840.15,845.9,826.95,829.6,1066232,
2020-02-24,828.95,843.9,815.75,820.1,2917544,
2020-02-25,822,826.8,809.05,822.1,2479975,
2020-02-26,820,825.5,808.2,811.45,2212784,
2020-02-27,807,819.7,800.2,809.15,1907768,
2020-02-28,789.8,808,732.05,744.4,5959364,
2020-03-02,742,754.45,734.4,744.55,3784522,
2020-03-03,750,757.65,742.1,752.3,2168900,
2020-03-04,754,774.85,748,771.3,2685540,
2020-03-05,769.95,784,752.35,756.1,2126955,
2020-03-06,746.1,749.75,731.4,740.4,2004893,
2020-03-09,715,730,696.55,704.8,3429034,
2020-03-11,681,713.9,666,708.55,4626235,
2020-03-12,676,690,637.1,649.85,3796969,
2020-03-13,603.25,670,525.9,655.95,4553639,
2020-03-16,634.8,634.8,591,603.4,6499358,
2020-03-17,600,617.95,583.3,595.45,3333751,
2020-03-18,600,611.25,570.65,579.65,3548532,683.0594757094757
2020-03-19,549.65,577.65,523,530,4932164,658.742105579606
2020-03-20,525.1,595.45,525.1,576.35,6316078,640.7980291005291
2020-03-23,540,542,471.4,487.2,2912769,614.4345406445407
2020-03-24,487,533.95,487,503.5,4082147,591.3911147186143
2020-03-25,509,542.85,507.05,526.7,3664272,572.3426310726312
2020-03-26,539.35,564.9,513,515.2,5979874,553.4935870610872
2020-03-27,525,538.8,498,504.1,4672189,534.9774987974988
2020-03-30,494,532.35,485.65,526.8,4138338,520.4600553150552
2020-03-31,537,575.25,527.85,565.5,3652957,511.5778535353535
2020-04-01,560,560.3,510,511.2,4114437,498.19185305435303
2020-04-03,513.75,533.15,510.1,520.9,5826215,487.3446969696972
2020-04-07,536.5,557.65,535.75,549.85,3532484,481.00431096681143
2020-04-08,539.95,569.8,537,558.9,4113059,476.9227453102452
2020-04-09,570,582.7,537.55,545.25,5917546,472.57235810485827
2020-04-13,551,551,521.75,526.85,3822647,467.4955723905722
2020-04-15,528,548.6,528,538.65,6316300,464.67046176046176
2020-04-16,527,530,508.35,517.65,7001494,460.5288600288601
2020-04-17,529.1,532,500,509.85,10839905,456.62989658489664
2020-04-20,517.95,531.9,512,524.85,4549099,455.5412469937469
2020-04-21,511,520,505.9,512.95,2950307,454.2279930254929
