Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,1194.45,1199,1152.2,1154.75,3137636,
2020-01-02,1157,1159.9,1140,1155.6,3286436,
2020-01-03,1156,1156,1132,1139.7,2695237,
2020-01-06,1162,1171.4,1150.1,1158.6,4494752,
2020-01-07,1170.95,1173.85,1152.05,1159.95,2363578,
2020-01-08,1145,1156.3,1138,1143.3,2370166,
2020-01-09,1155,1168,1148.5,1163.45,1764131,
2020-01-10,1167,1170.7,1150.75,1154.05,1517311,
2020-01-13,1155,1162.45,1148.5,1158.95,1135936,
2020-01-14,1162,1168.65,1157.15,1167.1,1324743,
2020-01-15,1173.5,1191.5,1170.6,1184.85,2665214,
2020-01-16,1184.85,1195.5,1174.1,1192.9,1644541,
2020-01-17,1194.8,1196.85,1184,1188.75,1034774,
2020-01-20,1190,1195,1179.1,1187.85,1139858,
2020-01-21,1183.45,1183.9,1161,1176.2,925998,
2020-01-22,1181.8,1185.95,1172,1177.65,902471,
2020-01-23,1176,1206.65,1175,1204.1,2101116,
2020-01-24,1208.9,1230,1206.05,1227.85,2841654,
2020-01-27,1228,1240.35,1208.85,1213.8,2332864,
2020-01-28,1215,1223.5,1188.3,1195,1703068,
2020-01-29,1198.5,1207.9,1181.6,1186.2,1380266,
2020-01-30,1191,1191.5,1176.2,1179.25,1859283,
2020-01-31,1185.5,1194.8,1180,1187.75,1809101,
2020-02-01,1186.85,1218,1165.6,1173.25,1557085,
2020-02-03,1170,1192.3,1162.55,1186.4,3595537,
2020-02-04,1195,1287.8,1185,1275.8,7875930,
2020-02-05,1284.75,1297.7,1255,1279.85,5459816,
2020-02-06,1284.95,1294.2,1252.05,1259.3,2463971,
2020-02-07,1264.05,1279.5,1258.4,1275,2277867,
2020-02-10,1270.9,1275,1253.35,1257.2,1021943,
2020-02-11,1263,1278.9,1258.55,1270.7,1351413,
2020-02-12,1276.95,1288.95,1265.85,1269,1195516,
2020-02-13,1270,1308,1270,1298.1,4458645,
2020-02-14,1306.95,1310.7,1290,1293.45,1416212,
2020-02-17,1293.05,1321.6,1288.35,1316.05,2347399,
2020-02-18,1314,1318.9,1301.25,1311,1761012,
2020-02-19,1317,1332.9,1312.05,1329.6,1445826,
2020-02-20,1330,1341.05,1320,1322.85,1513648,
2020-02-24,1310,1317.8,1273.85,1279.9,1341317,
2020-02-25,1285,1286.75,1256.8,1260.1,1358874,
2020-02-26,1256,1267,1245.1,1255.1,1506693,
2020-02-27,1250,1286,1250,1277.9,4569014,
2020-02-28,1255,1270.7,1235.65,1254.5,2728105,
2020-03-02,1275,1294,1228,1244.15,2773593,
2020-03-03,1248.2,1272,1225,1247,2660100,
2020-03-04,1251.95,1265.65,1217.3,1250.95,3007393,
2020-03-05,1253.5,1265.15,1242.2,1259.15,1555538,
2020-03-06,1229,1246.95,1219.7,1242.6,1678642,
2020-03-09,1225,1241.85,1175,1203.45,2285790,
2020-03-11,1197.95,1213.35,1177.55,1187.65,2314388,
2020-03-12,1150,1153.95,1064.65,1076.75,3609158,
2020-03-13,1055.6,1134.7,946.05,1084.35,4337351,
2020-03-16,1049.95,1049.95,983,1011.35,3443945,
2020-03-17,1005,1038,977.8,1001,2985174,
2020-03-18,1028,1028,921,930.75,5508581,1148.7820538720546
2020-03-19,879.95,924.4,839.75,903.5,4838553,1113.945812890813
2020-03-20,906.1,934,866,904.9,4407659,1081.0620310245304
2020-03-23,839.65,841.05,771.25,800.95,4960949,1038.7419781144786
2020-03-24,805.25,857.85,720.9,816.1,5404961,1000.3106216931219
2020-03-25,799,897.7,784.8,880.8,3564864,970.9853018278018
2020-03-26,895,947.8,872.3,928.3,3635282,948.775937950938
2020-03-27,960,965,896,937.05,2999839,929.2964742664733
2020-03-30,861,959,861,943.65,2901443,912.3824314574322
2020-03-31,967,971.7,923.75,933.7,3811980,896.2093446368447
2020-04-01,929.7,950,902,936.05,2935941,882.2364862914865
2020-04-03,930,930.05,855.95,862.8,4951957,862.3119420394426
2020-04-07,900.1,954.95,892.3,947.45,4186589,853.4547955747946
2020-04-08,935,966.4,893.4,913.45,5506041,842.4496416546417
2020-04-09,931.65,1044,917.35,1013.85,8532888,843.8305363155366
2020-04-13,1014.5,1014.5,943.2,966.85,4399276,841.4598196248198
2020-04-15,990,990,937.2,952.05,5502744,838.8894047619051
2020-04-16,929,999,915,985.25,6251881,841.2751418951414
2020-04-17,1001.1,1017.7,956.3,975.5,5761685,843.8590464165466
2020-04-20,975.5,982.2,957,975.5,2557331,847.7364947089952
2020-04-21,958,962.2,932.45,936.7,3717573,848.802853535353
2020-04-22,936.7,955.25,922.55,951.4,2779272,852.8950036075034
2020-04-23,922.25,935.5,905,912.6,7009198,854.0111411736407
2020-04-24,910,926.9,893.1,906.05,4693092,855.7076346801348
2020-04-27,914.2,938,912.05,927.75,3816089,860.4493807118819
2020-04-28,930.35,940,917,932.85,2548183,866.4067111592108
2020-04-29,932,933.6,918,925.4,2514936,871.8165283790281
2020-04-30,935.2,978.95,929,970.05,4336428,882.1827417027414
2020-05-04,928.5,929,886,891.85,4201102,883.7612782587786
2020-05-05,905,908.85,877,886.95,5214901,884.6378511303526
2020-05-06,887,891.95,861.25,876.45,3713855,884.2324170274165
2020-05-07,878.5,878.5,846.4,849.1,4744736,880.2499146224137
2020-05-08,857,862.5,830.3,832.85,4751920,874.0779713804715
2020-05-11,848.45,851.4,824,829.6,3704305,867.5283032708031
2020-05-12,827,851,822.25,846.45,5287713,863.0019937469942
2020-05-13,874.95,883.95,856,860.45,3599379,860.1647895622893
2020-05-14,855,856,841.25,846,2161537,855.923738576238
2020-05-15,846,859.8,842,845.6,2131038,851.801903559404
2020-05-18,841.5,845,810,817.3,4634794,844.8122113997114
2020-05-19,827.3,844.15,818.15,826.8,3072505,838.7528379028379
2020-05-20,824,854,818.6,848.7,3403474,835.3840319865321
2020-05-21,854,860,843.9,849.85,2217566,832.2138900913898
2020-05-22,844.9,855.95,837.9,849.65,1955678,829.6268951418955
2020-05-26,856,896.95,855.15,892.75,5625238,831.9997787397782
2020-05-27,884.9,890.75,868.5,885.85,3925289,833.71223063973
2020-05-28,885.85,904.1,875,899.45,3441163,837.1750889850894
2020-05-29,895.45,898,875,890,4140190,839.8021464646466
2020-06-01,898.5,979,898.5,958.9,9822939,850.0293446368449
2020-06-02,958.9,984,946.35,976.15,4518777,861.7923292448287
2020-06-03,989,1005,979.7,984.35,4194259,874.129913419913
2020-06-04,970.1,977.45,942.35,971.25,5293712,884.542023809524
2020-06-05,977,995,967,990.95,3136141,896.5793554593562
2020-06-08,1009,1050,1006.05,1025,7033697,911.8747955747954
2020-06-09,1037,1047,989.25,997.1,17284462,923.6548448773441
2020-06-10,997.1,1008.95,970.85,977.25,5972031,932.9194901394893
2020-06-11,976,976,949.1,951.25,4955843,939.3449037999045
2020-06-12,910.05,984.8,901,977.7,6968388,948.3032720057724
2020-06-15,979.95,986.55,945,948.4,3823675,953.6903775853779
