Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,4060,4071.95,4045,4065,163949,
2020-01-02,4069.9,4256.3,4068.15,4244.8,1458328,
2020-01-03,4237,4258,4185.85,4219.2,635983,
2020-01-06,4191,4199.75,4131,4157.1,462841,
2020-01-07,4199.55,4254,4164.05,4242.1,524372,
2020-01-08,4224.85,4332,4183.8,4318.95,1032268,
2020-01-09,4337,4400,4331.6,4388,698429,
2020-01-10,4388.1,4464.05,4366.9,4444.6,735887,
2020-01-13,4457.55,4492,4450.05,4468.7,403937,
2020-01-14,4465,4502.95,4422.7,4483.3,438651,
2020-01-15,4451.05,4525.25,4410,4506.5,416924,
2020-01-16,4520,4554.9,4433.25,4472.35,467980,
2020-01-17,4440,4522.4,4411.3,4486.75,360682,
2020-01-20,4500,4509.45,4452,4467.65,204026,
2020-01-21,4455,4520,4440,4483.55,283173,
2020-01-22,4505,4540,4463,4476.95,359444,
2020-01-23,4470,4540,4446.05,4526.4,401079,
2020-01-24,4554,4679.7,4452.65,4642.75,2127667,
2020-01-27,4624.9,4754.1,4622,4676.95,1058884,
2020-01-28,4670,4715.8,4584.5,4609.05,711517,
2020-01-29,4625,4653.5,4559.5,4568.2,595287,
2020-01-30,4569,4588.5,4464.15,4486,422335,
2020-01-31,4502.3,4507.3,4405,4416.1,451630,
2020-02-01,4422,4538.9,4194.7,4265.25,735487,
2020-02-03,4265,4386.85,4236.15,4370.65,537373,
2020-02-04,4394.95,4498.85,4379.05,4474.25,387466,
2020-02-05,4477,4528.6,4397.6,4471.8,521783,
2020-02-06,4480,4519.05,4442,4464.9,385744,
2020-02-07,4476.4,4547,4449.65,4471.8,547874,
2020-02-10,4487,4492.6,4390.75,4413.75,271700,
2020-02-11,4447.7,4519.5,4433,4466.45,296451,
2020-02-12,4492.7,4492.7,4439.95,4453.75,323821,
2020-02-13,4439.95,4473.15,4415,4450.5,186493,
2020-02-14,4469,4538.95,4393.05,4434.35,665316,
2020-02-17,4443.9,4465,4401.1,4449.85,354909,
2020-02-18,4433.6,4488.2,4370.1,4475.7,510062,
2020-02-19,4494,4530,4455,4473.1,384898,
2020-02-20,4450,4508,4420,4428.1,414088,
2020-02-24,4415,4455,4320,4395,383261,
