Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,561.16,565.47,557.03,564.27,691429,
2020-01-02,565.47,572.86,560.39,571.18,1331622,
2020-01-03,567.39,569.98,563.36,566.67,1020587,
2020-01-06,564.99,564.99,555.4,561.11,1168565,
2020-01-07,561.11,579.38,559.29,570.8,4074104,
2020-01-08,561.88,578.42,560.77,576.36,2005629,
2020-01-09,577.46,589.84,573.87,579.91,2681300,
2020-01-10,582.26,583.7,570.8,575.83,1843368,
2020-01-13,579.38,581.06,565.95,567.82,2086349,
2020-01-14,569.02,570.65,555.59,559.77,2793075,
2020-01-15,560.2,565.47,550.41,561.92,3279919,
2020-01-16,563.17,567.68,558.38,564.13,1635818,
2020-01-17,565.91,573,562.02,565.23,1739839,
2020-01-20,565.95,566.77,556.89,560.77,2327006,
2020-01-21,559.05,559.05,548.88,554.15,4594284,
2020-01-22,559.09,559.09,530.85,540.01,7149980,
2020-01-23,537.18,541.54,518.28,520.1,4349083,
2020-01-24,518.95,541.49,518.95,521.16,7801176,
2020-01-27,523.17,527.68,513.2,515.35,4110845,
2020-01-28,516.31,525.67,511.47,515.07,3877650,
2020-01-29,521.73,523.65,515.16,520.05,2093419,
2020-01-30,519.86,528.88,517.13,521.97,3371420,
2020-01-31,525.14,526.62,503.6,505.09,4163147,
2020-02-01,506.48,512.19,478.37,483.12,2636365,
2020-02-03,486.1,496.41,484.42,492.38,2889496,
2020-02-04,495.88,504.51,494.01,501.3,2161342,
2020-02-05,503.7,520.2,500.29,515.55,2978540,
2020-02-06,515.16,522.98,511.85,514.97,1968488,
2020-02-07,517.03,532.81,516.36,520.96,5469888,
2020-02-10,547.06,555.98,533.05,550.7,14726512,
2020-02-11,550.99,560.97,546.67,553.15,4889697,
2020-02-12,554.87,559.24,547.2,550.51,3143463,
2020-02-13,548.69,559.14,539.96,555.16,2783914,
2020-02-14,555.98,576.89,554.54,567.54,5960243,
2020-02-17,568.83,575.35,567.06,570.75,2319832,
2020-02-18,567.87,567.87,550.61,561.35,2851185,
2020-02-19,565.86,569.65,557.61,561.35,2727691,
2020-02-20,562.12,571.95,557.03,560.53,1729504,
2020-02-24,563.03,566.67,546.86,549.89,1894782,
2020-02-25,549.93,554.11,539.19,543.27,2793784,
2020-02-26,542.74,546.58,533.34,540.05,2767530,
2020-02-27,538.66,538.66,526.48,528.4,1600102,
2020-02-28,520.87,524.32,493.05,498.52,2853302,
2020-03-02,505.52,519.53,488.83,493.39,1829848,
2020-03-03,498.71,505.19,491.66,500.29,2398077,
2020-03-04,503.6,511.85,477.8,490.75,3873082,
2020-03-05,497.75,507.44,492.09,495.02,2680324,
2020-03-06,478.66,495.78,471.32,492.67,3421664,
2020-03-09,484.08,498.71,474.49,492.09,4285692,
2020-03-11,478.23,502.12,477.32,495.88,5428428,
