Date,Open,High,Low,Close,Volume,HMA55
2020-01-01,123.25,124.33,123.1,123.85,2827732,
2020-01-02,123.3,124.95,123.18,124.15,2887932,
2020-01-03,124.75,126.35,123.68,125.55,6762808,
2020-01-06,125.5,127.23,125.08,126.08,9133390,
2020-01-07,126.63,128.18,125.1,127.6,8805574,
2020-01-08,127,128.07,126.28,127.4,5588820,
2020-01-09,127.13,128.25,126.33,126.83,4990046,
2020-01-10,126.98,127.6,125.5,125.88,4113154,
2020-01-13,127,128.95,126.43,127.4,13927198,
2020-01-14,128.43,129.18,127.28,128.6,14593554,
2020-01-15,127,128,123.3,124.13,20280902,
2020-01-16,124,126.3,123.5,125.23,17623672,
2020-01-17,126,126.95,124.83,125.55,8281636,
2020-01-20,125.4,125.4,123.6,124,3817166,
2020-01-21,123.95,124.1,123,123.55,3015884,
2020-01-22,124.3,125.98,122.7,122.93,6800848,
2020-01-23,123.23,124.55,122.68,124.35,3393088,
2020-01-24,124.33,124.73,123.13,123.8,3421554,
2020-01-27,123.95,123.95,122.38,122.68,3306994,
2020-01-28,122.95,123.05,120.9,122.03,4272362,
2020-01-29,122.3,123.7,121.63,123.38,4009378,
2020-01-30,123.8,123.8,120.1,120.35,4294930,
2020-01-31,119,119.58,117.5,118.4,11107276,
2020-02-01,118.25,119.68,117.15,118.4,4201126,
2020-02-03,118.85,120.08,117.63,118.7,8463660,
2020-02-04,119.5,120.63,118.95,120.13,6329512,
2020-02-05,120.8,121.5,118.65,121.13,7751206,
2020-02-06,121.38,122.98,120.83,121.83,6112396,
2020-02-07,123.5,123.5,121.48,121.98,5519024,
2020-02-10,122.7,122.83,119.73,120.45,4517992,
2020-02-11,120.28,121.45,119.9,120.63,5460620,
2020-02-12,120.85,123.58,120.85,122.23,6838800,
2020-02-13,122.9,122.9,121.25,121.88,4829910,
2020-02-14,121.9,122.68,121,121.45,3619586,
2020-02-17,121.45,122.5,120.98,121.9,2035556,
2020-02-18,121.88,122.43,120.63,122.03,2505274,
2020-02-19,122.25,124.18,122.25,123.8,3570768,
2020-02-20,124,124.28,122.55,122.85,4241614,
2020-02-24,122.5,123.9,121.2,122.1,7043950,
2020-02-25,122.08,123.33,121.23,122.05,5059572,
2020-02-26,121.53,121.73,119.2,119.95,7988388,
2020-02-27,119.48,119.48,115.25,115.8,9733628,
2020-02-28,114.25,114.75,109.85,110.73,11274618,
2020-03-02,112.9,113.5,109.2,110.4,11532350,
2020-03-03,112,112.9,110.3,111.85,10346226,
2020-03-04,112.45,114.88,111.23,114.43,9036356,
2020-03-05,114.53,116.95,114.33,114.85,5941556,
2020-03-06,112.5,113,111.28,111.78,5868566,
2020-03-09,110.1,110.5,106.5,107.2,17462228,
2020-03-11,101.85,107.2,101.85,106.55,12270332,
2020-03-12,102,103.48,98.75,99.55,10764010,
2020-03-13,99.5,102.23,84.63,98.7,13043398,
2020-03-16,96.98,96.98,89.28,89.88,11201156,
2020-03-17,89.28,92.78,85.38,86.55,12175772,
2020-03-18,88.35,89.25,84.25,84.98,12734392,100.60080086580084
2020-03-19,82.5,85.68,79.7,81.18,11981284,97.40691726791727
2020-03-20,81.55,92.9,81.25,89.6,20320140,95.30334175084182
2020-03-23,82.5,88.5,82.5,85.08,10720786,92.85627296777295
2020-03-24,84.25,90.88,84.03,88.18,12075734,90.90316305916309
2020-03-25,88.7,94,85.1,87.33,13456552,89.01453006252999
2020-03-26,88.48,93.4,86.25,91.3,10248714,87.70790909090904
2020-03-27,91.58,94.75,90.75,91.75,13535120,86.58558465608465
2020-03-30,90.55,93.7,89.68,92.08,7335606,85.63536195286194
2020-03-31,93.5,99.9,92.83,98.35,10615356,85.49344252044251
2020-04-01,97.85,97.85,93.5,94.75,9875672,85.08160125060124
2020-04-03,94,94.8,88.88,90,13147474,84.28752813852813
2020-04-07,94.13,96.35,91.53,95.95,9562888,84.27863395863396
2020-04-08,95.75,100,94.4,96.45,10275308,84.44239345839352
2020-04-09,99.2,101.48,97.53,98.35,6931662,84.91516690716699
2020-04-13,99,99,91.45,94.6,12386446,85.06182683982684
2020-04-15,95.03,96.8,92.9,93.28,22653200,85.13360341510344
2020-04-16,90,94.88,90,93.93,43380912,85.34635161135165
2020-04-17,96.25,96.88,92.78,93.5,13212906,85.58808994708986
2020-04-20,94.5,94.5,90.08,90.55,16203326,85.60482227032226
2020-04-21,89.5,89.95,86.9,89.03,18086638,85.5664052429052
2020-04-22,88.5,89.75,87.53,89.28,10623280,85.65371572871565
2020-04-23,89.7,91.3,88.55,90.45,11110840,85.93905531505534
2020-04-24,89.98,90.4,88.58,88.88,9282280,86.1219502164502
2020-04-27,90,91.45,87.75,91.03,18283270,86.57248845598842
2020-04-28,91.05,91.48,89,89.85,13329834,86.91940740740746
2020-04-29,90.05,91.23,89.7,90.33,10061800,87.29917989417994
2020-04-30,92.5,96.3,91.78,95.48,17667864,88.19138744588747
2020-05-04,92.25,95.65,91.53,95.03,17140750,88.96316931216933
2020-05-05,95.73,97,91.1,92.1,13865178,89.33033958633959
2020-05-06,92.85,94,90.5,93.53,10885586,89.81809403559409
2020-05-07,92,92.7,90.6,92.05,11402188,90.08508754208748
2020-05-08,92.6,93,91.28,92,8227494,90.30768927368932
2020-05-11,92.5,94.98,92.05,92.35,8787856,90.52345214045212
2020-05-12,92.1,94,91.3,93.53,7031358,90.84091269841264
2020-05-13,95.75,95.75,92.58,94.85,10561096,91.27225396825393
2020-05-14,92.38,93.68,91.55,93,10324660,91.47315993265995
2020-05-15,93,93,91.33,91.9,6850342,91.565664983165
2020-05-18,91.03,92.5,89.8,91.1,14455374,91.56682082732083
2020-05-19,91.13,93,89,92.2,11486688,91.65939682539684
2020-05-20,92.5,92.95,91.1,92.48,15415906,91.78239850889852
2020-05-21,91.7,95.85,91.7,94.55,14258794,92.12898989898987
2020-05-22,94.53,95.43,93.23,94.5,9177662,92.47383645983648
2020-05-26,94.5,96.6,92.85,94.4,11822288,92.79466666666669
2020-05-27,94.8,102.75,93.85,100.63,36166988,93.76646705146702
2020-05-28,101.75,101.75,98.03,99.68,24695602,94.59468783068786
2020-05-29,99.68,107.45,98.08,106.4,61260436,96.10230759980757
2020-06-01,107.75,110.5,106.7,107.53,26749538,97.64192207792205
2020-06-02,107.55,109.28,105.48,107.93,12814558,99.12175685425687
2020-06-03,108.05,108.73,105.28,105.68,16844312,100.25934295334292
2020-06-04,105.68,109.98,105.08,108.13,14795416,101.57786002886
2020-06-05,110,110.13,107.5,109.38,14491668,102.92947979797984
2020-06-08,109.5,113.65,107.93,113.23,24427392,104.60289273689266
2020-06-09,112.05,113.15,108.58,109.18,15690762,105.72810846560847
2020-06-10,110,110.53,107.8,108.5,14788552,106.69326406926402
2020-06-11,108.5,108.83,106.18,106.45,12497910,107.38414117364114
2020-06-12,104,104.75,103.15,103.95,12418740,107.7606794131794
2020-06-15,105.98,108.95,104.08,106.9,28512100,108.40537638287647
2020-06-16,108.73,108.95,104.8,106.2,15921774,108.91556637806634
2020-06-17,106,109.38,105.53,108.9,27938908,109.65388864838862
2020-06-18,108.4,109.65,107.33,109.08,12408432,110.33553318903317
2020-06-19,109,112.05,107.5,111.03,22447422,111.15171115921116
2020-06-22,110.58,110.88,108.4,109.03,12962408,111.67382251082259
2020-06-23,107.5,111.15,106.5,110.3,14850304,112.26819961519966
2020-06-24,112,112,108.78,109.1,16492172,112.6543020683021
2020-06-25,108.48,111,107.65,109.1,10193712,112.95637974987974
2020-06-26,109.65,115,109.15,112.73,38389224,113.56146608946617
2020-06-29,111.03,112.95,109.35,109.85,13375922,113.76411640211641
2020-06-30,109.8,110.98,109,109.83,11002386,113.88174506974514
2020-07-01,110.5,111.2,109.18,109.53,7905234,113.89507263107264
2020-07-02,110.5,112.73,109.78,112.1,14359950,114.11149326599337
2020-07-03,112.1,114.25,111.33,112.4,10841726,114.27776960076963
2020-07-06,112.95,113.63,110.8,111.33,15176028,114.27954353054358
2020-07-07,111.6,114.2,111,112.45,18235138,114.35097594997595
2020-07-08,113.33,113.85,111.25,111.55,14152368,114.30627441077446
2020-07-09,112.13,112.3,109.83,110.8,13418096,114.17358225108231
2020-07-10,110.5,111.73,109.75,111.05,9097558,114.06662698412698
2020-07-13,111.98,114.5,111.28,113.8,24694620,114.24003823953826
2020-07-14,114.2,115.85,112.05,112.5,27878934,114.2593261183262
2020-07-15,118,134.35,117.5,131.38,260735386,116.30030086580082
2020-07-16,131.25,134.23,127.53,130.95,104555908,118.2253737373737
2020-07-17,129.3,131.93,128.5,130.68,37713024,120.03302116402112
2020-07-20,130.68,136.78,129.5,135.4,42790364,122.25522967772964
2020-07-21,139.25,140.8,134.7,135.68,65999190,124.38018566618574
2020-07-22,136.23,136.43,131.82,133,25167708,126.07651130351127
2020-07-23,134.15,134.23,131.28,133.3,20736676,127.69344300144303
2020-07-24,133.5,135.9,132.78,135.28,44244516,129.40495598845604
2020-07-27,135.28,136.6,133.57,134.43,27980774,130.9138922558922
2020-07-28,134.65,138.38,134.65,137.73,28087836,132.6698249158249
2020-07-29,136.9,139,136.18,138.5,21567358,134.39645526695526
2020-07-30,140.05,143.4,140.05,142.05,51695532,136.37671813371816
2020-07-31,144.8,145.4,139.3,140.48,33401810,138.05142664742664
2020-08-03,141.5,142.4,139.75,140.78,17817662,139.62307744107736
2020-08-04,140.78,141.68,139.13,140.53,16239168,141.03206373256376
2020-08-05,140.63,142.23,138.7,139.1,14691110,142.17284319384316
2020-08-06,140.35,142.13,138.88,139.82,20305210,143.26645815295808
2020-08-07,140.53,140.93,138.2,138.7,14642418,144.11213612313617
2020-08-10,140,140.6,138.3,138.7,12621630,144.83214430014434
2020-08-11,139.5,142.32,139.15,139.82,20157816,145.56011303511303
2020-08-12,140.2,140.35,137.28,138.1,17807334,145.9882101972102
2020-08-13,138.95,140.93,137.4,138.5,19307912,146.34185545935543
2020-08-14,139.25,140.38,137.95,138.25,13163438,146.55609211159214
2020-08-17,139.3,143.2,138.82,140.98,29094026,146.94224074074077
2020-08-18,142.38,143.7,140.85,141.35,24108546,147.23007046657042
