Symbol,Total Trades,Total P&L,Win Rate (%),Capital Required,Max Concurrent Positions,Avg Duration (days)
NSE_MARUTI_EQ,25,6705.90,52.0,10000,1,0.1
NSE_BRITANNIA_EQ,21,2889.45,57.1,10000,1,0.1
NSE_ULTRACEMCO_EQ,20,2796.70,55.0,10000,1,0.1
NSE_APOLLOHOSP_EQ,24,2236.70,50.0,10000,1,0.0
NSE_DIVISLAB_EQ,34,1895.55,38.2,10000,1,0.1
NSE_HEROMOTOCO_EQ,20,1785.95,55.0,5000,1,0.0
NSE_EICHERMOT_EQ,23,1335.78,47.8,10000,1,0.1
NSE_TCS_EQ,22,1228.45,50.0,10000,1,0.1
NSE_GRASIM_EQ,24,1204.78,54.2,10000,1,0.1
NSE_M_M_EQ,30,1078.05,36.7,10000,1,0.1
NSE_HINDUNILVR_EQ,28,980.30,32.1,10000,1,0.1
NSE_HCLTECH_EQ,25,893.15,52.0,5000,1,0.0
NSE_HDFCBANK_EQ,28,719.00,46.4,10000,1,0.0
NSE_SBILIFE_EQ,28,668.00,53.6,10000,1,0.1
NSE_BHARTIARTL_EQ,28,650.45,50.0,10000,1,0.0
NSE_DRREDDY_EQ,22,542.47,50.0,10000,1,0.0
NSE_TITAN_EQ,20,526.40,55.0,10000,1,0.1
NSE_HINDALCO_EQ,26,506.40,65.4,10000,1,0.0
NSE_ADANIPORTS_EQ,23,492.30,56.5,10000,1,0.0
NSE_SBIN_EQ,31,415.65,45.2,10000,1,0.0
