Symbol            ,Total Trades ,Winning Trades ,Losing Trades ,Win Rate (%) ,Total P&L (₹) ,Avg P&L (₹)
NSE_ADANIPORTS_EQ ,          73 ,            27 ,           46 ,        37.0 ,239.05        ,3.27
NSE_APOLLOHOSP_EQ ,          64 ,            32 ,           32 ,        50.0 ,3349.95       ,52.34
NSE_ASIANPAINT_EQ ,          51 ,            20 ,           31 ,        39.2 ,458.30        ,8.99
NSE_AXISBANK_EQ   ,          69 ,            31 ,           38 ,        44.9 ,499.25        ,7.24
NSE_BAJAJFINSV_EQ ,          66 ,            25 ,           41 ,        37.9 ,24.95         ,0.38
NSE_BAJAJ_AUTO_EQ ,          64 ,            30 ,           34 ,        46.9 ,5287.10       ,82.61
NSE_BAJFINANCE_EQ ,          66 ,            23 ,           43 ,        34.8 ,-94.23        ,-1.43
NSE_BHARTIARTL_EQ ,          61 ,            29 ,           32 ,        47.5 ,979.30        ,16.05
NSE_BPCL_EQ       ,          67 ,            26 ,           41 ,        38.8 ,81.24         ,1.21
NSE_BRITANNIA_EQ  ,          51 ,            22 ,           29 ,        43.1 ,1987.30       ,38.97
NSE_CIPLA_EQ      ,          59 ,            28 ,           31 ,        47.5 ,691.80        ,11.73
NSE_COALINDIA_EQ  ,          76 ,            27 ,           49 ,        35.5 ,-45.60        ,-0.60
NSE_DIVISLAB_EQ   ,          67 ,            19 ,           48 ,        28.4 ,-1852.65      ,-27.65
NSE_DRREDDY_EQ    ,          62 ,            21 ,           41 ,        33.9 ,-115.94       ,-1.87
NSE_EICHERMOT_EQ  ,          55 ,            28 ,           27 ,        50.9 ,3051.14       ,55.48
NSE_GRASIM_EQ     ,          59 ,            28 ,           31 ,        47.5 ,1136.94       ,19.27
NSE_HCLTECH_EQ    ,          67 ,            26 ,           41 ,        38.8 ,216.30        ,3.23
NSE_HDFCBANK_EQ   ,          65 ,            29 ,           36 ,        44.6 ,641.00        ,9.86
NSE_HDFCLIFE_EQ   ,          67 ,            22 ,           45 ,        32.8 ,-53.65        ,-0.80
NSE_HEROMOTOCO_EQ ,          69 ,            29 ,           40 ,        42.0 ,1019.30       ,14.77
NSE_HINDALCO_EQ   ,          66 ,            29 ,           37 ,        43.9 ,165.35        ,2.51
NSE_HINDUNILVR_EQ ,          51 ,            22 ,           29 ,        43.1 ,975.05        ,19.12
NSE_ICICIBANK_EQ  ,          52 ,            30 ,           22 ,        57.7 ,932.20        ,17.93
NSE_INDUSINDBK_EQ ,          71 ,            29 ,           42 ,        40.8 ,405.25        ,5.71
NSE_INFY_EQ       ,          60 ,            27 ,           33 ,        45.0 ,555.50        ,9.26
NSE_ITC_EQ        ,          59 ,            25 ,           34 ,        42.4 ,144.75        ,2.45
NSE_JSWSTEEL_EQ   ,          65 ,            23 ,           42 ,        35.4 ,-139.25       ,-2.14
NSE_KOTAKBANK_EQ  ,          61 ,            25 ,           36 ,        41.0 ,461.45        ,7.56
NSE_LT_EQ         ,          57 ,            32 ,           25 ,        56.1 ,2498.50       ,43.83
NSE_MARUTI_EQ     ,          60 ,            27 ,           33 ,        45.0 ,6795.95       ,113.27
NSE_M_M_EQ        ,          72 ,            34 ,           38 ,        47.2 ,1488.15       ,20.67
NSE_NESTLEIND_EQ  ,          57 ,            23 ,           34 ,        40.4 ,713.21        ,12.51
NSE_NTPC_EQ       ,          60 ,            26 ,           34 ,        43.3 ,148.10        ,2.47
NSE_ONGC_EQ       ,          68 ,            23 ,           45 ,        33.8 ,-85.71        ,-1.26
NSE_POWERGRID_EQ  ,          77 ,            30 ,           47 ,        39.0 ,76.89         ,1.00
NSE_RELIANCE_EQ   ,          63 ,            26 ,           37 ,        41.3 ,509.48        ,8.09
NSE_SBILIFE_EQ    ,          68 ,            27 ,           41 ,        39.7 ,590.35        ,8.68
NSE_SBIN_EQ       ,          62 ,            28 ,           34 ,        45.2 ,216.50        ,3.49
NSE_SHREECEM_EQ   ,          62 ,            27 ,           35 ,        43.5 ,17714.45      ,285.72
NSE_SUNPHARMA_EQ  ,          60 ,            27 ,           33 ,        45.0 ,609.65        ,10.16
NSE_TATACONSUM_EQ ,          62 ,            27 ,           35 ,        43.5 ,439.93        ,7.10
NSE_TATAMOTORS_EQ ,          71 ,            31 ,           40 ,        43.7 ,125.85        ,1.77
NSE_TATASTEEL_EQ  ,          59 ,            29 ,           30 ,        49.2 ,65.14         ,1.10
NSE_TCS_EQ        ,          57 ,            24 ,           33 ,        42.1 ,1253.10       ,21.98
NSE_TECHM_EQ      ,          71 ,            27 ,           44 ,        38.0 ,42.30         ,0.60
NSE_TITAN_EQ      ,          71 ,            27 ,           44 ,        38.0 ,394.80        ,5.56
NSE_ULTRACEMCO_EQ ,          63 ,            26 ,           37 ,        41.3 ,2897.95       ,46.00
NSE_UPL_EQ        ,          63 ,            25 ,           38 ,        39.7 ,107.45        ,1.71
NSE_WIPRO_EQ      ,          57 ,            29 ,           28 ,        50.9 ,209.69        ,3.68
