Symbol,Total Trades,Winning Trades,Losing Trades,Win Rate (%),Total P&L (₹),Avg P&L (₹)
NSE_ADANIPORTS_EQ,19,10,9,52.6,848.25,44.64
NSE_APOLLOHOSP_EQ,18,9,9,50.0,2737.95,152.11
NSE_ASIANPAINT_EQ,21,7,14,33.3,237.70,11.32
NSE_AXISBANK_EQ,24,6,18,25.0,101.15,4.21
NSE_BAJAJFINSV_EQ,21,8,13,38.1,1207.55,57.50
NSE_BAJAJ_AUTO_EQ,24,10,14,41.7,3044.25,126.84
NSE_BAJFINANCE_EQ,16,9,7,56.3,336.74,21.05
NSE_BHARTIARTL_EQ,21,13,8,61.9,1011.05,48.15
NSE_BPCL_EQ,17,8,9,47.1,85.34,5.02
NSE_BRITANNIA_EQ,18,12,6,66.7,3034.40,168.58
NSE_CIPLA_EQ,29,12,17,41.4,77.05,2.66
NSE_COALINDIA_EQ,16,6,10,37.5,157.00,9.81
NSE_DIVISLAB_EQ,24,6,18,25.0,2808.35,117.01
NSE_DRREDDY_EQ,19,9,10,47.4,499.01,26.26
NSE_EICHERMOT_EQ,20,11,9,55.0,1753.67,87.68
NSE_GRASIM_EQ,17,10,7,58.8,1443.70,84.92
NSE_HCLTECH_EQ,22,11,11,50.0,1255.10,57.05
NSE_HDFCBANK_EQ,24,10,14,41.7,581.35,24.22
NSE_HDFCLIFE_EQ,17,7,10,41.2,342.15,20.13
NSE_HEROMOTOCO_EQ,16,10,6,62.5,2695.65,168.48
NSE_HINDALCO_EQ,17,12,5,70.6,442.20,26.01
NSE_HINDUNILVR_EQ,20,5,15,25.0,331.70,16.59
NSE_ICICIBANK_EQ,23,12,11,52.2,158.60,6.90
NSE_INDUSINDBK_EQ,23,9,14,39.1,243.45,10.58
NSE_INFY_EQ,18,8,10,44.4,-100.00,-5.56
NSE_ITC_EQ,22,9,13,40.9,67.30,3.06
NSE_JSWSTEEL_EQ,26,12,14,46.2,54.70,2.10
NSE_KOTAKBANK_EQ,22,9,13,40.9,-11.75,-0.53
NSE_LT_EQ,20,10,10,50.0,811.70,40.58
NSE_MARUTI_EQ,20,11,9,55.0,5335.30,266.77
NSE_M_M_EQ,26,11,15,42.3,1835.35,70.59
NSE_NESTLEIND_EQ,21,9,11,42.9,65.55,3.12
NSE_NTPC_EQ,23,10,13,43.5,78.30,3.40
NSE_ONGC_EQ,23,13,10,56.5,137.00,5.96
NSE_POWERGRID_EQ,21,11,10,52.4,73.81,3.51
NSE_RELIANCE_EQ,22,8,14,36.4,364.34,16.56
NSE_SBILIFE_EQ,22,12,10,54.5,685.45,31.16
NSE_SBIN_EQ,23,12,11,52.2,643.75,27.99
NSE_SHREECEM_EQ,15,4,11,26.7,304.65,20.31
NSE_SUNPHARMA_EQ,12,6,6,50.0,440.60,36.72
NSE_TATACONSUM_EQ,25,9,16,36.0,316.44,12.66
NSE_TATAMOTORS_EQ,20,10,10,50.0,589.35,29.47
NSE_TATASTEEL_EQ,15,10,5,66.7,59.53,3.97
NSE_TCS_EQ,18,10,8,55.6,1841.25,102.29
NSE_TECHM_EQ,22,9,13,40.9,87.35,3.97
NSE_TITAN_EQ,14,10,4,71.4,1374.60,98.19
NSE_ULTRACEMCO_EQ,15,9,6,60.0,5454.50,363.63
NSE_UPL_EQ,23,7,16,30.4,73.35,3.19
NSE_WIPRO_EQ,18,10,8,55.6,294.54,16.36
