Parameter Set,Target (%),Stop Loss (%),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Total P&L (₹),Avg P&L (₹),Total Allocation (₹),Avg Allocation (₹)
Maximum-Target,10,5,1266,510,666,40.3,93307.71,73.70,5141581.29,4061.28
Very-Aggressive,8,4,1315,523,695,39.8,86337.26,65.66,5327147.62,4051.06
High-Target,7,3.5,1352,542,712,40.1,79259.00,58.62,5479850.83,4053.14
Super-Favorable-RR,7,2,1432,501,830,35.0,71051.85,49.62,5824866.69,4067.64
Aggressive,6,3,1391,559,731,40.2,70970.77,51.02,5644692.85,4058.01
Moderate-Aggressive,5,2.5,1428,584,742,40.9,60710.69,42.51,5805755.35,4065.66
Favorable-RR,5,1.5,1504,535,862,35.6,54035.05,35.93,6119682.92,4068.94
Balanced,4,2,1479,619,754,41.9,51199.80,34.62,6015991.38,4067.61
Moderate-Conservative,3,1.5,1533,652,771,42.5,40738.05,26.57,6238462.98,4069.45
High-Risk-Reward,3,1,1582,601,868,38.0,35487.89,22.43,6437017.61,4068.91
Conservative,2,1,1591,679,799,42.7,24943.15,15.68,6471501.98,4067.57
