Symbol,Total Candles,HMA55 Count,Filename
NSE:HDFCLIFE-EQ,1371,1317,NSE_HDFCLIFE_EQ_daily_with_hma.csv
NSE:CIPLA-EQ,1371,1317,NSE_CIPLA_EQ_daily_with_hma.csv
NSE:UPL-EQ,1371,1317,NSE_UPL_EQ_daily_with_hma.csv
NSE:BPCL-EQ,1371,1317,NSE_BPCL_EQ_daily_with_hma.csv
NSE:TATACONSUM-EQ,1371,1317,NSE_TATACONSUM_EQ_daily_with_hma.csv
NSE:SBILIFE-EQ,1371,1317,NSE_SBILIFE_EQ_daily_with_hma.csv
NSE:DRREDDY-EQ,1371,1317,NSE_DRREDDY_EQ_daily_with_hma.csv
NSE:LT-EQ,1371,1317,NSE_LT_EQ_daily_with_hma.csv
NSE:APOLLOHOSP-EQ,1371,1317,NSE_APOLLOHOSP_EQ_daily_with_hma.csv
NSE:COALINDIA-EQ,1371,1317,NSE_COALINDIA_EQ_daily_with_hma.csv
NSE:ITC-EQ,1371,1317,NSE_ITC_EQ_daily_with_hma.csv
NSE:BRITANNIA-EQ,1371,1317,NSE_BRITANNIA_EQ_daily_with_hma.csv
NSE:JSWSTEEL-EQ,1371,1317,NSE_JSWSTEEL_EQ_daily_with_hma.csv
NSE:HINDUNILVR-EQ,1371,1317,NSE_HINDUNILVR_EQ_daily_with_hma.csv
NSE:EICHERMOT-EQ,1371,1317,NSE_EICHERMOT_EQ_daily_with_hma.csv
NSE:BHARTIARTL-EQ,1371,1317,NSE_BHARTIARTL_EQ_daily_with_hma.csv
NSE:AXISBANK-EQ,1371,1317,NSE_AXISBANK_EQ_daily_with_hma.csv
NSE:NESTLEIND-EQ,1371,1317,NSE_NESTLEIND_EQ_daily_with_hma.csv
NSE:TITAN-EQ,1371,1317,NSE_TITAN_EQ_daily_with_hma.csv
NSE:KOTAKBANK-EQ,1371,1317,NSE_KOTAKBANK_EQ_daily_with_hma.csv
NSE:TATASTEEL-EQ,1371,1317,NSE_TATASTEEL_EQ_daily_with_hma.csv
NSE:BAJAJ-AUTO-EQ,1371,1317,NSE_BAJAJ_AUTO_EQ_daily_with_hma.csv
NSE:HINDALCO-EQ,1371,1317,NSE_HINDALCO_EQ_daily_with_hma.csv
NSE:SBIN-EQ,1371,1317,NSE_SBIN_EQ_daily_with_hma.csv
NSE:M&M-EQ,1371,1317,NSE_M_M_EQ_daily_with_hma.csv
NSE:ASIANPAINT-EQ,1371,1317,NSE_ASIANPAINT_EQ_daily_with_hma.csv
NSE:HCLTECH-EQ,1371,1317,NSE_HCLTECH_EQ_daily_with_hma.csv
NSE:POWERGRID-EQ,1371,1317,NSE_POWERGRID_EQ_daily_with_hma.csv
NSE:BAJFINANCE-EQ,1371,1317,NSE_BAJFINANCE_EQ_daily_with_hma.csv
NSE:BAJAJFINSV-EQ,1371,1317,NSE_BAJAJFINSV_EQ_daily_with_hma.csv
NSE:TATAMOTORS-EQ,1371,1317,NSE_TATAMOTORS_EQ_daily_with_hma.csv
NSE:RELIANCE-EQ,1371,1317,NSE_RELIANCE_EQ_daily_with_hma.csv
NSE:GRASIM-EQ,1371,1317,NSE_GRASIM_EQ_daily_with_hma.csv
NSE:MARUTI-EQ,1371,1317,NSE_MARUTI_EQ_daily_with_hma.csv
NSE:WIPRO-EQ,1371,1317,NSE_WIPRO_EQ_daily_with_hma.csv
NSE:NTPC-EQ,1371,1317,NSE_NTPC_EQ_daily_with_hma.csv
NSE:ICICIBANK-EQ,1371,1317,NSE_ICICIBANK_EQ_daily_with_hma.csv
NSE:INDUSINDBK-EQ,1371,1317,NSE_INDUSINDBK_EQ_daily_with_hma.csv
NSE:HDFCBANK-EQ,1371,1317,NSE_HDFCBANK_EQ_daily_with_hma.csv
NSE:TCS-EQ,1371,1317,NSE_TCS_EQ_daily_with_hma.csv
NSE:SHREECEM-EQ,1371,1317,NSE_SHREECEM_EQ_daily_with_hma.csv
NSE:SUNPHARMA-EQ,1371,1317,NSE_SUNPHARMA_EQ_daily_with_hma.csv
NSE:ULTRACEMCO-EQ,1371,1317,NSE_ULTRACEMCO_EQ_daily_with_hma.csv
NSE:ONGC-EQ,1371,1317,NSE_ONGC_EQ_daily_with_hma.csv
NSE:INFY-EQ,1371,1317,NSE_INFY_EQ_daily_with_hma.csv
NSE:TECHM-EQ,1371,1317,NSE_TECHM_EQ_daily_with_hma.csv
NSE:HEROMOTOCO-EQ,1371,1317,NSE_HEROMOTOCO_EQ_daily_with_hma.csv
NSE:DIVISLAB-EQ,1371,1317,NSE_DIVISLAB_EQ_daily_with_hma.csv
NSE:ADANIPORTS-EQ,1371,1317,NSE_ADANIPORTS_EQ_daily_with_hma.csv
