Rank,Symbol,Total Trades,Winning Trades,Losing Trades,Win Rate (%),Total P&L (₹),Avg P&L (₹),Total Allocation (₹),Avg Allocation (₹)
1,NSE_TATASTEEL_EQ,23,15,8,65.2,6220.02,270.44,113441.32,4932.23
2,NSE_HINDALCO_EQ,26,17,9,65.4,5621.45,216.21,122641.20,4716.97
3,NSE_SBIN_EQ,31,14,17,45.2,5155.30,166.30,146935.25,4739.85
4,NSE_ADANIPORTS_EQ,23,13,10,56.5,4272.95,185.78,105720.60,4596.55
5,NSE_WIPRO_EQ,23,13,10,56.5,4164.17,181.05,112611.35,4896.15
6,NSE_GRASIM_EQ,24,13,11,54.2,4145.67,172.74,96483.93,4020.16
7,NSE_HCLTECH_EQ,25,13,12,52.0,3934.75,157.39,109064.90,4362.60
8,NSE_BPCL_EQ,24,11,13,45.8,3603.57,150.15,117451.17,4893.80
9,NSE_M_M_EQ,30,11,19,36.7,3447.80,114.93,125198.00,4173.27
10,NSE_COALINDIA_EQ,30,12,18,40.0,3261.00,108.70,146097.55,4869.92
11,NSE_SBILIFE_EQ,28,15,13,53.6,3154.00,112.64,121103.50,4325.12
12,NSE_BAJFINANCE_EQ,19,11,8,57.9,3082.77,162.25,87882.68,4625.40
13,NSE_BHARTIARTL_EQ,28,14,14,50.0,3041.85,108.64,126034.70,4501.24
14,NSE_DRREDDY_EQ,22,11,11,50.0,2934.57,133.39,98566.20,4480.28
15,NSE_HDFCBANK_EQ,28,13,15,46.4,2387.35,85.26,122318.30,4368.51
16,NSE_HEROMOTOCO_EQ,20,11,9,55.0,2304.65,115.23,69005.50,3450.28
17,NSE_ONGC_EQ,27,14,13,51.9,2303.35,85.31,132444.25,4905.34
18,NSE_SUNPHARMA_EQ,22,10,12,45.5,2257.60,102.62,98131.65,4460.53
19,NSE_APOLLOHOSP_EQ,24,8,6,33.3,2234.95,93.12,54668.55,2277.86
20,NSE_ICICIBANK_EQ,24,12,12,50.0,2205.85,91.91,109313.05,4554.71
